departamento,pop_poor_rural,Asset risk pc,Well-being risk pc
Beni,68,13.07,554.52
Pando,35,5.97,225.65
Cochabamba,356,1.83,95.2
Tarija,80,3.59,86.87
Total,1937,1.47,63.24
Santa Cruz,240,1.43,39.06
Potosí,406,0.44,38.9
Oruro,84,0.62,19.25
La Paz,450,0.4,14.16
Chuquisaca,215,0.29,12.04
