Region,pop_q1,Asset risk pc,Well-being risk pc
North Greece,675,91.44,95.8
Central Greece,459,84.86,79.32
Total,2166,52.52,50.73
Aegean Islands and Crete,220,11.2,10.99
Attica,811,13.03,7.79
