district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_npv_pre,dc_post_reco,dc_t,di0,di0_prv,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,has_ew,help_received,hh_reco_rate,integ,ispoor,macro_multiplier,pc_fee,pc_fee_BE,pcsoc,pcwgt,pcwgt_ae,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Ampara,PF,250.0,52209019031,a,helped,4759,93757.01793542995,36346.798828125,0.006531728176015094,76895.29406482875,76895.29406482875,0.0,75907.75493435534,433126.5882911142,0.0,75907.75493435534,76895.29406482875,76895.29406482875,0.0,75907.7549992383,0.0,75907.75493435534,228098.47490777148,228098.47490777148,225169.31373658616,0.0,0.05545402319549671,2780197.637823304,0.0,15319.770109751798,0.0,9.07312218370363,0.0,5.632680043150034,0.0,0.0,2083.333251953125,2.558521063690827,2.558521063690827,43493.30859375,0.0,5.417888360170764e-14,7813.084827952495,0.0,3.7190075019316966e-05,0.0,3.0,3.483327605680391e-08,2601500.223304248,6655993.118520308
Batticaloa,PF,5.0,51207002061,a,helped,22145,76108.30500417402,36346.798828125,0.007249598762321236,58915.73961886522,58915.73961886522,0.0,58667.725292964904,331853.51077860594,0.0,58667.725292964904,58915.73961886522,58915.73961886522,0.0,58667.72534208378,0.0,58667.725292964904,174764.9717610533,174764.9717610533,174029.27348486352,0.0,0.05545402319549671,2604352.1009075493,0.0,11597.648982749055,0.0,7.657639564030583,0.0,5.632680043150034,0.0,0.0,0.0,9.1294472831148,9.1294472831148,43493.30859375,0.0,-3.097522238704187e-14,6342.358750347835,0.0,5.199703954240906e-05,0.0,3.0,4.7626857291879286e-08,2601500.223304248,23750259.145667512
Batticaloa,PF,10.0,51212045051,a,helped,23113,54125.06728638635,36346.798828125,0.00859668019853286,40046.825880836295,40046.825880836295,0.0,39939.77166731334,225570.9569304909,0.0,39939.77166731334,40046.825880836295,40046.825880836295,0.0,39939.77171783879,0.0,39939.77166731334,118793.08380850941,118793.08380850941,118475.52320595743,0.0,0.05545402319549671,2660110.989859015,0.0,11929.761020849173,0.0,6.595962510971569,0.0,5.632680043150034,0.0,0.0,0.0,30.126822817020372,30.126822817020372,43493.30859375,0.0,0.0565088623091583,4510.422273865529,0.0,6.505339972657966e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,78374936.28592601
Batticaloa,PF,25.0,51207002021,a,helped,23671,57487.555845313334,36346.798828125,0.008341479242934012,44054.6935721816,44054.6935721816,0.0,44054.69352560956,248145.99329111737,0.0,44054.69352560956,44054.6935721816,44054.6935721816,0.0,44054.6935721816,0.0,44054.69352560956,130681.8403348845,130681.8403348845,130681.8403348845,0.0,0.05545402319549671,2908258.653257937,0.0,10996.305169017074,0.0,7.4318878569352895,0.0,5.632680043150034,0.0,0.0,0.0,24.239823044052194,24.239823044052194,43493.30859375,0.0,7.105427357601002e-15,4790.629653776111,0.0,7.06283461220272e-05,0.0,3.0,7.255030345505679e-08,2601500.223304248,63059905.06195724
Batticaloa,PF,100.0,51207002061,a,helped,25205,76108.30500417402,36346.798828125,0.007249598762321236,59032.49549283142,59032.49549283142,0.0,58765.194306313875,332511.1592598159,0.0,58765.194306313875,59032.49549283142,59032.49549283142,0.0,58765.19435631275,0.0,58765.194306313875,175111.31107799377,175111.31107799377,174318.40113783875,0.0,0.05545402319549671,2616475.514919196,0.0,11805.429619353066,0.0,7.693286331898243,0.0,5.632680043150034,0.0,0.0,0.0,13.956397818895049,13.956397818895049,43493.30859375,0.0,5.384581669432009e-15,6342.358750347835,0.0,7.958155327401998e-05,0.0,3.0,4.7626857291879286e-08,2601500.223304248,36307572.04237839
Batticaloa,PF,250.0,51205072101,a,helped,25895,113483.0030347404,36346.798828125,0.0059369663278522255,94129.72472247864,94129.72472247864,0.0,93723.10110482796,530202.6219115119,0.0,93723.10110482796,94129.72472247864,94129.72472247864,0.0,93723.1011545547,0.0,93723.10110482796,279222.13638360426,279222.13638360426,278015.9467163722,0.0,0.05545402319549671,2766680.6625506436,0.0,11741.172332823986,0.0,9.933530763165404,0.0,5.632680043150034,0.0,0.0,0.0,13.137800265343156,13.137800265343156,43493.30859375,0.0,-3.497202527569243e-15,9456.9169195617,0.0,8.49604554113316e-05,0.0,3.0,2.615795391859145e-08,2601500.223304248,34177990.324016824
Batticaloa,PF,500.0,51212045051,a,helped,26938,54125.06728638635,36346.798828125,0.00859668019853286,41539.69659553499,41539.69659553499,0.0,41539.69654638577,233979.82001217734,0.0,41539.69654638577,41539.69659553499,41539.69659553499,0.0,41539.69659553499,0.0,41539.69654638577,123221.4676323404,123221.4676323404,123221.4676323404,0.0,0.05545402319549671,2994289.3079181095,0.0,11604.813340147763,0.0,7.42458495052404,0.0,5.632680043150034,0.0,0.0,0.0,42.26726562143252,42.26726562143252,43493.30859375,0.0,0.0,4510.422273865529,0.0,9.060354048275397e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,109958300.95261666
Batticaloa,PF,1000.0,51207002021,a,helped,27496,57487.555845313334,36346.798828125,0.008341479242934012,45471.43819608649,45471.43819608649,0.0,45471.43814771071,256126.0624604266,0.0,45471.43814771071,45471.43819608649,45471.43819608649,0.0,45471.43819608649,0.0,45471.43814771071,134884.40718359264,134884.40718359264,134884.40718359264,0.0,0.05545402319549671,3220201.283885778,0.0,11422.194703997204,0.0,8.229039322822421,0.0,5.632680043150034,0.0,0.0,0.0,38.5958474654444,38.5958474654444,43493.30859375,0.0,5.684341886080802e-14,4790.629653776111,0.0,0.00011214732347637204,0.0,3.0,7.255030345505679e-08,2601500.223304248,100407105.7999703
Colombo,PF,5.0,11210093091,a,helped,29704,31215.252803982043,36346.798828125,0.01132000366356556,26077.314565233548,26077.314565233548,0.0,26077.314565233548,146885.1693305367,0.0,26077.314565233548,26077.314565233548,26077.314565233548,0.0,26077.314565233548,0.0,26077.314565233548,77354.56048043627,77354.56048043627,77354.56048043627,0.0,0.05545402319549671,5156863.10712485,0.0,0.0,0.0,9.710648357327242,1.0,5.632680043150034,0.0,0.0,0.0,31.576627497138567,31.576627497138567,43493.30859375,0.0,-1.4210854715202004e-14,2601.2710669985036,0.0,0.002703404935729736,0.0,3.0,1.8132167204683824e-07,2601500.223304248,82146603.48500104
Colombo,PF,10.0,11210093091,a,helped,32037,31215.252803982043,36346.798828125,0.01132000366356556,25858.890127322466,25858.890127322466,0.0,25858.890127322466,145654.8543581787,0.0,25858.890127322466,25858.890127322466,25858.890127322466,0.0,25858.890127322466,0.0,25858.890127322466,76706.63615715016,76706.63615715016,76706.63615715016,0.0,0.05545402319549671,4970307.649668872,0.0,0.0,0.0,9.35935447791586,1.0,5.632680043150034,0.0,0.0,0.0,33.4098211432213,33.4098211432213,43493.30859375,0.0,0.0,2601.2710669985036,0.0,0.002844179394126386,0.0,3.0,1.8132167204683824e-07,2601500.223304248,86915657.1646452
