district,hazard,dk_tot,dw_tot,resilience
Ampara,PF,35.765241546812604,61.61949111502333,0.5804209171421207
Anuradhapura,PF,51.26445681828563,76.4061755220099,0.6709465101223154
Badulla,PF,36.052056094377946,77.1476370339374,0.4673125124819905
Batticaloa,PF,85.74179533486571,291.9300065722068,0.29370668792027066
Colombo,PF,4184.8929186281075,2708.378356530483,1.5451655447391353
Galle,PF,68.78182894168172,110.81160952671509,0.6207095920315047
Gampaha,PF,855.5969101989871,620.2822250355576,1.3793671262302254
Hambantota,PF,164.0047619986368,231.81002749428114,0.7074964088975093
Kalutara,PF,905.4440900883881,997.7324200321481,0.907501923270383
Kandy,PF,49.50888816364662,60.75041529698891,0.8149555508651892
Kegalle,PF,124.74894851552654,186.25671883274214,0.6697688507417048
Kurunegala,PF,250.42004657936013,348.34140746218924,0.718892561190969
Mannar,PF,53.67027752535989,286.4771779529225,0.18734573521308445
Matale,PF,20.720716985373258,28.744922863088195,0.7208478896974552
Moneragala,PF,4.34958965695726,14.574059936004256,0.29844735619701174
Mullaitivu,PF,3.4058582581578767,22.841660869711433,0.1491072946746234
Nuwara Eliya,PF,0.18071413470499545,0.3788344302560378,0.4770266910081499
Polonnaruwa,PF,309.66313998331435,361.8489342610133,0.8557801631106763
Puttalam,PF,362.2931458356237,599.3387261658858,0.604488130031744
Rathnapura,PF,970.1994805427629,1932.625805099673,0.5020110349259908
Trincomalee,PF,144.49285229916435,282.28267891687995,0.5118728958276297
Vavuniya,PF,6.6592225073154,11.919238217745901,0.5586953113665308
