,region,hazard,rp,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcwgt_ae,pcsoc,axfin,has_ew,c,dk_private,dk_public,dk0,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,dk_prv_t,sav_i,sav_f,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
42998,ARMM,HU,30,156612250240,helped,a,Sulu,0.2704945770021508,1,0.2704945770021508,0.0,0,1.0,22080.061000000005,17781.099140795628,6503.066375644753,24284.165516440382,0.007602681663001716,6.312505743269449e-07,5668.68788353062,2073.204433399458,7741.892316930078,5668.68788353062,2073.204433399458,7741.892316930078,0.0,3,15573.959716184301,5.63268004315001,43607.602349788445,0,0,0.0,0.013459528959273442,0.2757012755915257,0.0,17781.099140795628,10953.8735408688,-3.552713678800501e-15,0.0,5668.68788353062,57.86622859906093,5726.554112129681,5726.554112129681,5727.678262131164,0.0
61731,ARMM,HU,1000,15362764027,helped,a,Lanao del Sur,100.34183841852844,1,100.34183841852844,53.308826946026706,0,1.0,18023.363000000005,5204.151337267164,1279.9158944976466,6484.067231764811,1.5199879759421089,0.00015434288851189705,1659.1131794519172,408.0424762061371,2067.1556556580545,1659.1131794519172,408.0424762061371,2067.1556556580545,0.0,3,15573.959716184301,5.63268004315001,11643.626407709799,0,0,0.0,0.01489745495066244,0.007235328558994581,0.0,5204.151337267164,9068.35363117985,2978.740570172884,0.0,1659.1051812648252,11.389074239801104,1670.4942555046264,1670.4942555046264,0.0,32.191050329899
306988,I - Ilocos,HU,200,12982013204,helped,a,Ilocos Sur,2089.412112842113,0,2089.412112842113,974.3020153778036,1,1.0,22682.650000000012,19813.42499284628,1470.8223272427663,21284.24732008905,18.48815489260793,0.00568314656256768,6322.138864563691,468.9042358544718,6791.043100418163,6322.138864563691,468.9042358544718,6791.043100418163,0.0,3,15573.959716184301,5.63268004315001,38251.772943896955,0,0,0.0,0.01327954209316307,0.019586520287340696,0.0,19813.42499284628,90394.1016014994,68122.28371607763,0.0,6316.756312167578,13.087816746818046,6329.844128914396,6329.844128914396,0.0,121.96727137587519
709475,III - Central Luzon,SS,1,34926160463,helped,a,Nueva Ecija,1.5421106336863672,0,1.5421106336863672,0.0,0,1.0,24150.100000000002,24431.90510516469,946.0085674068423,25377.913672571533,0.01331747985405558,7.092041976908158e-06,7788.99230832475,301.5914405129048,8090.583748837656,7788.99230832475,301.5914405129048,8090.583748837656,0.0,3,15573.959716184301,5.632680043150011,45571.66961951167,0,0,0.0,0.01286976239631252,0.02207517255442737,0.0,24431.90510516469,55702.8526722938,28505.37853354651,0.0,7788.99230832475,8.417867027046459,7797.410175351797,7797.410175351797,0.0,150.2422679527803
984065,IVA - CALABARZON,SS,30,4158213124165,helped,a,Rizal,97.24712613513739,1,97.24712613513739,2497.409408046553,0,1.0,18221.31399999999,5853.649030097841,273.4987892796832,6127.147819377525,0.7269279288438991,0.0003768802891525274,1867.1087244094006,87.19254421077716,1954.3012686201778,1867.1087244094006,87.19254421077716,1954.3012686201778,0.0,3,15573.959716184301,5.63268004315001,11007.953754059623,0,0,0.0,0.014816313187710588,0.18176729560367497,0.0,5853.649030097841,0.0,-0.7269279288438991,0.0,1866.1937710061493,2.4336739851368083,1868.6274449912862,1868.6274449912862,1868.6752336099555,0.0
1042796,IVB - MIMAROPA,EQ,200,4253126017237,helped,a,Palawan,1086.205661587894,0,1086.205661587894,0.0,0,1.0,24836.168,26521.831762375365,3142.4174909246544,29664.24925330002,5.353053266258133,0.0010464292121223487,8455.269562919018,1001.8156816262041,9457.085244545222,8455.269562919018,1001.8156816262041,9457.085244545222,0.0,3,15573.959716184301,5.63268004315001,53268.73532331831,0,0,0.0,0.012690762049736718,0.025326603769143717,0.0,26521.831762375365,74157.6368041819,44049.92202246547,0.0,8455.269562919018,27.9621702101272,8483.231733129145,8483.231733129145,0.0,163.46387178975
1089862,IVB - MIMAROPA,PF,1000,4253420015245,helped,a,Palawan,119.89967416963374,0,119.89967416963374,0.0,0,0.0,27558.891000000007,34975.43753270325,6219.859068601532,41195.29660130478,2.766267240143345,0.0004047376968338029,11150.314015624204,1982.916773606825,13133.23078923103,11150.314015624204,1982.916773606825,13133.23078923103,0.0,3,15573.959716184301,5.63268004315001,73975.28696858487,0,0,0.0,0.012047560810987982,0.0323345575924428,0.0,34975.43753270325,74157.6368041819,33890.07832631886,0.0,11150.314015624204,55.34616532065674,11205.66018094486,11205.66018094486,0.0,215.92939064406607
1116892,IX - Zamboanga Peninsula,EQ,10,973745111269,helped,a,Zamboanga del Sur,0.5949307517337494,0,0.5949307517337494,0.0,0,1.0,28865.06800000001,39142.04231813278,3718.910888554145,42860.95320668692,0.011226879706537013,2.7136941489659766e-06,12478.644839022798,1185.6041590538973,13664.248998076695,12478.644839022798,1185.6041590538973,13664.248998076695,0.0,3,15573.959716184301,5.63268004315001,76966.34263609913,0,0,0.0,0.011771822450474078,0.03209819607278099,0.0,39142.04231813278,63888.3267591501,19713.189892213537,0.0,12478.644839022798,33.09198079579418,12511.736819818592,12511.736819818592,0.0,241.08631383200463
1557763,V - Bicol,HU,1000,517165068001,helped,a,Camarines Sur,1929.43214,0,1929.43214,0.0,0,1.0,28874.62700000001,39165.59467813334,3910.06288014711,43075.65755828045,75.59120338085889,0.017231121883299866,12486.153428717202,1246.5442038776562,13732.697632594858,12486.153428717202,1246.5442038776562,13732.697632594858,0.0,3,15573.959716184301,5.63268004315001,77351.89189373046,0,0,0.0,0.011769873747112424,0.2856736041368416,0.0,39165.59467813334,32703.242109561,2.842170943040401e-14,0.0,12486.153428717202,34.79290835884517,12520.946337076048,12520.946337076048,12521.622248552052,0.0
1578827,V - Bicol,PF,50,562825026,helped,a,Sorsogon,67.76183706364652,1,67.76183706364652,822.4367706797765,0,1.0,17882.694999999992,4783.927324172595,539.1362792140801,5323.063603386675,1.031194563905347,0.000211228733283708,1525.309522010229,171.8788737047605,1697.1883957149896,1525.309522010229,171.8788737047605,1697.1883957149896,0.0,3,15573.959716184301,5.63268004315001,9559.719206009604,0,0,0.0,0.014955933000379108,0.06756967326413363,0.0,4783.927324172595,2989.66312603358,0.0,0.0,1525.1406485808748,4.797395778688476,1529.9380443595633,1529.9380443595633,1530.0313361367332,0.0
