,region,hazard,rp,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcwgt_ae,pcsoc,axfin,has_ew,c,dk_private,dk_public,dk0,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,dk_prv_t,sav_i,sav_f,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
8104,ARMM,EQ,25,15361131022233,helped,a,Lanao del Sur,25.87821155937858,1,25.87821155937858,0.0,0,1.0,19294.771000000004,8797.992043544768,1138.2466283096685,9936.238671854437,0.24007389340218657,4.142680174869697e-05,2804.8362197259207,362.87772872064886,3167.7139484465697,2804.8362197259207,362.87772872064886,3167.7139484465697,0.0,3,15573.959716184301,5.63268004315001,17842.719139822915,0,0,0.0,0.014398265627180771,0.010456582520586453,0.0,8797.992043544768,9068.35363117985,6422.606352407387,0.0,2804.8362197259207,133.4283295322407,2938.2645492581614,2938.2645492581614,0.0,56.663904079123554
10442,ARMM,EQ,30,156611115232,helped,a,Sulu,41.98158634926796,0,41.98158634926796,0.0,1,1.0,23225.254000000008,20421.72062876918,2991.9977162870596,23413.71834505624,0.34892202863517313,5.522776395902631e-05,6510.528925827204,953.8612358869522,7464.390161714156,6510.528925827204,953.8612358869522,7464.390161714156,0.0,3,15573.959716184301,5.63268004315001,42044.52149817261,0,0,0.0,0.013123502536159232,0.021119193480813234,0.0,20421.72062876918,38805.0499265029,32606.654670898446,0.0,6510.528925827204,350.73001520005505,6861.258941027259,6861.258941027259,0.0,132.3328028642031
10920,ARMM,EQ,30,1538133016446,helped,a,Maguindanao,19.416332280292718,0,19.416332280292718,2206.9855145248766,0,1.0,24077.40199999999,22989.09869501165,3368.145713347674,26357.244408359322,0.29815298574400695,5.522776395902631e-05,7329.141549484675,1073.778771719127,8402.920321203803,7329.141549484675,1073.778771719127,8402.920321203803,0.0,3,15573.959716184301,5.63268004315001,47330.961597424335,0,0,0.0,0.012889176883419118,0.023062144628367195,0.0,22989.09869501165,40771.049892329,33793.436699338235,0.0,7329.0644798051735,394.8230945524866,7723.88757435766,7723.88757435766,0.0,148.97029972568293
11078,ARMM,EQ,30,1566111124457,helped,a,Sulu,62.972377317081914,0,62.972377317081914,0.0,0,1.0,23425.844,21046.881011929552,3083.5903138321423,24130.471325761693,0.3483040584497238,5.522776395902631e-05,6709.832639350393,983.0613344755524,7692.893973825945,6709.832639350393,983.0613344755524,7692.893973825945,0.0,3,15573.959716184301,5.63268004315001,43331.61036043838,0,0,0.0,0.013067195005065388,0.021609971793384274,0.0,21046.881011929552,38805.0499265029,32416.917455745723,0.0,6709.832639350393,361.4667456976519,7071.299385048045,7071.299385048045,0.0,136.38384377535561
14659,ARMM,EQ,50,15362831020130,helped,a,Lanao del Sur,25.308824716214463,1,25.308824716214463,4893.750435512386,0,1.0,20696.66399999998,12905.834879928476,1917.3154780669042,14823.15035799538,0.6014127865543303,0.00013379940191819866,4115.0882718261,611.2480973961462,4726.3363692222465,4115.0882718261,611.2480973961462,4726.3363692222465,0.0,3,15573.959716184301,5.63268004315001,26621.940544132227,0,0,0.0,0.01390208120794984,0.014729272166928096,0.0,12905.834879928476,9068.35363117985,5146.12164550143,0.0,4114.674250606421,224.75287434383478,4339.427124950256,4339.427124950256,0.0,83.69553004466188
14998,ARMM,EQ,50,15661349011184,helped,a,Sulu,57.024810177074926,0,57.024810177074926,0.0,0,0.0,23559.641000000007,21424.707190125548,3182.8954183014202,24607.60260842697,0.8531899311300979,0.00013379940191819866,6830.285186263332,1014.7202121422426,7845.005398405575,6830.285186263332,1014.7202121422426,7845.005398405575,0.0,3,15573.959716184301,5.63268004315001,44188.40534600318,0,0,0.0,0.013030037375645885,0.021932539888688676,0.0,21424.707190125548,38805.0499265029,32294.53844604597,0.0,6830.285186263332,373.10755698917075,7203.392743252503,7203.392743252503,0.0,138.93335246092417
21178,ARMM,EQ,200,15381213015200,helped,a,Maguindanao,190.87093093988378,0,190.87093093988378,0.0,0,1.0,26927.387000000002,31120.59824042879,5558.821514093773,36679.41975452256,4.538722021429976,0.0006263482401784482,9921.375319762674,1772.1752696016244,11693.550589364299,9921.375319762674,1772.1752696016244,11693.550589364299,0.0,3,15573.959716184301,5.63268004315001,65866.02903827732,0,0,0.0,0.012188012462690734,0.029205343245203706,0.0,31120.59824042879,40771.049892329,31157.548147946298,0.0,9921.375319762674,651.6200007505113,10572.995320513186,10572.995320513186,0.0,203.96250767514042
24418,ARMM,EQ,250,15381220198003,helped,a,Maguindanao,221.3762229445438,1,221.3762229445438,0.0,0,1.0,19139.992000000006,8187.3227960297,1468.5400739732981,9655.862870002999,5.576613810169971,0.0007272660706424334,2610.152340128671,468.176644081132,3078.328984209803,2610.152340128671,468.176644081132,3078.328984209803,0.0,3,15573.959716184301,5.63268004315001,17339.2422356088,0,0,0.0,0.014456365491839507,0.0836540948356437,0.0,8187.3227960297,0.0,-5.576613810169971,0.0,2610.1523401286704,172.1462151066457,2782.298555235316,2782.298555235316,2785.64278852393,0.0
27476,ARMM,EQ,500,15361243030309,helped,a,Lanao del Sur,352.6639094493393,1,352.6639094493393,959.5588900876022,0,1.0,20083.212999999996,10901.288578564518,2141.765263567333,13043.05384213185,8.45811211727182,0.0010960693228146746,3476.427589677385,682.8036165152189,4159.231206192604,3476.427589677385,682.8036165152189,4159.231206192604,0.0,3,15573.959716184301,5.63268004315001,23427.618609967827,0,0,0.0,0.014112806873771106,0.013301920463293818,0.0,10901.288578564518,9068.35363117985,5661.528748279314,0.0,3475.7625672889226,251.06348155175212,3726.8260488406745,3726.8260488406745,0.0,71.90194406715759
27929,ARMM,EQ,500,15661427019261,helped,a,Sulu,614.3523816770863,0,614.3523816770863,0.0,0,1.0,24486.725,23779.080914229966,4671.8522433942435,28450.93315762421,8.712992078457054,0.0010960693228146746,7580.869258566999,1489.405800849119,9070.275059416117,7580.869258566999,1489.405800849119,9070.275059416117,0.0,3,15573.959716184301,5.63268004315001,51089.95731305444,0,0,0.0,0.01278099437529694,0.024585008174707684,0.0,23779.080914229966,38805.0499265029,31384.627661669252,0.0,7580.869258566998,547.6470785450516,8128.51633711205,8128.51633711205,0.0,156.82380180967715
