district,hazard,rp,hhid,affected_cat,hhwgt,hhsize,pcinc,pov_line,ispoor,has_ew,pcinc_ae,pcwgt,hhsize_ae,pcwgt_ae,pcsoc,v,c,social,quintile,c_5,gamma_SP,k,hh_share,ew_expansion,protection,fa,v_with_ew,dk_private,dk_public,dk_other,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min
Ampara,PF,5.0,52102060041,a,7.383839438843687,5,60140.1796875,43493.30859375,0.0,1,60140.1796875,36.91919719421843,5,36.91919719421843,0.0,0.07681214302522779,60139.520937102716,0.0,2.0,42705.9521484375,0.0,178395.14103172816,1.0,0,5,0.056825864933105825,0.07681214302522779,13702.913087934787,0.0,0.0,13702.913087934787,0.0,0.0,0.00017676460994506133,4619.445483689417,0.0,4619.445483689417,60139.52093710272,0.0,60139.52093710272,4.051698722536445,2,0.0
Ampara,PF,5.0,52105080081,a,8.306804519716344,7,58331.73046875,43493.30859375,0.0,1,58331.73046875,58.14763163801441,7,58.14763163801441,0.0,0.1154314779627125,58331.09152734976,0.0,2.0,42705.9521484375,0.0,173030.6982398374,1.0,0,5,0.056825864933105825,0.1154314779627125,19973.189230744545,0.0,0.0,19973.189230744545,0.0,0.0,0.00017676460994506133,6733.244106180241,0.0,6733.244106180241,58331.09152734977,0.0,58331.09152734977,2.5833554584134935,2,0.0
Ampara,PF,5.0,52107005091,a,7.383839438843687,5,64345.86328125,43493.30859375,0.0,1,64345.86328125,36.91919719421843,5,36.91919719421843,0.0,0.11775852053983375,64345.15846355208,0.0,2.0,42705.9521484375,0.0,190870.553006558,1.0,0,5,0.056825864933105825,0.11775852053983375,22476.633936672188,0.0,0.0,22476.633936672188,0.0,0.0,0.00017676460994506133,7577.190664569058,0.0,7577.190664569058,64345.158463552085,0.0,64345.158463552085,2.525643651043413,2,0.0
Ampara,PF,5.0,52109020091,a,7.383839438843687,5,68181.1171875,43493.30859375,0.0,1,68181.1171875,36.91919719421843,5,36.91919719421843,0.0,0.10099176780755466,68180.37036003344,0.0,2.0,42705.9521484375,0.0,202247.15123179017,1.0,0,5,0.056825864933105825,0.10099176780755466,20425.297336940344,0.0,0.0,20425.297336940344,0.0,0.0,0.00017676460994506133,6885.656132433582,0.0,6885.656132433582,68180.37036003346,0.0,68180.37036003346,3.000921514946311,2,0.0
Ampara,PF,5.0,52110029061,a,7.383839438843687,2,56347.53515625,43493.30859375,0.0,0,56347.53515625,14.76767887768737,2,14.76767887768737,0.0,0.3212848415977629,56346.91794889607,0.0,1.0,42705.9521484375,0.0,167144.9359350483,1.0,0,5,0.056825864933105825,0.3212848415977629,53701.134265760214,0.0,0.0,53701.134265760214,0.0,0.0,0.00017676460994506133,18103.41060773322,0.0,18103.41060773322,56346.91794889608,0.0,56346.91794889608,0.7121545543507611,2,0.0
Ampara,PF,5.0,52202063071,a,12.158973160907667,4,58435.03125,43493.30859375,0.0,1,58435.03125,48.63589264363067,4,48.63589264363067,0.0,0.16578080341654616,58434.39117708617,0.0,2.0,42705.9521484375,0.0,173337.12162492768,1.0,0,5,0.056825864933105825,0.16578080341654616,28735.96728489209,0.0,0.0,28735.96728489209,0.0,0.0,0.00017676460994506133,9687.300316494086,0.0,9687.300316494086,58434.391177086174,0.0,58434.391177086174,1.6963789796009696,2,0.0
Ampara,PF,5.0,52203064101,a,13.509951391752095,4,47365.447265625,43493.30859375,0.0,1,47365.447265625,54.03980556700838,4,54.03980556700838,0.0,0.07223326043942425,47364.92844430844,0.0,1.0,42705.9521484375,0.0,140501.17057994622,1.0,0,5,0.056825864933105825,0.07223326043942425,10148.857646545228,0.0,0.0,10148.857646545228,0.0,0.0,0.00017676460994506133,3421.3232120124267,0.0,3421.3232120124267,47364.92844430845,0.0,47364.92844430845,4.329906553301086,2,0.0
Ampara,PF,5.0,52204065041,a,24.317946321815334,4,58664.642578125,43493.30859375,0.0,1,58664.642578125,97.27178528726134,4,97.27178528726134,0.0,0.1149942506285632,58663.99999014463,0.0,2.0,42705.9521484375,0.0,174018.22277022165,1.0,0,5,0.056825864933105825,0.1149942506285632,20011.095123176012,0.0,0.0,20011.095123176012,0.0,0.0,0.00017676460994506133,6746.022717740723,0.0,6746.022717740723,58663.999990144635,0.0,58663.999990144635,2.5944595711943164,2,0.0
Ampara,PF,5.0,52204065061,a,24.317946321815334,4,74925.099609375,43493.30859375,0.0,1,74925.099609375,97.27178528726134,4,97.27178528726134,0.0,0.1095895252972296,74924.27891114312,0.0,3.0,42705.9521484375,0.0,222251.97498717954,1.0,0,5,0.056825864933105825,0.1095895252972296,24356.48843521675,0.0,0.0,24356.48843521675,0.0,0.0,0.00017676460994506133,8210.916159109409,0.0,8210.916159109409,74924.27891114313,0.0,74924.27891114313,2.739038631511991,2,0.0
Ampara,PF,5.0,52204070101,a,15.198702577632405,4,31728.59765625,43493.30859375,1.0,1,31728.59765625,60.79481031052962,4,60.79481031052962,0.0,0.1984986955879737,31728.250114449827,0.0,1.0,42705.9521484375,0.0,94117.23880835267,1.0,0,5,0.056825864933105825,0.1984986955879737,18682.149135799824,0.0,0.0,18682.149135799824,0.0,0.0,0.00017676460994506133,6298.016261007271,0.0,6298.016261007271,31728.25011444983,0.0,31728.25011444983,1.3612049485629927,2,0.0
Ampara,PF,5.0,52206088011,a,15.198702577632405,4,86369.90625,43493.30859375,0.0,1,86369.90625,60.79481031052962,4,60.79481031052962,0.0,0.13844985844701127,86368.96019013868,0.0,4.0,42705.9521484375,0.0,256200.9572706415,1.0,0,5,0.056825864933105825,0.13844985844701127,35470.986268109096,0.0,0.0,35470.986268109096,0.0,0.0,0.00017676460994506133,11957.770312540255,0.0,11957.770312540255,86368.96019013869,0.0,86368.96019013869,2.0978043665083907,2,0.0
