district,hazard,rp,dk_tot,dw_tot,res_tot,dk_lim,dw_lim,res_lim,dk_sub,dw_sub,res_sub,ratio_dw_lim_tot,avg_reco_t,sub_avg_reco_t,non_sub_avg_reco_t,pct_subs
Ampara,PF,5.0,152.22093308409595,262.3312611618083,0.5802622699633373,,,,152.22093308409595,262.3312611618083,0.5802622699633373,,3.5377945504192265,9.66938124132973,3.520498114055586,0.04896031780928159
Ampara,PF,10.0,189.02692102324642,320.82204030984735,0.5891955578883724,,,,189.02692102324642,320.82204030984735,0.5891955578883724,,7.597910148598945,,7.597910148598945,0.04313355994157189
Ampara,PF,25.0,215.44149572584936,379.45471162370865,0.5677660314295816,,,,215.44149572584936,379.45471162370865,0.5677660314295816,,6.085840129852005,,6.085840129852005,0.04138952239098323
Ampara,PF,50.0,227.0857310821824,404.3203170355923,0.5616480832502712,,,,227.0857310821824,404.3203170355923,0.5616480832502712,,8.756642565777053,9.218547234033217,8.755341425866474,0.04704097461854917
Ampara,PF,100.0,248.59988956266338,426.6263718142096,0.582711023009439,,,,248.59988956266338,426.6263718142096,0.582711023009439,,11.757230558589416,,11.757230558589416,0.04743037104934208
Ampara,PF,250.0,263.2032677744509,448.0692109526325,0.5874165449013086,0.583594752647287,6.655993118520309,0.08767959074708685,262.61967302180364,441.4132178341122,0.5949519914931476,0.014854832592422748,4.870475485464703,,4.870475485464703,0.04522097061732155
Ampara,PF,500.0,291.08872454832976,496.78566750547645,0.5859442886305106,,,,291.08872454832976,496.78566750547645,0.5859442886305106,,11.19198978086522,9.634201557261925,11.194180762895606,0.04710785017023346
Ampara,PF,1000.0,312.7511541961972,552.0628571255585,0.566513668071436,,,,312.7511541961972,552.0628571255585,0.566513668071436,,6.818390114027422,,6.818390114027422,0.044815331542539506
Anuradhapura,PF,5.0,202.28747431293493,300.40441271293264,0.6733838311031785,,,,202.28747431293493,300.40441271293264,0.6733838311031785,,4.0920141575910955,9.82701823285321,4.083925294297355,0.06171638343091018
Anuradhapura,PF,10.0,293.0360874880485,435.8155850516469,0.6723855170377211,,,,293.0360874880485,435.8155850516469,0.6723855170377211,,3.6307595787790286,,3.6307595787790286,0.06279117305646566
Anuradhapura,PF,25.0,314.3045392597067,470.2002544843978,0.6684482542536266,,,,314.3045392597067,470.2002544843978,0.6684482542536266,,3.3597164051559743,8.919511660671205,3.3518524797592057,0.06514110438714346
Anuradhapura,PF,50.0,323.10289330002547,491.25050329674133,0.6577151394893416,,,,323.10289330002547,491.25050329674133,0.6577151394893416,,6.154763671075432,9.423918989674139,6.150159226964728,0.06361123790481318
Anuradhapura,PF,100.0,366.09815922405136,553.7100662188266,0.6611730245831744,,,,366.09815922405136,553.7100662188266,0.6611730245831744,,5.525815206431381,9.29383484330973,5.520485617128865,0.0646301158057751
Anuradhapura,PF,250.0,415.7580420817119,608.2090725919999,0.683577507829469,,,,415.7580420817119,608.2090725919999,0.683577507829469,,4.850021256568169,9.623584815068401,4.843288444779029,0.06433811915239823
Anuradhapura,PF,500.0,424.65657412912685,622.9283720799358,0.6817101181492401,,,,424.65657412912685,622.9283720799358,0.6817101181492401,,4.802497337196074,8.687994837313338,4.797032502456106,0.06020704923656102
Anuradhapura,PF,1000.0,483.66280587797473,738.6821103855535,0.6547644772736245,,,,483.66280587797473,738.6821103855535,0.6547644772736245,,4.555988274369276,9.343052291329501,4.549207730435904,0.06680453850866759
Badulla,PF,5.0,161.95018186910818,347.0775085067692,0.46661099581435306,,,,161.95018186910818,347.0775085067692,0.46661099581435306,,11.200484159791685,,11.200484159791685,0.13067287046576886
Badulla,PF,10.0,185.86683663051812,394.64335334407724,0.47097419747613645,,,,185.86683663051812,394.64335334407724,0.47097419747613645,,4.7250270782441905,,4.7250270782441905,0.13672388477062933
Badulla,PF,25.0,204.5548668413837,443.48510941468953,0.46124404743003583,,,,204.5548668413837,443.48510941468953,0.46124404743003583,,6.259920728229346,,6.259920728229346,0.13739550545522072
Badulla,PF,50.0,224.38201800213022,485.45098912308794,0.4622135355156055,,,,224.38201800213022,485.45098912308794,0.4622135355156055,,4.873631751801855,,4.873631751801855,0.13357809240599203
Badulla,PF,100.0,230.84639994059035,492.8522216528671,0.4683886767648244,,,,230.84639994059035,492.8522216528671,0.4683886767648244,,7.183727598369041,,7.183727598369041,0.1301761341724157
Badulla,PF,250.0,240.53267658270815,504.93063171920437,0.47636776513980666,,,,240.53267658270815,504.93063171920437,0.47636776513980666,,15.28010798772255,,15.28010798772255,0.13180888036823507
Badulla,PF,500.0,245.236747501149,522.7893411693948,0.4690928605250334,,,,245.236747501149,522.7893411693948,0.4690928605250334,,5.159686531841621,,5.159686531841621,0.13423058568052634
Badulla,PF,1000.0,258.72969247695966,547.3089685661628,0.47273059156106717,,,,258.72969247695966,547.3089685661628,0.47273059156106717,,5.449112388190882,,5.449112388190882,0.13467405815950423
Batticaloa,PF,5.0,367.99578153715714,1260.168379689076,0.2920211199299839,1.595507596627583,23.750259145667513,0.06717853421479963,366.40027394052953,1236.4181205434083,0.29634010360467367,0.018846893421915145,4.47613343385543,8.66672650210062,4.462257297867861,0.19340853682779888
Batticaloa,PF,10.0,460.39883971675533,1555.9018146642695,0.29590481570078997,3.5788581877864147,78.37493628592601,0.04566329948556627,456.8199815289689,1477.5268783783433,0.30917879614504934,0.050372674899693236,4.355352379957458,8.85070973473066,4.340392788094651,0.1995710864412399
Batticaloa,PF,25.0,499.8541005138305,1711.5419847122118,0.2920489856390398,3.167704684788683,63.05990506195724,0.05023326124066265,496.68639582904177,1648.4820796502547,0.3012992388333513,0.03684391363181224,6.464482591490451,8.849990878680323,6.460565500706887,0.18410877515354793
Batticaloa,PF,50.0,530.4406540718068,1784.1376852166832,0.29730925951905157,,,,530.4406540718068,1784.1376852166832,0.29730925951905157,,9.956714418325113,9.278416751232003,9.957833721406125,0.19204872912029514
Batticaloa,PF,100.0,563.2181399313965,1919.1987787297862,0.29346524506656896,2.4439231199927645,36.30757204237839,0.06731166482683569,560.7742168114038,1882.8912066874077,0.2978261382387463,0.01891808834226562,3.9638158385427498,,3.9638158385427498,0.19675178089309892
Batticaloa,PF,250.0,601.2859475075835,1993.5024999909588,0.30162287105750335,3.6683646574701987,34.177990324016825,0.10733119831485365,597.6175828501134,1959.3245096669418,0.30501204874515664,0.01714469398667513,4.023029457599514,9.023632077668267,4.006388517100116,0.1971871922021051
Batticaloa,PF,500.0,641.223442399865,2245.0078213444185,0.2856219191324998,5.208234502678882,109.95830095261667,0.047365541824106745,636.0152078971862,2135.0495203918017,0.2978924853136294,0.04897902800479704,5.6915193796838714,7.7401487701041685,5.688149923449627,0.18492546394140286
Batticaloa,PF,1000.0,793.6940701465893,2739.6376833269233,0.28970767739723674,5.205978005124835,100.4071057999703,0.051848700982339985,788.4880921414644,2639.230577526952,0.29875680391680837,0.036649775410462056,4.164138036470844,9.134838150614511,4.155894752699461,0.19467223571451178
Colombo,PF,5.0,19132.65872230818,12181.756005194426,1.5705994040719433,2.442596141495612,82.14660348500104,0.02973459690200825,19130.216126166688,12099.609401709426,1.5810606351857923,0.006743412316744227,2.7274440498031414,,2.7274440498031414,0.017062319022392382
Colombo,PF,10.0,20128.954036312512,13272.945600395398,1.5165400840423,2.562754994508539,86.9156571646452,0.02948553894787779,20126.391281318003,13186.029943230755,1.5263419973993149,0.0065483322075889465,2.6833706450730004,,2.6833706450730004,0.017113787654028878
Colombo,PF,25.0,23897.210887454996,15443.824236052702,1.547363562430888,2.8211455016211278,102.98610250350826,0.027393458272925945,23894.38974195337,15340.838133549194,1.557567424539748,0.006668432697070797,2.680935394610851,,2.680935394610851,0.016542280559895543
Colombo,PF,50.0,27351.65149092318,18217.03165091518,1.5014329455561493,11.764193581473192,706.8447484048986,0.01664324960752819,27339.887297341706,17510.18690251027,1.561370386824497,0.038801313076128316,2.955449004151531,,2.955449004151531,0.017401105918467226
Colombo,PF,100.0,30110.571210915827,19586.876916897454,1.537282913384709,3.6271125806310356,128.65149616132132,0.028193318296763935,30106.944098335192,19458.225420736133,1.5472605259393795,0.006568249584002574,2.629885555727748,,2.629885555727748,0.016782634133521504
Colombo,PF,250.0,32150.15340350224,20791.39665633003,1.546320044532169,,,,32150.15340350224,20791.39665633003,1.546320044532169,,8.080648599041268,,8.080648599041268,0.016764974429355466
Colombo,PF,500.0,33095.306789938106,21510.858355304346,1.5385395711918284,4.077900187743571,142.92197777756618,0.02853235206477573,33091.22888975036,21367.936377526785,1.5486394336400808,0.006644178275774066,2.8990909978076296,,2.8990909978076296,0.016819215691878102
Colombo,PF,1000.0,34370.03069776886,22164.305587761042,1.5506928724510876,,,,34370.03069776886,22164.305587761042,1.5506928724510876,,2.9297438726933596,,2.9297438726933596,0.01814144618523823
Galle,PF,5.0,297.8251094138952,483.3490086254191,0.616169898146415,,,,297.8251094138952,483.3490086254191,0.616169898146415,,4.867576735941102,,4.867576735941102,0.08477825477487642
Galle,PF,10.0,333.08628774579637,532.8488135564444,0.625104681237153,,,,333.08628774579637,532.8488135564444,0.625104681237153,,6.224700097559089,,6.224700097559089,0.08266503920954299
Galle,PF,25.0,389.1843928761512,626.741025921257,0.6209652420696135,,,,389.1843928761512,626.741025921257,0.6209652420696135,,4.292699583211887,,4.292699583211887,0.08695636143069774
Galle,PF,50.0,519.9033295385443,835.6436325867629,0.622159146871216,,,,519.9033295385443,835.6436325867629,0.622159146871216,,5.66810525838578,,5.66810525838578,0.09143490374972164
Galle,PF,100.0,580.1881946770969,929.1203241011922,0.6244489326378222,,,,580.1881946770969,929.1203241011922,0.6244489326378222,,5.633809872277513,8.674260397026684,5.631315655276079,0.08276164346272981
Galle,PF,250.0,622.859504366056,998.8401519259722,0.6235827656357755,,,,622.859504366056,998.8401519259722,0.6235827656357755,,7.812401232387268,7.694626446419467,7.8124982462142585,0.08700788939578856
Galle,PF,500.0,642.9116603959377,1006.4676090272906,0.6387802792951134,,,,642.9116603959377,1006.4676090272906,0.6387802792951134,,12.712698788125888,,12.712698788125888,0.09008418118461493
Galle,PF,1000.0,661.6597454453157,1035.653149007343,0.6388816044053997,,,,661.6597454453157,1035.653149007343,0.6388816044053997,,3.72234523078647,8.898378386888346,3.718074576367244,0.08607426266188857
Gampaha,PF,5.0,3667.5570566282345,2656.9274748550106,1.3803752986627436,0.4966758523725873,17.427149812886938,0.02850011950923312,3667.0603807758616,2639.5003250421237,1.3893009771526885,0.006559136437790024,2.843904167331685,,2.843904167331685,0.02207109604702641
Gampaha,PF,10.0,4092.216241193527,2942.4859797018203,1.3907343210546803,,,,4092.216241193527,2942.4859797018203,1.3907343210546803,,2.510013079634991,,2.510013079634991,0.023767576220911475
Gampaha,PF,25.0,5673.325626161935,4129.809682622528,1.3737498970071758,,,,5673.325626161935,4129.809682622528,1.3737498970071758,,2.6899031231513617,,2.6899031231513617,0.023365680003476386
Gampaha,PF,50.0,6050.263291069855,4493.325460202911,1.3465001243859676,,,,6050.263291069855,4493.325460202911,1.3465001243859676,,2.764978412565028,,2.764978412565028,0.023760410632550997
Gampaha,PF,100.0,6704.545684996544,4877.66262979198,1.3745406752911231,0.8856471125943691,31.84611573182049,0.027810208317161727,6703.660037883949,4845.816514060159,1.3833912238387998,0.006528970564161106,3.2985083344282735,,3.2985083344282735,0.020178284368561998
Gampaha,PF,250.0,6979.898154243238,5075.452672221728,1.3752267245924015,,,,6979.898154243238,5075.452672221728,1.3752267245924015,,2.878726511312333,,2.878726511312333,0.02368439876283709
Gampaha,PF,500.0,7327.960532281535,5258.041163895553,1.3936673951126755,,,,7327.960532281535,5258.041163895553,1.3936673951126755,,6.535548872401359,,6.535548872401359,0.019437992469199986
Gampaha,PF,1000.0,7824.053679867418,5835.948226376802,1.3406653685694045,1.0922756779884353,37.12479793873426,0.029421727218313192,7822.961404189429,5798.823428438069,1.3490601155097712,0.006361399467346349,4.927201896789813,,4.927201896789813,0.020578174822249197
Hambantota,PF,5.0,715.016462121197,1008.7049326468049,0.7088460053873435,4.068504864310186,166.0740276489568,0.02449814050942446,710.9479572568869,842.6309049978479,0.8437240469582619,0.1646408402238944,4.048666073588887,,4.048666073588887,0.049459806269773934
Hambantota,PF,10.0,843.366681121645,1205.8047724111714,0.6994222451410754,,,,843.366681121645,1205.8047724111714,0.6994222451410754,,3.0760643391328073,,3.0760643391328073,0.047178993442970656
Hambantota,PF,25.0,972.3645857191112,1359.3069228342638,0.7153385077239607,6.07206516809791,210.3867874754774,0.02886143774026526,966.2925205510132,1148.9201353587862,0.8410441168299816,0.15477504303207998,3.479763980676559,,3.479763980676559,0.04447053415832359
Hambantota,PF,50.0,1080.739138946134,1504.4957423958922,0.7183397788983233,6.768305724220121,244.65604628181595,0.027664575746571995,1073.970833221914,1259.839696114076,0.8524662594253325,0.16261664249857166,3.0072630364940074,,3.0072630364940074,0.04478414476366929
Hambantota,PF,100.0,1112.3146267032153,1556.4341089122604,0.7146557765176289,,,,1112.3146267032153,1556.4341089122604,0.7146557765176289,,8.196118740330169,,8.196118740330169,0.046093370046321296
Hambantota,PF,250.0,1202.0036630610673,1711.0487093088338,0.7024952922273079,8.299007153135799,265.4365338135207,0.03126550454040425,1193.7046559079308,1445.612175495313,0.8257433605931891,0.1551309044385662,2.990038268125729,,2.990038268125729,0.04292148163923347
