region,hazard,rp,fa,v,,
ARMM,EQ,1,0.00089796,0.239251439,,
ARMM,EQ,10,0.001464182,0.240096043,,
ARMM,EQ,25,0.010821069,0.239372979,,
ARMM,EQ,30,0.014633878,0.238847879,,
ARMM,EQ,50,0.035347779,0.238105071,,
ARMM,EQ,100,0.089733526,0.238644647,,
ARMM,EQ,200,0.164088399,0.239594887,,
ARMM,EQ,250,0.19017876,0.239181288,,
ARMM,EQ,500,0.284783007,0.240219071,,
ARMM,EQ,1000,0.385022341,0.240587481,,
ARMM,EQ,2000,0.648679405,0.239184093,,
ARMM,HU,1,1.00E-08,0.204756621,,
ARMM,HU,10,1.00E-08,0.204066999,,
ARMM,HU,25,0.000121635,0.205075897,,
ARMM,HU,30,0.000193325,0.206378063,,
ARMM,HU,50,0.000695061,0.204123358,,
ARMM,HU,100,0.002831891,0.20540802,,
ARMM,HU,200,0.008285994,0.203717648,,
ARMM,HU,250,0.012462377,0.205807591,,
ARMM,HU,500,0.03183421,0.203788048,,
ARMM,HU,1000,0.047733456,0.205301324,,
ARMM,HU,2000,0.263769751,0.204484721,,
ARMM,PF,1,5.67E-05,0.205167872,,
ARMM,PF,10,0.000110517,0.205053732,,
ARMM,PF,25,0.000747021,0.205369313,,
ARMM,PF,30,0.00125566,0.205956501,,
ARMM,PF,50,0.003389403,0.205236884,,
ARMM,PF,100,0.007684239,0.204873353,,
ARMM,PF,200,0.011981961,0.205210145,,
ARMM,PF,250,0.014158274,0.204655064,,
ARMM,PF,500,0.022881028,0.205363434,,
ARMM,PF,1000,0.032171434,0.205148314,,
ARMM,PF,2000,0.062958389,0.205240826,,
ARMM,SS,1,1.00E-08,0.205362035,,
ARMM,SS,10,1.00E-08,0.205286765,,
ARMM,SS,25,1.00E-08,0.205602213,,
ARMM,SS,30,1.00E-08,0.204447708,,
ARMM,SS,50,1.00E-08,0.205684312,,
ARMM,SS,100,1.00E-08,0.204709349,,
ARMM,SS,200,1.00E-08,0.203886698,,
ARMM,SS,250,1.00E-08,0.204358185,,
ARMM,SS,500,1.00E-08,0.205548387,,
ARMM,SS,1000,1.00E-08,0.205228079,,
ARMM,SS,2000,0.000332651,0.203893092,,
CAR,EQ,1,0.000103068,0.168720875,,
CAR,EQ,10,0.000130064,0.166809335,,
CAR,EQ,25,0.007546226,0.169516521,,
CAR,EQ,30,0.013802878,0.167572812,,
CAR,EQ,50,0.04853553,0.169361842,,
CAR,EQ,100,0.199283382,0.168093483,,
CAR,EQ,200,0.4245814,0.167747499,,
CAR,EQ,250,0.600961677,0.167429046,,
CAR,EQ,500,0.95,0.192822278,,
CAR,EQ,1000,0.95,0.304343202,,
CAR,EQ,2000,0.95,0.756131505,,
CAR,HU,1,0.010567086,0.137511558,,
CAR,HU,10,0.061103329,0.137294859,,
CAR,HU,25,0.166929477,0.136077254,,
CAR,HU,30,0.191002779,0.136455312,,
CAR,HU,50,0.274618426,0.1370675,,
CAR,HU,100,0.417940165,0.136645465,,
CAR,HU,200,0.614700643,0.135228111,,
CAR,HU,250,0.669390313,0.137278086,,
CAR,HU,500,0.888057492,0.137261367,,
CAR,HU,1000,0.95,0.160367118,,
CAR,HU,2000,1.00E-08,0.136766397,,
CAR,PF,1,0.009526486,0.135672834,,
CAR,PF,10,0.037757666,0.136504442,,
CAR,PF,25,0.089911478,0.137152682,,
CAR,PF,30,0.10202892,0.137167762,,
CAR,PF,50,0.140857487,0.13706527,,
CAR,PF,100,0.245140953,0.135665146,,
CAR,PF,200,0.379973069,0.136986819,,
CAR,PF,250,0.403396566,0.136072179,,
CAR,PF,500,0.439911304,0.1375746,,
CAR,PF,1000,0.495434548,0.135501271,,
CAR,PF,2000,1.00E-08,0.137587201,,
I - Ilocos,EQ,1,0.001625857,0.172579451,,
I - Ilocos,EQ,10,0.002023695,0.17293556,,
I - Ilocos,EQ,25,0.032471339,0.172533663,,
I - Ilocos,EQ,30,0.050470866,0.172594927,,
I - Ilocos,EQ,50,0.149443306,0.173438648,,
I - Ilocos,EQ,100,0.529675519,0.171355109,,
I - Ilocos,EQ,200,0.95,0.19196018,,
I - Ilocos,EQ,250,0.95,0.238964572,,
I - Ilocos,EQ,500,0.95,0.39610383,,
I - Ilocos,EQ,1000,0.95,0.487920503,,
I - Ilocos,EQ,2000,0.95,0.903363275,,
I - Ilocos,HU,1,0.015089072,0.140979351,,
I - Ilocos,HU,10,0.081491221,0.140742868,,
I - Ilocos,HU,25,0.230045857,0.139713827,,
I - Ilocos,HU,30,0.261980705,0.141159468,,
I - Ilocos,HU,50,0.388592673,0.141041005,,
I - Ilocos,HU,100,0.607391974,0.140867485,,
I - Ilocos,HU,200,0.872230379,0.140522193,,
I - Ilocos,HU,250,0.95,0.143785006,,
I - Ilocos,HU,500,0.95,0.201525477,,
I - Ilocos,HU,1000,0.95,0.257566344,,
I - Ilocos,HU,2000,1.00E-08,0.14122608,,
I - Ilocos,PF,1,0.003487442,0.14046731,,
I - Ilocos,PF,10,0.014419849,0.140594933,,
I - Ilocos,PF,25,0.041036,0.140533605,,
I - Ilocos,PF,30,0.050485519,0.140308665,,
I - Ilocos,PF,50,0.081337757,0.14105308,,
I - Ilocos,PF,100,0.136764077,0.14118507,,
I - Ilocos,PF,200,0.191077236,0.140011646,,
I - Ilocos,PF,250,0.205276699,0.140836869,,
I - Ilocos,PF,500,0.261856952,0.140904137,,
I - Ilocos,PF,1000,0.322730571,0.141382407,,
I - Ilocos,PF,2000,1.00E-08,0.140813376,,
I - Ilocos,SS,1,1.00E-08,0.140505696,,
I - Ilocos,SS,10,1.00E-08,0.139740409,,
I - Ilocos,SS,25,0.004170597,0.14033606,,
I - Ilocos,SS,30,0.004708229,0.140262545,,
I - Ilocos,SS,50,0.008123344,0.140485554,,
I - Ilocos,SS,100,0.010171301,0.139414052,,
I - Ilocos,SS,200,0.011702608,0.140580289,,
I - Ilocos,SS,250,0.012232497,0.140318879,,
I - Ilocos,SS,500,0.013599065,0.141143797,,
I - Ilocos,SS,1000,0.014890415,0.140584045,,
I - Ilocos,SS,2000,0.333565911,0.141181867,,
II - Cagayan Valley,EQ,1,0.001550265,0.163750347,,
II - Cagayan Valley,EQ,10,0.002669058,0.163494662,,
II - Cagayan Valley,EQ,25,0.027494813,0.163996625,,
II - Cagayan Valley,EQ,30,0.037459163,0.164171378,,
II - Cagayan Valley,EQ,50,0.087453654,0.161360756,,
II - Cagayan Valley,EQ,100,0.190052843,0.164517641,,
II - Cagayan Valley,EQ,200,0.328644304,0.163788977,,
II - Cagayan Valley,EQ,250,0.365510015,0.163723721,,
II - Cagayan Valley,EQ,500,0.527315647,0.164505823,,
II - Cagayan Valley,EQ,1000,0.659157091,0.163856207,,
II - Cagayan Valley,EQ,2000,0.95,0.180848603,,
II - Cagayan Valley,HU,1,0.035263491,0.132882831,,
II - Cagayan Valley,HU,10,0.20379003,0.133581032,,
II - Cagayan Valley,HU,25,0.446661391,0.132170758,,
II - Cagayan Valley,HU,30,0.506702964,0.132545962,,
