region,hazard,rp,fa,v,,
II - Cagayan Valley,HU,50,0.700378575,0.133226344,,
II - Cagayan Valley,HU,100,0.95,0.143891152,,
II - Cagayan Valley,HU,200,0.95,0.196019986,,
II - Cagayan Valley,HU,250,0.95,0.211396537,,
II - Cagayan Valley,HU,500,0.95,0.278566037,,
II - Cagayan Valley,HU,1000,0.95,0.35132096,,
II - Cagayan Valley,HU,2000,1.00E-08,0.132948504,,
II - Cagayan Valley,PF,1,0.002994793,0.132792702,,
II - Cagayan Valley,PF,10,0.010265854,0.133583082,,
II - Cagayan Valley,PF,25,0.042428203,0.132332576,,
II - Cagayan Valley,PF,30,0.052874136,0.133589057,,
II - Cagayan Valley,PF,50,0.103430964,0.134197905,,
II - Cagayan Valley,PF,100,0.192003376,0.131772046,,
II - Cagayan Valley,PF,200,0.285549279,0.13296244,,
II - Cagayan Valley,PF,250,0.313618908,0.133095901,,
II - Cagayan Valley,PF,500,0.4165297,0.132958024,,
II - Cagayan Valley,PF,1000,0.513883415,0.132599006,,
II - Cagayan Valley,PF,2000,1.00E-08,0.132979255,,
II - Cagayan Valley,SS,1,0.004054043,0.132649217,,
II - Cagayan Valley,SS,10,0.011292223,0.132730609,,
II - Cagayan Valley,SS,25,0.014501922,0.133697751,,
II - Cagayan Valley,SS,30,0.015233533,0.13234022,,
II - Cagayan Valley,SS,50,0.016815237,0.131874849,,
II - Cagayan Valley,SS,100,0.018699893,0.13303796,,
II - Cagayan Valley,SS,200,0.020657,0.133625133,,
II - Cagayan Valley,SS,250,0.02116697,0.133582196,,
II - Cagayan Valley,SS,500,0.022847783,0.132200766,,
II - Cagayan Valley,SS,1000,0.025199926,0.133390267,,
II - Cagayan Valley,SS,2000,1.00E-08,0.132955478,,
III - Central Luzon,EQ,1,0.001674664,0.164269898,,
III - Central Luzon,EQ,10,0.002089726,0.164769682,,
III - Central Luzon,EQ,25,0.03803258,0.164181413,,
III - Central Luzon,EQ,30,0.056015288,0.165084528,,
III - Central Luzon,EQ,50,0.155880649,0.165018523,,
III - Central Luzon,EQ,100,0.42263076,0.165481183,,
III - Central Luzon,EQ,200,0.808418376,0.166458085,,
III - Central Luzon,EQ,250,0.94864727,0.165500093,,
III - Central Luzon,EQ,500,0.95,0.234794943,,
III - Central Luzon,EQ,1000,0.95,0.331841681,,
III - Central Luzon,EQ,2000,0.95,0.797033663,,
III - Central Luzon,HU,1,0.014320061,0.132207175,,
III - Central Luzon,HU,10,0.055901746,0.132494693,,
III - Central Luzon,HU,25,0.223974132,0.133664786,,
III - Central Luzon,HU,30,0.273603193,0.133632347,,
III - Central Luzon,HU,50,0.455826203,0.132242072,,
III - Central Luzon,HU,100,0.758429504,0.133299801,,
III - Central Luzon,HU,200,0.95,0.169061918,,
III - Central Luzon,HU,250,0.95,0.190781552,,
III - Central Luzon,HU,500,0.95,0.278907173,,
III - Central Luzon,HU,1000,0.95,0.386711547,,
III - Central Luzon,HU,2000,1.00E-08,0.133314396,,
III - Central Luzon,PF,1,0.0097657,0.133048533,,
III - Central Luzon,PF,10,0.048982057,0.132927395,,
III - Central Luzon,PF,25,0.086363523,0.132368775,,
III - Central Luzon,PF,30,0.094835243,0.133875953,,
III - Central Luzon,PF,50,0.125490572,0.133020623,,
III - Central Luzon,PF,100,0.181354623,0.133011736,,
III - Central Luzon,PF,200,0.244342944,0.134127667,,
III - Central Luzon,PF,250,0.269960269,0.133669329,,
III - Central Luzon,PF,500,0.334151858,0.133594175,,
III - Central Luzon,PF,1000,0.39870686,0.133929512,,
III - Central Luzon,PF,2000,1.00E-08,0.132738445,,
III - Central Luzon,SS,1,0.000475444,0.133398235,,
III - Central Luzon,SS,10,0.004073147,0.133431407,,
III - Central Luzon,SS,25,0.006728739,0.133580797,,
III - Central Luzon,SS,30,0.007278272,0.133897334,,
III - Central Luzon,SS,50,0.008935051,0.133115276,,
III - Central Luzon,SS,100,0.01159313,0.133762118,,
III - Central Luzon,SS,200,0.015685735,0.133557412,,
III - Central Luzon,SS,250,0.016740112,0.133224704,,
III - Central Luzon,SS,500,0.019894438,0.132850941,,
III - Central Luzon,SS,1000,0.025073455,0.133422649,,
III - Central Luzon,SS,2000,1.00E-08,0.133353571,,
IVA - CALABARZON,EQ,1,0.001515652,0.159287656,,
IVA - CALABARZON,EQ,10,0.001990857,0.158600839,,
IVA - CALABARZON,EQ,25,0.032080727,0.1589941,,
IVA - CALABARZON,EQ,30,0.049211065,0.159766724,,
IVA - CALABARZON,EQ,50,0.160308789,0.159904391,,
IVA - CALABARZON,EQ,100,0.458658328,0.159064868,,
IVA - CALABARZON,EQ,200,0.925152668,0.159281163,,
IVA - CALABARZON,EQ,250,0.95,0.201393443,,
IVA - CALABARZON,EQ,500,0.95,0.387850587,,
IVA - CALABARZON,EQ,1000,0.95,0.455178176,,
IVA - CALABARZON,EQ,2000,0.95,0.903007394,,
IVA - CALABARZON,HU,1,0.017775111,0.128405584,,
IVA - CALABARZON,HU,10,0.052897147,0.128845684,,
IVA - CALABARZON,HU,25,0.239825506,0.129165897,,
IVA - CALABARZON,HU,30,0.310594253,0.12902385,,
IVA - CALABARZON,HU,50,0.527354713,0.12920092,,
IVA - CALABARZON,HU,100,0.95,0.131908467,,
IVA - CALABARZON,HU,200,0.95,0.242830578,,
IVA - CALABARZON,HU,250,0.95,0.278666431,,
IVA - CALABARZON,HU,500,0.95,0.415420652,,
IVA - CALABARZON,HU,1000,0.95,0.585413655,,
IVA - CALABARZON,HU,2000,1.00E-08,0.128046823,,
IVA - CALABARZON,PF,1,0.011117127,0.129186038,,
IVA - CALABARZON,PF,10,0.058104371,0.129644635,,
IVA - CALABARZON,PF,25,0.105642006,0.129044747,,
IVA - CALABARZON,PF,30,0.118596032,0.128249163,,
IVA - CALABARZON,PF,50,0.154381913,0.128067184,,
IVA - CALABARZON,PF,100,0.21001913,0.12934642,,
IVA - CALABARZON,PF,200,0.285554252,0.129104978,,
IVA - CALABARZON,PF,250,0.316986802,0.128732291,,
IVA - CALABARZON,PF,500,0.397891433,0.128690657,,
IVA - CALABARZON,PF,1000,0.485565999,0.128711094,,
IVA - CALABARZON,PF,2000,1.00E-08,0.129602529,,
IVA - CALABARZON,SS,1,0.001407801,0.128200693,,
IVA - CALABARZON,SS,10,0.012132058,0.129667775,,
IVA - CALABARZON,SS,25,0.017219255,0.128940959,,
IVA - CALABARZON,SS,30,0.018845901,0.129283656,,
IVA - CALABARZON,SS,50,0.023625174,0.128676359,,
IVA - CALABARZON,SS,100,0.028397305,0.129231782,,
IVA - CALABARZON,SS,200,0.034764164,0.128019081,,
IVA - CALABARZON,SS,250,0.037420743,0.128923146,,
IVA - CALABARZON,SS,500,0.041610252,0.129725464,,
IVA - CALABARZON,SS,1000,0.046027815,0.12933493,,
IVA - CALABARZON,SS,2000,1.00E-08,0.129481275,,
IVB - MIMAROPA,EQ,1,0.000814464,0.224183101,,
IVB - MIMAROPA,EQ,10,0.001047736,0.225056616,,
IVB - MIMAROPA,EQ,25,0.00930907,0.225552916,,
IVB - MIMAROPA,EQ,30,0.013698406,0.224290275,,
IVB - MIMAROPA,EQ,50,0.032391632,0.227709368,,
IVB - MIMAROPA,EQ,100,0.082277159,0.227024659,,
IVB - MIMAROPA,EQ,200,0.184432097,0.22495284,,
IVB - MIMAROPA,EQ,250,0.223780429,0.225887878,,
IVB - MIMAROPA,EQ,500,0.358608666,0.226667201,,
IVB - MIMAROPA,EQ,1000,0.495656033,0.223702594,,
IVB - MIMAROPA,EQ,2000,0.411930326,0.225209007,,
IVB - MIMAROPA,HU,1,0.002756469,0.187145312,,
IVB - MIMAROPA,HU,10,0.010274535,0.188750095,,
IVB - MIMAROPA,HU,25,0.039861269,0.185564121,,
IVB - MIMAROPA,HU,30,0.048799899,0.187504118,,
IVB - MIMAROPA,HU,50,0.080712451,0.187907031,,
IVB - MIMAROPA,HU,100,0.151778389,0.187735249,,
IVB - MIMAROPA,HU,200,0.237220234,0.186882066,,
IVB - MIMAROPA,HU,250,0.267494186,0.1892734,,
IVB - MIMAROPA,HU,500,0.402395316,0.186994704,,
IVB - MIMAROPA,HU,1000,0.621740389,0.187338829,,
IVB - MIMAROPA,HU,2000,1.00E-08,0.187772123,,
IVB - MIMAROPA,PF,1,0.000382655,0.188143117,,
IVB - MIMAROPA,PF,10,0.00116328,0.188371416,,
IVB - MIMAROPA,PF,25,0.004998553,0.188575299,,
IVB - MIMAROPA,PF,30,0.006659669,0.186924554,,
IVB - MIMAROPA,PF,50,0.013424023,0.186738311,,
IVB - MIMAROPA,PF,100,0.027423066,0.186777251,,
IVB - MIMAROPA,PF,200,0.044226584,0.186734966,,
IVB - MIMAROPA,PF,250,0.049997353,0.187562078,,
IVB - MIMAROPA,PF,500,0.06771583,0.1876375,,
IVB - MIMAROPA,PF,1000,0.087880275,0.187420665,,
IVB - MIMAROPA,PF,2000,0.034988534,0.18870543,,
IVB - MIMAROPA,SS,1,8.08E-05,0.188372751,,
IVB - MIMAROPA,SS,10,0.000365963,0.187993244,,
IVB - MIMAROPA,SS,25,0.002943431,0.187564547,,
IVB - MIMAROPA,SS,30,0.003697202,0.188969996,,
IVB - MIMAROPA,SS,50,0.011946306,0.185972771,,
IVB - MIMAROPA,SS,100,0.015054391,0.188273091,,
IVB - MIMAROPA,SS,200,0.017235329,0.188038651,,
IVB - MIMAROPA,SS,250,0.017730172,0.188352045,,
IVB - MIMAROPA,SS,500,0.019641176,0.187280818,,
IVB - MIMAROPA,SS,1000,0.022143687,0.187061151,,
IVB - MIMAROPA,SS,2000,0.132697584,0.186769678,,
IX - Zamboanga Peninsula,EQ,1,0.000383914,0.226912076,,
IX - Zamboanga Peninsula,EQ,10,0.0004803,0.226601996,,
IX - Zamboanga Peninsula,EQ,25,0.006012009,0.226113696,,
IX - Zamboanga Peninsula,EQ,30,0.008708486,0.226235313,,
IX - Zamboanga Peninsula,EQ,50,0.02437469,0.226680437,,
IX - Zamboanga Peninsula,EQ,100,0.074134088,0.22674578,,
IX - Zamboanga Peninsula,EQ,200,0.141517043,0.226615672,,
IX - Zamboanga Peninsula,EQ,250,0.16478427,0.22473996,,
IX - Zamboanga Peninsula,EQ,500,0.228696818,0.225743309,,
IX - Zamboanga Peninsula,EQ,1000,0.277338426,0.225465481,,
IX - Zamboanga Peninsula,EQ,2000,0.666202013,0.22687077,,
IX - Zamboanga Peninsula,HU,1,2.13E-08,0.189851447,,
IX - Zamboanga Peninsula,HU,10,2.67E-08,0.189364139,,
IX - Zamboanga Peninsula,HU,25,8.29E-05,0.190664043,,
IX - Zamboanga Peninsula,HU,30,0.000139053,0.189111579,,
IX - Zamboanga Peninsula,HU,50,0.000521672,0.189551049,,
IX - Zamboanga Peninsula,HU,100,0.001877679,0.189816373,,
IX - Zamboanga Peninsula,HU,200,0.006047568,0.189852235,,
IX - Zamboanga Peninsula,HU,250,0.007609918,0.189726771,,
IX - Zamboanga Peninsula,HU,500,0.017205179,0.188336356,,
IX - Zamboanga Peninsula,HU,1000,0.032651707,0.189117245,,
IX - Zamboanga Peninsula,HU,2000,0.153367089,0.190449157,,
IX - Zamboanga Peninsula,PF,1,1.68E-06,0.189971514,,
IX - Zamboanga Peninsula,PF,10,2.11E-06,0.190193316,,
IX - Zamboanga Peninsula,PF,25,0.00026361,0.189198695,,
IX - Zamboanga Peninsula,PF,30,0.000381258,0.190201196,,
IX - Zamboanga Peninsula,PF,50,0.001167853,0.18893841,,
IX - Zamboanga Peninsula,PF,100,0.003163534,0.19075533,,
IX - Zamboanga Peninsula,PF,200,0.008205171,0.190533182,,
IX - Zamboanga Peninsula,PF,250,0.010505795,0.18910436,,
IX - Zamboanga Peninsula,PF,500,0.018516755,0.188434053,,
IX - Zamboanga Peninsula,PF,1000,0.027432349,0.189207597,,
IX - Zamboanga Peninsula,PF,2000,0.100969339,0.189613509,,
IX - Zamboanga Peninsula,SS,1,1.00E-08,0.189264947,,
IX - Zamboanga Peninsula,SS,10,1.00E-08,0.187176239,,
IX - Zamboanga Peninsula,SS,25,1.00E-08,0.189693674,,
IX - Zamboanga Peninsula,SS,30,1.00E-08,0.189731921,,
IX - Zamboanga Peninsula,SS,50,1.00E-08,0.189559621,,
IX - Zamboanga Peninsula,SS,100,1.49E-05,0.188502481,,
IX - Zamboanga Peninsula,SS,200,0.000302145,0.189837345,,
IX - Zamboanga Peninsula,SS,250,0.000328728,0.189515816,,
IX - Zamboanga Peninsula,SS,500,0.002080024,0.190452161,,
IX - Zamboanga Peninsula,SS,1000,0.005330018,0.190189875,,
IX - Zamboanga Peninsula,SS,2000,0.013861898,0.188749852,,
NCR,EQ,1,0.001362757,0.154220477,0.001560256,0.873418841
NCR,EQ,10,0.001699172,0.154038771,0.001943356,0.874349472
NCR,EQ,25,0.059905951,0.154332605,0.068582351,0.873489319
NCR,EQ,30,0.101368892,0.153530988,0.115555251,0.877233102
NCR,EQ,50,0.34171907,0.153775227,0.390473772,0.875139624
NCR,EQ,100,0.95,0.167177026,0.895086142,1.061350361
NCR,EQ,200,0.95,0.328148639,0.942315149,1.008155288
NCR,EQ,250,0.95,0.37763481,0.945794997,1.004445999
NCR,EQ,500,0.95,0.628411862,0.949703341,1.00031237
NCR,EQ,1000,0.95,0.767796183,0.95,1
NCR,EQ,2000,0.95,0.95,0.95,1
NCR,HU,1,0.016119901,0.123968884,0.01844613,0.873890668
NCR,HU,10,0.047060183,0.123919071,0.054144261,0.869162888
NCR,HU,25,0.223664796,0.12282611,0.253847254,0.881099922
NCR,HU,30,0.282225478,0.124349791,0.323360055,0.872790173
NCR,HU,50,0.506027788,0.123842123,0.576640982,0.87754392
NCR,HU,100,0.911001252,0.123524148,0.857116113,1.062867958
NCR,HU,200,0.95,0.185011099,0.931618871,1.01973031
NCR,HU,250,0.95,0.204179348,0.934888442,1.016164022
NCR,HU,500,0.95,0.327745135,0.946245565,1.003967717
NCR,HU,1000,0.95,0.498551829,0.949556718,1.000466831
NCR,HU,2000,1.00E-08,0.123973156,1.00E-08,1
NCR,PF,1,0.064015401,0.12298518,0.072659593,0.881031643
NCR,PF,10,0.360220877,0.123689431,0.410943807,0.876569668
NCR,PF,25,0.532263593,0.123767945,0.611620674,0.870251147
NCR,PF,30,0.559059664,0.12420041,0.640527829,0.872810889
NCR,PF,50,0.647475307,0.123608334,0.709669309,0.912361996
NCR,PF,100,0.761753031,0.123712637,0.787788954,0.966950637
NCR,PF,200,0.873308631,0.124003637,0.846470215,1.031706273
NCR,PF,250,0.920755977,0.123160886,0.861203629,1.069150136
NCR,PF,500,0.95,0.139719114,0.903361511,1.051627713
NCR,PF,1000,0.95,0.158797134,0.921644273,1.030766455
NCR,PF,2000,1.00E-08,0.12319137,1.00E-08,1
NCR,SS,1,4.89E-07,0.12426522,5.56E-07,0.879640902
NCR,SS,10,6.08E-07,0.124025945,7.00E-07,0.868478167
NCR,SS,25,1.37E-05,0.123743661,1.55E-05,0.882061533
NCR,SS,30,1.67E-05,0.124042918,1.90E-05,0.876764678
NCR,SS,50,0.002406839,0.123701264,0.00275206,0.874559132
NCR,SS,100,0.035349413,0.122471339,0.039741325,0.889487527
NCR,SS,200,0.068262043,0.123745372,0.078319886,0.871579967
NCR,SS,250,0.072748007,0.124520145,0.083999648,0.866051332
NCR,SS,500,0.093443823,0.123504112,0.106695419,0.875799765
NCR,SS,1000,0.134316831,0.123909582,0.152980787,0.877998041
NCR,SS,2000,0.594528192,0.123535136,0.665095934,0.893898401
V - Bicol,EQ,1,0.000659619,0.228888981,,
V - Bicol,EQ,10,0.000824028,0.22927656,,
V - Bicol,EQ,25,0.010528959,0.228601988,,
V - Bicol,EQ,30,0.015563894,0.228112815,,
V - Bicol,EQ,50,0.040088253,0.227609928,,
V - Bicol,EQ,100,0.105870508,0.229054975,,
V - Bicol,EQ,200,0.229249398,0.227483651,,
V - Bicol,EQ,250,0.291084281,0.22884109,,
V - Bicol,EQ,500,0.467660231,0.226738104,,
V - Bicol,EQ,1000,0.656730519,0.228823976,,
V - Bicol,EQ,2000,0.95,0.310518218,,
V - Bicol,HU,1,0.011648765,0.188031305,,
V - Bicol,HU,10,0.048373665,0.188099807,,
V - Bicol,HU,25,0.170418897,0.188917088,,
V - Bicol,HU,30,0.206864882,0.188268045,,
V - Bicol,HU,50,0.33677006,0.188221061,,
V - Bicol,HU,100,0.609667135,0.186600108,,
V - Bicol,HU,200,0.95,0.218118817,,
V - Bicol,HU,250,0.95,0.2570979,,
V - Bicol,HU,500,0.95,0.388320863,,
V - Bicol,HU,1000,0.95,0.515514055,,
V - Bicol,HU,2000,1.00E-08,0.188164207,,
V - Bicol,PF,1,0.001694508,0.187693989,,
V - Bicol,PF,10,0.007432717,0.18834603,,
V - Bicol,PF,25,0.017806941,0.186781063,,
V - Bicol,PF,30,0.020781102,0.187171847,,
V - Bicol,PF,50,0.032170884,0.189039809,,
V - Bicol,PF,100,0.05901249,0.187894966,,
V - Bicol,PF,200,0.092014731,0.186527835,,
V - Bicol,PF,250,0.100347004,0.187285854,,
V - Bicol,PF,500,0.132875596,0.187819464,,
V - Bicol,PF,1000,0.164722181,0.18800667,,
V - Bicol,PF,2000,0.011357615,0.188838828,,
V - Bicol,SS,1,0.008451244,0.187474156,,
V - Bicol,SS,10,0.033217258,0.187834926,,
V - Bicol,SS,25,0.050921865,0.188757644,,
V - Bicol,SS,30,0.054603503,0.187708078,,
V - Bicol,SS,50,0.064618227,0.188228511,,
V - Bicol,SS,100,0.080266074,0.188477866,,
V - Bicol,SS,200,0.093632718,0.187672982,,
V - Bicol,SS,250,0.097107003,0.187754993,,
V - Bicol,SS,500,0.109711713,0.187606256,,
V - Bicol,SS,1000,0.121389891,0.187355624,,
V - Bicol,SS,2000,1.00E-08,0.187781012,,
VI - Western Visayas,EQ,1,0.000309573,0.222622023,,
VI - Western Visayas,EQ,10,0.000383828,0.224852919,,
VI - Western Visayas,EQ,25,0.008294189,0.223619917,,
VI - Western Visayas,EQ,30,0.01254391,0.224130748,,
VI - Western Visayas,EQ,50,0.035516618,0.224890874,,
VI - Western Visayas,EQ,100,0.137991736,0.223850663,,
VI - Western Visayas,EQ,200,0.317448344,0.223396563,,
VI - Western Visayas,EQ,250,0.390836464,0.22310634,,
VI - Western Visayas,EQ,500,0.60192404,0.224028881,,
VI - Western Visayas,EQ,1000,0.797936638,0.222190384,,
VI - Western Visayas,EQ,2000,0.95,0.564493193,,
VI - Western Visayas,HU,1,0.001367062,0.183052533,,
VI - Western Visayas,HU,10,0.004062457,0.183633026,,
VI - Western Visayas,HU,25,0.017115485,0.183131227,,
VI - Western Visayas,HU,30,0.021595752,0.183320355,,
VI - Western Visayas,HU,50,0.038533834,0.183241975,,
VI - Western Visayas,HU,100,0.073592641,0.183393864,,
VI - Western Visayas,HU,200,0.119087069,0.183455495,,
VI - Western Visayas,HU,250,0.142808702,0.182454506,,
VI - Western Visayas,HU,500,0.259325636,0.182463938,,
VI - Western Visayas,HU,1000,0.418656336,0.183916273,,
VI - Western Visayas,HU,2000,0.000879013,0.183343768,,
VI - Western Visayas,PF,1,0.001178109,0.183050461,,
VI - Western Visayas,PF,10,0.007087224,0.183452808,,
VI - Western Visayas,PF,25,0.015382338,0.182533845,,
VI - Western Visayas,PF,30,0.017314974,0.182408902,,
VI - Western Visayas,PF,50,0.024437527,0.182647556,,
VI - Western Visayas,PF,100,0.039569562,0.18371368,,
VI - Western Visayas,PF,200,0.059683479,0.182890775,,
VI - Western Visayas,PF,250,0.069245405,0.182299817,,
VI - Western Visayas,PF,500,0.090833531,0.183508735,,
VI - Western Visayas,PF,1000,0.114006215,0.181652056,,
VI - Western Visayas,PF,2000,0.016232254,0.181582819,,
VI - Western Visayas,SS,1,0.00076239,0.183326963,,
VI - Western Visayas,SS,10,0.007353063,0.183702078,,
VI - Western Visayas,SS,25,0.015291455,0.182036013,,
VI - Western Visayas,SS,30,0.017683788,0.181995949,,
VI - Western Visayas,SS,50,0.023991033,0.18273721,,
VI - Western Visayas,SS,100,0.035510012,0.183212294,,
VI - Western Visayas,SS,200,0.074553582,0.182561859,,
VI - Western Visayas,SS,250,0.084191058,0.183303493,,
VI - Western Visayas,SS,500,0.110737737,0.182671139,,
VI - Western Visayas,SS,1000,0.133523724,0.181423041,,
VI - Western Visayas,SS,2000,0.013993846,0.18257607,,
VII - Central Visayas,EQ,1,0.000271652,0.191736043,,
VII - Central Visayas,EQ,10,0.000339776,0.191671854,,
VII - Central Visayas,EQ,25,0.006617974,0.190395982,,
VII - Central Visayas,EQ,30,0.011406814,0.190116175,,
VII - Central Visayas,EQ,50,0.031166871,0.189365596,,
VII - Central Visayas,EQ,100,0.084634027,0.191065466,,
VII - Central Visayas,EQ,200,0.229862008,0.190603269,,
