,region,hazard,rp,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcwgt_ae,pcsoc,axfin,has_ew,c,dk_private,dk_public,dk0,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,dk_prv_t,sav_i,sav_f,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
1256874,NCR,EQ,200,1376226117627,helped,a,NCR-4th Dist.,5035.218499999999,0,5035.218499999999,0.0,0,1.0,24263.557,24439.410761997442,795.3528637352167,25234.76362573266,98.42968574555998,0.0578365089834856,7791.3851427389145,253.5617796226664,8044.946922361581,7791.3851427389145,253.5617796226664,8044.946922361581,0.0,3,15573.959716184301,5.63268004315001,45314.61197778717,0,0,0.0,0.012839637473236626,0.02183272165133412,0.0,24439.410761997442,105494.784665224,100261.36608230764,0.0,7791.3851427389145,117.44744862382265,7908.832591362737,7908.832591362737,0.0,152.42994620411818
1261532,NCR,EQ,250,137632104137,helped,a,NCR-4th Dist.,3018.5398800000003,0,3018.5398800000003,3050.8365982562404,0,1.0,24664.737999999987,25392.35945257873,814.9950270100522,26207.354479588783,93.51481177170827,0.0674290925564553,8300.904266557183,259.82378244266795,8560.728048999852,8300.904266557183,259.82378244266795,8560.728048999852,0.0,3,15573.959716184301,5.63268004315001,48219.84203643599,0,0,0.0,0.012734788670472815,0.022926828611379253,0.0,25392.35945257873,105494.784665224,99981.67898258573,0.0,8190.474456685071,120.34794985700859,8310.82240654208,8310.82240654208,0.0,160.21216666981087
1273151,NCR,EQ,1000,137451123119,helped,a,NCR-2nd Dist.,534.0382915,0,534.0382915,0.0,0,1.0,113606.73000000001,300947.6618525693,8729.261941482058,309676.9237940514,235.07990553634494,0.15158704352962088,95943.35821492948,2782.9247791725743,98726.28299410206,95943.35821492948,2782.9247791725743,98726.28299410206,0.0,3,15573.959716184301,5.63268004315001,556093.5639552589,0,0,0.0,0.005933732527639706,0.06433627227592978,0.0,300947.6618525693,84612.9883924169,21287.22064382058,0.0,95943.35821492948,1289.0247714471252,97232.3829863766,97232.3829863766,0.0,1873.9388147781528
1273350,NCR,EQ,1000,137542428005,helped,a,NCR-3rd Dist.,1014.816695,0,1014.816695,5447.922592562393,0,1.0,83951.96900000001,207959.5919386461,6032.058000056743,213991.64993870285,162.44393103895584,0.15158704352962088,67124.21174776944,1923.0450168979587,69047.2567646674,67124.21174776944,1923.0450168979587,69047.2567646674,0.0,3,15573.959716184301,5.63268004315001,388921.1052125966,0,0,0.0,0.0069026293291160066,0.060232389332409486,0.0,207959.5919386461,57285.595074487,13181.684903425843,0.0,66680.89608790426,890.7364949067875,67571.63258281104,67571.63258281104,0.0,1302.4348311149956
1274453,NCR,EQ,1000,1375118158001,helped,a,NCR-3rd Dist.,2284.68711,0,2284.68711,14164.597462100624,0,1.0,36563.92599999994,59336.49837952688,1721.1093578755235,61057.6077374024,46.349648799564434,0.15158704352962088,21063.89033370468,548.6967754898637,21612.587109194545,21063.89033370468,548.6967754898637,21612.587109194545,0.0,3,15573.959716184301,5.63268004315001,121736.78809080129,0,0,0.0,0.010459323243615695,0.041100470920415653,0.0,59336.49837952688,57285.595074487,43903.448791878356,0.0,19911.269722096033,254.15122281166632,20165.4209449077,20165.4209449077,0.0,389.0111574067913
1281841,NCR,EQ,2000,13761111768005,helped,a,NCR-4th Dist.,3034.7339599999996,0,3034.7339599999996,9658.07696582405,0,1.0,125363.70000000001,335119.33893110085,9670.23790920785,344789.5768403087,101.09393898681861,0.1657131456114814,108437.9003909214,3082.911806110776,111520.81219703217,108437.9003909214,3082.911806110776,111520.81219703217,0.0,3,15573.959716184301,5.63268004315001,628161.0532581033,0,0,0.0,0.005648642573111839,0.06617789105541334,0.0,335119.33893110085,105494.784665224,34477.70227374677,0.0,107578.75298126589,1427.9759611199881,109006.72894238587,109006.72894238587,0.0,2101.1343211147077
1282242,NCR,EQ,2000,137511768488003,helped,a,NCR-3rd Dist.,3263.895905,0,3263.895905,12969.105984716447,0,1.0,81942.40599999999,199768.05015077832,5764.5272808734035,205532.57743165173,60.26312637722931,0.1657131456114814,65836.03124491978,1837.7551180959563,67673.78636301574,65836.03124491978,1837.7551180959563,67673.78636301574,0.0,3,15573.959716184301,5.63268004315001,381184.78589135606,0,0,0.0,0.006986757018462383,0.06052979512023424,0.0,199768.05015077832,57285.595074487,14452.611563014028,0.0,64682.34673280156,851.2310101977514,65533.57774299931,65533.57774299931,0.0,1263.380597157434
1334257,NCR,HU,500,1375115625124,helped,a,NCR-3rd Dist.,1644.003215,0,1644.003215,1815.9740627392873,0,0.0,23499.357,21985.07348994923,599.6022468472129,22584.675736796446,74.15665248009454,0.057922075832547465,7114.117265639899,191.1556740517922,7305.272939691692,7114.117265639899,191.1556740517922,7305.272939691692,0.0,3,15573.959716184301,5.63268004315001,41148.265097165204,0,0,0.0,0.013046739952795974,0.020384504768837967,0.0,21985.07348994923,57285.595074487,52563.63989035093,0.0,7057.652982227167,88.54152325622475,7146.194505483391,7146.194505483391,0.0,137.74298762853624
1339221,NCR,HU,1000,137543132569,helped,a,NCR-3rd Dist.,2016.678145,0,2016.678145,1906.7728192194988,0,1.0,31844.757999999994,47689.97166339696,1334.4856670231525,49024.45733042011,122.40361729680573,0.09106416798965905,15377.398717521733,425.4395451878084,15802.838262709542,15377.398717521733,425.4395451878084,15802.838262709542,0.0,3,15573.959716184301,5.63268004315001,89012.33170749141,0,0,0.0,0.01120755862390618,0.03381117480711354,0.0,47689.97166339696,57285.595074487,47099.46114939347,0.0,15284.187852526726,197.05962468138856,15481.247477208115,15481.247477208115,0.0,298.393798518738
1429404,NCR,SS,25,1339133028003,helped,a,Manila,0.03605270382778411,0,0.03605270382778411,0.0,0,1.0,23660.10700000001,19946.414611463682,6367.1683971843295,26313.583008648013,0.0035869467092425437,3.0946278022325967e-07,6358.999403386876,2029.8795962904046,8388.878999677281,6358.999403386876,2029.8795962904046,8388.878999677281,0.0,3,15573.959716184301,5.63268004315001,47251.87132588244,0,0,0.0,0.013002343748798642,0.0234562756682512,0.0,19946.414611463682,37478.5862122045,32526.508025752686,0.0,6358.999403386876,940.2212744864003,7299.220677873276,7299.220677873276,0.0,140.99202460027766
1435431,NCR,SS,30,1339176012288,helped,a,Manila,0.03043340181473358,1,0.03043340181473358,2971.5941209447938,0,1.0,19301.583999999984,7957.046822916237,2751.481923609842,10708.528746526079,0.003944956145776267,3.789647560842535e-07,2536.740534452249,877.1838072898075,3413.9243417420566,2536.740534452249,877.1838072898075,3413.9243417420566,0.0,3,15573.959716184301,5.63268004315001,19229.543508554518,0,0,0.0,0.014395724280274216,0.07039802419868592,0.0,7957.046822916237,-12598.6912879552,-12598.695232911346,0.0,2536.7399299354493,406.3033486104677,2943.043278545917,2943.043278545917,2950.9364229130533,0.0
