region,hazard,rp,dk_tot,dw_tot,res_tot,dk_lim,dw_lim,res_lim,dk_sub,dw_sub,res_sub,ratio_dw_lim_tot,avg_reco_t,sub_avg_reco_t,non_sub_avg_reco_t,pct_subs
CAR,HU,2000,0.0,1.2168881890940437e-08,0.0,,,,0.0,1.2168881890940437e-08,0.0,,,,,
CAR,PF,1,0.0,0.02289650696366047,0.0,,,,0.0,0.02289650696366047,0.0,,,,,
CAR,PF,10,0.0,0.10214564784777275,0.0,,,,0.0,0.10214564784777275,0.0,,,,,
CAR,PF,25,0.0,0.33753449060597096,0.0,,,,0.0,0.33753449060597096,0.0,,,,,
CAR,PF,30,0.0,0.39639609419292143,0.0,,,,0.0,0.39639609419292143,0.0,,,,,
CAR,PF,50,0.0,0.5715880859032879,0.0,,,,0.0,0.5715880859032879,0.0,,,,,
CAR,PF,100,0.0,0.7199483435636171,0.0,,,,0.0,0.7199483435636171,0.0,,,,,
CAR,PF,200,0.0,0.7625377079984942,0.0,,,,0.0,0.7625377079984942,0.0,,,,,
CAR,PF,250,0.0,0.7867885176184988,0.0,,,,0.0,0.7867885176184988,0.0,,,,,
CAR,PF,500,0.0,0.8838276755771152,0.0,,,,0.0,0.8838276755771152,0.0,,,,,
CAR,PF,1000,0.0,0.941611974600495,0.0,,,,0.0,0.941611974600495,0.0,,,,,
CAR,PF,2000,0.0,9.70522008577063e-08,0.0,,,,0.0,9.70522008577063e-08,0.0,,,,,
I - Ilocos,EQ,1,0.0,0.02695909627124336,0.0,,,,0.0,0.02695909627124336,0.0,,,,,
I - Ilocos,EQ,10,0.0,0.0335410235842904,0.0,,,,0.0,0.0335410235842904,0.0,,,,,
I - Ilocos,EQ,25,0.0,0.8000105808800284,0.0,,,,0.0,0.8000105808800284,0.0,,,,,
I - Ilocos,EQ,30,0.0,1.2680334068206038,0.0,,,,0.0,1.2680334068206038,0.0,,,,,
I - Ilocos,EQ,50,0.0,3.738870996301625,0.0,,,,0.0,3.738870996301625,0.0,,,,,
I - Ilocos,EQ,100,0.0,7.8568497503856065,0.0,,,,0.0,7.8568497503856065,0.0,,,,,
I - Ilocos,EQ,200,0.0,1.7792649808100909,0.0,,,,0.0,1.7792649808100909,0.0,,,,,
I - Ilocos,EQ,250,0.0,2.0972098575083518,0.0,,,,0.0,2.0972098575083518,0.0,,,,,
I - Ilocos,EQ,500,0.0,3.501167558247917,0.0,,,,0.0,3.501167558247917,0.0,,,,,
I - Ilocos,EQ,1000,0.0,4.608177580896632,0.0,,,,0.0,4.608177580896632,0.0,,,,,
I - Ilocos,EQ,2000,0.0,10.724169119454503,0.0,,,,0.0,10.724169119454503,0.0,,,,,
I - Ilocos,HU,1,0.0,0.3403327046305806,0.0,,,,0.0,0.3403327046305806,0.0,,,,,
I - Ilocos,HU,10,0.0,1.6199480628640013,0.0,,,,0.0,1.6199480628640013,0.0,,,,,
I - Ilocos,HU,25,0.0,3.9672702712187036,0.0,,,,0.0,3.9672702712187036,0.0,,,,,
I - Ilocos,HU,30,0.0,4.402582210860474,0.0,,,,0.0,4.402582210860474,0.0,,,,,
I - Ilocos,HU,50,0.0,5.526385261518039,0.0,,,,0.0,5.526385261518039,0.0,,,,,
I - Ilocos,HU,100,0.0,5.78977522309855,0.0,,,,0.0,5.78977522309855,0.0,,,,,
I - Ilocos,HU,200,0.0,2.662172567011532,0.0,,,,0.0,2.662172567011532,0.0,,,,,
I - Ilocos,HU,250,0.0,1.2270348788844527,0.0,,,,0.0,1.2270348788844527,0.0,,,,,
I - Ilocos,HU,500,0.0,1.7972120737898696,0.0,,,,0.0,1.7972120737898696,0.0,,,,,
I - Ilocos,HU,1000,0.0,2.337846960278443,0.0,,,,0.0,2.337846960278443,0.0,,,,,
