,region,hazard,rp,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcwgt_ae,pcsoc,axfin,has_ew,c,dk_private,dk_public,dk0,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,dk_prv_t,sav_i,sav_f,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
1267311,NCR,EQ,500,137534358001,helped,a,NCR-3rd Dist.,2373.960985,0,2373.960985,4721.532640099391,0,1.0,38509.077999999994,69066.78920609708,1983.7798465347992,71050.56905263188,129.15843060479548,0.11694138063953664,22570.920351630153,632.4372127166974,23203.35756434685,22570.920351630153,632.4372127166974,23203.35756434685,0.0,3,15573.959716184301,5.63268004315001,130697.08908677034,0,0,0.0,0.010191742332861221,0.042001220614623566,0.0,69066.78920609708,57285.595074487,11487.120468713865,0.0,22082.77760951196,73.30689817139026,22156.08450768335,22156.08450768335,0.0,426.9509041255101
1273763,NCR,EQ,1000,1339150238003,helped,a,Manila,1604.004225,0,1604.004225,0.0,0,1.0,107151.62000000002,283847.8803387353,8233.267152695513,292081.1474914308,221.72271579039676,0.15158704352962088,90491.8772063064,2624.7995908911703,93116.67679719756,90491.8772063064,2624.7995908911703,93116.67679719756,0.0,3,15573.959716184301,5.63268004315001,524496.4470800244,0,0,0.0,0.006109851079539408,2.459096238434111,0.0,283847.8803387353,37478.5862122045,0.0,0.0,90491.8772063064,304.2450894108902,90796.12229571729,90796.12229571729,90802.03277452319,0.0
1286108,NCR,HU,1,1374425202262,helped,a,NCR-2nd Dist.,83.60955830380638,0,83.60955830380638,778.2746533784523,0,1.0,23527.599999999995,22435.223857685243,597.2764762660631,23032.500333951306,0.45999872175845535,0.00036693043977849895,7152.7276483348305,190.41420877966024,7343.14185711449,7152.7276483348305,190.41420877966024,7343.14185711449,0.0,3,15573.959716184301,5.63268004315001,41361.56859258829,0,0,0.0,0.013038906817981623,0.020470687595713792,0.0,22435.223857685243,84612.9883924169,69926.78220716586,0.0,7152.475176898194,22.07124238220504,7174.546419280399,7174.546419280399,0.0,138.246162500678
