region,new_pov,new_sub,reg_pop,init_pov,init_sub,pct_pop_pov,pct_pop_sub,pct_increase_pov,pct_increase_sub
ARMM,2387,3836,3706900.4411800005,1207449.8274700001,783053.5235899998,0.6439342080738908,1.034826821186194,1.9768937356192604,4.898771136886547
CAR,2759,1930,1783500.1087300002,226826.7737999999,124763.20586000005,1.5469581338936034,1.082141789929197,12.163467097727601,15.469304324912121
I - Ilocos,21255,11614,5135999.787279995,498991.9861599999,172094.47819999992,4.138434750842652,2.2612929285479444,42.595874461969146,67.48618620117938
II - Cagayan Valley,23874,14634,3497900.2975200037,462614.5988099998,91000.91563999995,6.825237419410314,4.183652693124341,51.60667229571213,160.81156873071666
III - Central Luzon,31783,18238,11098900.30522001,904508.9418499995,337561.9636000002,2.86361703646008,1.643225860081142,35.13840331417175,54.02859909184386
IVA - CALABARZON,32864,18733,14127199.83449,957267.2336999999,330698.8041999997,2.3262925693006884,1.3260235729281218,34.33106121576425,56.64671224112039
IVB - MIMAROPA,4508,4267,3089300.040979998,479538.3057000003,274683.8325999999,1.4592302269772273,1.3812190280638483,9.400708861869754,15.5342233272742
IX - Zamboanga Peninsula,975,1079,3764699.585240001,775760.7985300006,498896.45580000017,0.25898480819628095,0.28660985440388426,1.256830716178931,2.1627734321539345
NCR,13850,9237,12651700.151659995,411882.9067899997,82747.37619999994,1.0947145311677955,0.7300995035665652,33.62606161042144,111.62891712329613
V - Bicol,42958,48116,6032099.763809996,1457733.715690001,714680.8375700004,7.121566565879683,7.976658524229872,29.469030960614326,67.3251575676775
VI - Western Visayas,11057,9717,7704399.479039997,1169214.2102300003,559182.6168400001,1.4351540350524181,1.2612274358871618,9.45677866660972,17.37714962405625
VII - Central Visayas,11951,11048,7446799.78301,1173301.2354699997,884177.42078,1.604850452306561,1.4835903101901837,10.185790007467844,12.495229735966024
VIII - Eastern Visayas,17151,20499,4537200.2606,1006160.7691100005,750583.32412,3.7800844165807113,4.517984400646493,17.045983630599032,27.310758634337457
X - Northern Mindanao,1579,1753,4706699.958800002,869614.1376000001,850858.0810699998,0.335479213423788,0.3724477904571883,1.8157478492217187,2.060273080788641
XI - Davao,3047,2820,4963099.68477,717867.8137499997,374332.4306000001,0.6139308483668314,0.5681933023939825,4.2445140200437095,7.5334108655238685
XII - SOCCSKSARGEN,4691,2158,4599200.272339999,777172.8419199997,939475.9992000003,1.019959932645702,0.46921200909175553,6.035980346934048,2.2970251521461105
XIII - Caraga,3660,4690,2716699.968210001,605381.83907,456930.3460000001,1.347222749228185,1.7263592059781931,6.045771055211315,10.264146474526337
