district,pop_q1,Asset risk,Well-being risk,Asset risk pc,Well-being risk pc
Ampara,127.20731678771973,3.8265074298484496,38.780604614126595,30.080875270987956,304.8614308785607
Anuradhapura,165.3579011487961,4.493507806098165,49.5363757848865,27.17443663036528,299.5706612187316
Badulla,158.99684826660157,2.8980361798065895,43.3746141284104,18.227003940023025,272.80172280950524
Batticaloa,103.77150804138184,7.850364125444141,176.7059396334434,75.65047741537673,1702.8367705996611
Colombo,444.2474574403763,323.945862870176,1676.1848521028487,729.2013886509494,3773.0882282602915
Galle,206.48442444610595,5.45248739103024,74.18004657490206,26.406289024736495,359.25250426946195
Gampaha,448.72240564346316,64.73878954304703,387.2822027341506,144.27358368747443,863.0774792241364
Hambantota,116.97773765325546,14.393853616633914,163.250315137589,123.04780298709545,1395.5673824150572
Kalutara,239.3963526687622,64.3131941913491,566.445477710278,268.6473435137721,2366.1408012094207
Kandy,265.7491234970093,3.885378023498475,39.55304182359695,14.620473521682944,148.8360198638325
Kegalle,163.7764111251831,10.649740225535822,115.46851983143148,65.02609351596827,705.0375511231143
Kurunegala,315.372391746521,23.46824462563817,278.25367400162185,74.41439149340839,882.301942984492
Mannar,19.0051227684021,4.501556803751868,108.83146247704414,236.86018020552606,5726.427753362754
Matale,94.3030118560791,1.6345012124442193,18.223538964192226,17.332439126533092,193.24450625186978
Moneragala,87.9081107826233,0.40906371334856917,8.338864328371358,4.653310254386998,94.85887313619406
Mullaitivu,18.03178190612793,0.4994434465870956,14.740989922963816,27.69795293594165,817.5004555680785
Nuwara Eliya,139.4415967102051,0.018925606489351366,0.2201045924883107,0.1357242525606155,1.5784715442246673
Polonnaruwa,78.22672621154786,24.167482960226366,252.90761220513897,308.94151053784935,3233.007751356015
Puttalam,150.0342420425415,36.98316432274197,414.27781886986304,246.49815814882822,2761.221793305001
Rathnapura,213.71520346069335,95.405144501586,1323.0915582215573,446.41252918224404,6190.909850102927
Trincomalee,74.36081758117676,13.147052408017391,149.91929346774296,176.8008049893383,2016.1060400402673
Vavuniya,32.09686865234375,0.7249837122911398,8.117120537915804,22.587365769034314,252.89446848651022
Total,3663.1833604369162,707.4072847155901,5907.684027664564,193.11271511978478,1612.7186237709766
