,region,hazard,rp,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcwgt_ae,pcsoc,axfin,has_ew,c,dk_private,dk_public,dk0,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,dk_prv_t,sav_i,sav_f,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
4577,ARMM,EQ,10,1538729015263,helped,a,Maguindanao,1.0717658970646105,1,1.0717658970646105,3038.603320612537,0,1.0,20313.425999999985,12346.848552019923,1057.752389842203,13404.600941862125,0.01804810236537233,5.608328673897835e-06,3936.243381175229,337.21583286812245,4273.4592140433515,3936.243381175229,337.21583286812245,4273.4592140433515,0.0,3,15573.959716184301,5.63268004315001,24071.028430157516,0,0,0.0,0.014032608455439506,0.29000015041367355,0.0,12346.848552019923,0.0,-0.01804810236537233,0.0,3936.227537473794,23.701686644361057,3959.929224118155,3959.929224118155,3960.389692999767,0.0
14621,ARMM,EQ,50,15361733210361,helped,a,Lanao del Sur,40.51533174618291,0,40.51533174618291,0.0,1,1.0,24096.682000000004,24030.420091660497,3570.0051034936164,27600.425195154112,0.8305453593739439,0.00013379940191819866,7660.997226949343,1138.132379448125,8799.129606397468,7660.997226949343,1138.132379448125,8799.129606397468,0.0,3,15573.959716184301,5.63268004315001,49562.68173104542,0,0,0.0,0.01288401947092312,0.024210037861375436,0.0,24030.420091660497,63897.3779220945,43558.40491860675,0.0,7660.997226949343,79.99522676039376,7740.992453709737,7740.992453709737,0.0,149.1820134330002
24673,ARMM,EQ,250,15661349011184,helped,a,Sulu,310.2567663972953,0,310.2567663972953,0.0,0,0.0,23559.641000000007,22315.204359785475,4002.6236509375494,26317.828010723024,5.266822858392422,0.0007272660706424334,7114.179363782871,1276.0529600976915,8390.232323880562,7114.179363782871,1276.0529600976915,8390.232323880562,0.0,3,15573.959716184301,5.63268004315001,47259.49416811418,0,0,0.0,0.013030037375645885,0.02356765205784377,0.0,22315.204359785475,38805.0499265029,19734.74797876484,0.0,7114.179363782871,89.68916774934716,7203.868531532218,7203.868531532218,0.0,138.83643345475494
30439,ARMM,EQ,1000,1566122506152,helped,a,Sulu,453.0669428225765,0,453.0669428225765,0.0,0,1.0,25174.40200000001,27237.000823967108,5987.906166532492,33224.9069904996,12.233420949746204,0.0014818172243842955,8683.268415072074,1908.9692299202934,10592.237644992369,8683.268415072074,1908.9692299202934,10592.237644992369,0.0,3,15573.959716184301,5.63268004315001,59662.685595250776,0,0,0.0,0.012605219544606727,0.02821750971072395,0.0,27237.000823967108,38805.0499265029,15236.46188231556,0.0,8683.268415072074,134.17457334808074,8817.442988420155,8817.442988420155,0.0,169.94315140510648
30625,ARMM,EQ,1000,1566810058001,helped,a,Sulu,363.2263498006995,0,363.2263498006995,2398.897260433888,1,1.0,24200.962999999996,24234.400202070836,5327.800786513332,29562.20098858417,10.383872668461157,0.0014818172243842955,7729.581656342195,1698.524906994115,9428.10656333631,7729.581656342195,1698.524906994115,9428.10656333631,0.0,3,15573.959716184301,5.63268004315001,53105.50768399607,0,0,0.0,0.01285623113670952,0.0259586470520685,0.0,24234.400202070836,38805.0499265029,17832.262142901727,0.0,7726.276778042795,119.38319965824675,7845.6599777010415,7845.6599777010415,0.0,151.21356557481843
59673,ARMM,HU,500,1538633013249,helped,a,Maguindanao,29.473713638624453,0,29.473713638624453,0.0,0,0.0,25548.865,28327.746198443918,7317.865607429036,35645.611805872955,0.9290619606274947,0.00010169975778425001,9031.00254777975,2332.9657955150597,11363.96834329481,9031.00254777975,2332.9657955150597,11363.96834329481,0.0,3,15573.959716184301,5.63268004315001,64009.59769826516,0,0,0.0,0.012512502864467813,0.029979376904916203,0.0,28327.746198443918,40771.049892329,15987.240658811203,0.0,9031.002547779748,163.97576521543454,9194.978312995183,9194.978312995183,0.0,177.22859000742503
63625,ARMM,HU,1000,15661272011330,helped,a,Sulu,44.64391335055207,0,44.64391335055207,0.0,0,1.0,23571.982000000007,22253.645459721836,5473.091132159586,27726.73659188142,1.4081293807992112,0.00015434288851189705,7094.554132060632,1744.8440695744123,8839.398201635044,7094.554132060632,1744.8440695744123,8839.398201635044,0.0,3,15573.959716184301,5.63268004315001,49789.5018438058,0,0,0.0,0.01302662602178163,0.024912374110772108,0.0,22253.645459721836,38805.0499265029,19406.36859090826,0.0,7094.554132060632,122.63880680981474,7217.192938870447,7217.192938870447,0.0,139.1054991613088
167067,CAR,HU,25,1411810216,helped,a,Abra,216.49590893199746,1,216.49590893199746,0.0,0,1.0,21492.184,16001.119667813338,1653.6967844372673,17654.816452250605,1.712432895689345,0.0003672647858718805,5101.223072073727,527.2053685064615,5628.428440580188,5101.223072073727,527.2053685064615,5628.428440580188,0.0,3,15573.959716184301,5.63268004315001,31703.13655155396,0,0,0.0,0.01364236675292387,0.37352874097517164,0.0,16001.119667813338,0.0,-1.712432895689345,0.0,5101.223072073727,37.05536698940177,5138.278439063129,5138.278439063129,5138.998302649621,0.0
282845,I - Ilocos,EQ,2000,155415015298,helped,a,Pangasinan,2026.8287050000001,0,2026.8287050000001,5916.1320444926305,0,1.0,80860.47699999998,200954.0895193598,18678.286755694717,219632.37627505453,60.12566937420644,0.04376565264740806,64323.91752831407,5954.715002639559,70278.63253095363,64323.91752831407,5954.715002639559,70278.63253095363,0.0,3,15573.959716184301,5.63268004315001,395857.05091697566,0,0,0.0,0.007033343789073839,1.9944294230395905,0.0,200954.0895193598,57140.3577529035,0.0,0.0,64083.192940291905,418.53547577712317,64501.728416069025,64501.728416069025,64510.212722714125,0.0
602749,III - Central Luzon,EQ,2000,34978212151,helped,a,Nueva Ecija,3627.2064949999994,0,3627.2064949999994,6966.411489070739,0,1.0,30278.577999999965,43393.68059855971,1989.9332712808528,45383.61386984056,121.03067857584097,0.09050017741238264,14464.54616770195,634.3989499537471,15098.945117655698,14464.54616770195,634.3989499537471,15098.945117655698,0.0,3,15573.959716184301,5.632680043150011,85047.52683683655,0,0,0.0,0.011493763537262888,0.03399358292084014,0.0,43393.68059855971,55702.8526722938,19499.55662882,0.0,13878.397558971672,44.58961784631203,13922.987176817984,13922.987176817984,0.0,268.2989259909846
