district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_npv_pre,dc_post_reco,dc_t,di0,di0_prv,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,has_ew,help_received,hh_reco_rate,init_help_received,integ,ispoor,macro_multiplier,pc_fee,pc_fee_BE,pcsoc,pcwgt,pcwgt_ae,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Ampara,PF,10.0,52209019031,a,helped,1447,93757.01793542995,36346.798828125,0.006531728176015094,76178.5822245807,76178.5822245807,0.0,76178.52781428046,429089.5798118597,0.0,76178.52781428046,76178.5822245807,76178.5822245807,0.0,76178.52781428046,0.0,76178.52781428046,225972.5219092455,225972.5219092455,225972.5219092455,0.0,0.05545402319549671,2972575.272474195,0.0,0.0,0.0,0.0,9.700942940348114,0.0,5.632680043150034,0.0,0.0,2083.333251953125,1.8029704647255709,1.8029704647255709,43493.30859375,0.0,-7.105427357601002e-14,7813.084827952495,0.0,2.611814789028261e-05,0.0,3.0,3.483327605680391e-08,2601500.223304248,4690428.066594536
Batticaloa,PF,5.0,51205072101,a,helped,22070,113483.0030347404,36346.798828125,0.0059369663278522255,94436.71966967772,94436.71966967772,0.0,94436.71966967772,531931.826223948,0.0,94436.71966967772,94436.71966967772,94436.71966967772,0.0,94436.71966967772,0.0,94436.71966967772,280132.79223932495,280132.79223932495,280132.79223932495,0.0,0.05545402319549671,2974808.6741484706,0.0,0.0,0.0,0.0,10.680796623612576,0.0,5.632680043150034,0.0,0.0,0.0,8.216479698399173,8.216479698399173,43493.30859375,0.0,0.0,9456.9169195617,0.0,5.249318738631547e-05,0.0,3.0,2.615795391859145e-08,2601500.223304248,21375173.77016027
Batticaloa,PF,5.0,51207002021,a,helped,22141,57487.555845313334,36346.798828125,0.008341479242934012,45651.2648707985,45651.2648707985,0.0,45651.2648707985,257138.96858230294,0.0,45651.2648707985,45651.2648707985,45651.2648707985,0.0,45651.2648707985,0.0,45651.2648707985,135417.83685673663,135417.83685673663,135417.83685673663,0.0,0.05545402319549671,3488297.714386957,0.0,0.0,0.0,0.0,8.91414434403413,0.0,5.632680043150034,0.0,0.0,0.0,18.2588945662296,18.2588945662296,43493.30859375,0.0,-2.842170943040401e-14,4790.629653776111,0.0,5.249318738631547e-05,0.0,3.0,7.255030345505679e-08,2601500.223304248,47500518.291335024
Batticaloa,PF,5.0,51210023071,a,helped,22260,68320.37859204998,36346.798828125,0.007651645896697878,56233.448801451676,56233.448801451676,0.0,56233.44005298974,316745.0248214361,0.0,56233.44005298974,56233.448801451676,56233.448801451676,0.0,56233.44005298974,0.0,56233.44005298974,166808.32026201618,166808.32026201618,166808.32026201618,0.0,0.05545402319549671,3664880.0511037726,0.0,0.0,0.0,0.0,10.20972615897599,0.0,5.632680043150034,0.0,0.0,166.6666717529297,5.135322479714674,5.135322479714674,43493.30859375,0.0,6.217248937900877e-14,5693.364882670831,0.0,5.249318738631547e-05,0.0,3.0,5.5998269142995155e-08,2601500.223304248,13359542.577717047
Batticaloa,PF,5.0,51212045051,a,helped,22348,54125.06728638635,36346.798828125,0.00859668019853286,41779.28417690799,41779.28417690799,0.0,41779.28417690799,235329.34020036363,0.0,41779.28417690799,41779.28417690799,41779.28417690799,0.0,41779.28417690799,0.0,41779.28417690799,123932.16934233885,123932.16934233885,123932.16934233885,0.0,0.05545402319549671,3265406.293865184,0.0,0.0,0.0,0.0,8.096841665455054,0.0,5.632680043150034,0.0,0.0,0.0,24.64943909519752,24.64943909519752,43493.30859375,0.0,0.0,4510.422273865529,0.0,5.249318738631547e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,64125521.3104808
Batticaloa,PF,10.0,51205072101,a,helped,22835,113483.0030347404,36346.798828125,0.0059369663278522255,91557.53315133674,91557.53315133674,0.0,91557.53315133674,515714.28978158213,0.0,91557.53315133674,91557.53315133674,91557.53315133674,0.0,91557.53315133674,0.0,91557.53315133674,271592.1042359523,271592.1042359523,271592.1042359523,0.0,0.05545402319549671,2630414.279535283,0.0,0.0,0.0,0.0,9.444277946246352,0.0,5.632680043150034,0.0,0.0,0.0,10.042274272340125,10.042274272340125,43493.30859375,0.0,8.526512829121202e-14,9456.9169195617,0.0,6.608795607449363e-05,0.0,3.0,2.615795391859145e-08,2601500.223304248,26124978.761975337
Batticaloa,PF,25.0,51212045051,a,helped,23878,54125.06728638635,36346.798828125,0.00859668019853286,39869.84042420444,39869.84042420444,0.0,39869.84042420444,224574.05448099287,0.0,39869.84042420444,39869.84042420444,39869.84042420444,0.0,39869.84042420444,0.0,39869.84042420444,118268.08219551975,118268.08219551975,118268.08219551975,0.0,0.05545402319549671,2830823.151634192,0.0,0.0,0.0,0.0,7.019257262028426,0.0,5.632680043150034,0.0,0.0,0.0,32.7236700795579,32.7236700795579,43493.30859375,0.0,0.0,4510.422273865529,0.0,7.155814843208536e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,85130635.01930441
Batticaloa,PF,50.0,51207002061,a,helped,24440,76108.30500417402,36346.798828125,0.007249598762321236,60948.74373247259,60948.74373247259,0.0,60948.74373247259,343304.7724769641,0.0,60948.74373247259,60948.74373247259,60948.74373247259,0.0,60948.74373247259,0.0,60948.74373247259,180795.5827455402,180795.5827455402,180795.5827455402,0.0,0.05545402319549671,3124828.16612351,0.0,0.0,0.0,0.0,9.188007945379562,0.0,5.632680043150034,0.0,0.0,0.0,13.121223121541444,13.121223121541444,43493.30859375,0.0,-8.526512829121202e-14,6342.358750347835,0.0,7.566009401124816e-05,0.0,3.0,4.7626857291879286e-08,2601500.223304248,34134864.88071493
Batticaloa,PF,100.0,51207002061,a,helped,25205,76108.30500417402,36346.798828125,0.007249598762321236,59606.57316113999,59606.57316113999,0.0,59606.57316113999,335744.7550853157,0.0,59606.57316113999,59606.57316113999,59606.57316113999,0.0,59606.57316113999,0.0,59606.57316113999,176814.2289763286,176814.2289763286,176814.2289763286,0.0,0.05545402319549671,2889510.1939988835,0.0,0.0,0.0,0.0,8.496096812149519,0.0,5.632680043150034,0.0,0.0,0.0,13.956397818895049,13.956397818895049,43493.30859375,0.0,0.0,6342.358750347835,0.0,8.056580507037248e-05,0.0,3.0,4.7626857291879286e-08,2601500.223304248,36307572.04237839
Batticaloa,PF,100.0,51212045051,a,helped,25408,54125.06728638635,36346.798828125,0.00859668019853286,43957.82112607775,43957.82112607775,0.0,43957.82112607775,247600.34179721714,0.0,43957.82112607775,43957.82112607775,43957.82112607775,0.0,43957.82112607775,0.0,43957.82112607775,130394.48231447629,130394.48231447629,130394.48231447629,0.0,0.05545402319549671,3905712.6744154673,0.0,0.0,0.0,0.0,9.684533644378613,0.0,5.632680043150034,0.0,0.0,0.0,37.682169287671115,37.682169287671115,43493.30859375,0.0,-6.394884621840902e-14,4510.422273865529,0.0,8.056580507037248e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,98030171.81646489
