district,hazard,dk_tot,dw_tot,dk_famax,dw_famax,res_tot,res_fa095,res_fa_less_095
Ampara,PF,292.1001999662666,839.5941437246998,0.0,0.0,0.347906428539889,0.347906428539889,0.347906428539889
Anuradhapura,PF,435.8952906012309,1042.4488215686165,0.0,0.0,0.41814550660177346,0.41814550660177346,0.41814550660177346
Badulla,PF,234.76343721119184,716.0031043777758,0.0,0.0,0.32788047394739583,0.32788047394739583,0.32788047394739583
Batticaloa,PF,687.8617778875456,3364.8816893696085,0.0,0.0,0.20442376326652145,0.20442376326652145,0.20442376326652145
Colombo,PF,32377.086941335863,38284.27242986764,32377.086941335863,38284.27242986764,0.8457020307920685,0.8457020307920685,
Galle,PF,557.0939206186887,1398.8087399988647,0.0,0.0,0.3982631110949027,0.3982631110949027,0.3982631110949027
Gampaha,PF,7018.006674862913,8743.517863661984,0.0,0.0,0.8026525231943213,0.8026525231943213,0.8026525231943213
Hambantota,PF,1355.0462143305806,2983.5933270210776,0.0,0.0,0.45416585499723766,0.45416585499723766,0.45416585499723766
Kalutara,PF,6045.642077842891,9949.56153271065,0.0,0.0,0.6076289953046626,0.6076289953046626,0.6076289953046626
Kandy,PF,418.4597552896226,832.0196605341602,0.0,0.0,0.502944551840241,0.502944551840241,0.502944551840241
Kegalle,PF,1017.8833538768248,2392.8153691210664,0.0,0.0,0.42539151453658364,0.42539151453658364,0.42539151453658364
Kurunegala,PF,2084.496069887394,4724.9481351919285,0.0,0.0,0.4411680319540102,0.4411680319540102,0.4411680319540102
Mannar,PF,339.35455126728465,2298.053763970727,0.0,0.0,0.14767041423823166,0.14767041423823166,0.14767041423823166
Matale,PF,175.8295651397318,390.515356300479,0.0,0.0,0.4502500664901923,0.4502500664901923,0.4502500664901923
Moneragala,PF,34.63837455457561,165.48333457546687,0.0,0.0,0.20931639215173756,0.20931639215173756,0.20931639215173756
Mullaitivu,PF,21.994094093423417,209.63945926221302,0.0,0.0,0.10491390395122907,0.10491390395122907,0.10491390395122907
Nuwara Eliya,PF,1.3788581479412658,4.509577828674575,0.0,0.0,0.30576213568677457,0.30576213568677457,0.30576213568677457
Polonnaruwa,PF,2730.786437673214,4919.0676788700575,0.0,0.0,0.5551430913226414,0.5551430913226414,0.5551430913226414
Puttalam,PF,2706.0435360991314,6999.859692409393,0.0,0.0,0.38658539670924397,0.38658539670924397,0.38658539670924397
Rathnapura,PF,7792.976421743987,25729.454042661546,7792.976421743987,25729.454042661546,0.3028815305922385,0.3028815305922385,
Trincomalee,PF,1216.815381600356,3570.902615266607,0.0,0.0,0.3407584895757532,0.3407584895757532,0.3407584895757532
Vavuniya,PF,48.72188313972576,126.58029028117862,0.0,0.0,0.38490892248309433,0.38490892248309433,0.38490892248309433
