district,hazard,rp,fa,v
Polonnaruwa,PF,10.0,0.07762842481721374,0.12737183331313895
Polonnaruwa,PF,25.0,0.09433044687295221,0.12674386860342282
Polonnaruwa,PF,50.0,0.09997391793369025,0.12837534456072264
Polonnaruwa,PF,100.0,0.10400146037912557,0.12592358803140447
Polonnaruwa,PF,250.0,0.11017784406831753,0.12849965964301843
Polonnaruwa,PF,500.0,0.112697513915279,0.12654091468337605
Polonnaruwa,PF,1000.0,0.11645491631864355,0.1296985535008621
Puttalam,PF,5.0,0.0395022040801248,0.1420695760840059
Puttalam,PF,10.0,0.04836220207336701,0.14138931367244786
Puttalam,PF,25.0,0.05783123623405827,0.13867544616386301
Puttalam,PF,50.0,0.061361280816257,0.14099548429614173
Puttalam,PF,100.0,0.06404695292552731,0.13970467257795288
Puttalam,PF,250.0,0.06797316666519089,0.1392270895885315
Puttalam,PF,500.0,0.0704672584654778,0.13968898616360578
Puttalam,PF,1000.0,0.07445733230813723,0.13954534269813137
Rathnapura,PF,5.0,0.12469429457209567,0.1320268939616481
Rathnapura,PF,10.0,0.1262078959377541,0.13296777211930635
Rathnapura,PF,25.0,0.12924368891518476,0.1309911793644967
Rathnapura,PF,50.0,0.12988881639850527,0.12993020518511716
Rathnapura,PF,100.0,0.13000392569645774,0.13064662949693892
Rathnapura,PF,250.0,0.13061641024453896,0.13329256051336233
Rathnapura,PF,500.0,0.13061641024453896,0.13265316086113524
Rathnapura,PF,1000.0,0.13061726926915104,0.13010723430470297
Trincomalee,PF,5.0,0.050777414546479875,0.12284812919969389
Trincomalee,PF,10.0,0.05858912635573456,0.12435912611760427
Trincomalee,PF,25.0,0.070143145207143,0.12480549600911514
Trincomalee,PF,50.0,0.07675979131264168,0.1241560797199623
Trincomalee,PF,100.0,0.08065148156776317,0.12435377094833866
Trincomalee,PF,250.0,0.08674528642786973,0.1247342426926092
Trincomalee,PF,500.0,0.09247078440082403,0.12534514165061272
Trincomalee,PF,1000.0,0.09631353877583627,0.1265805562993735
Vavuniya,PF,5.0,0.0030478487473581143,0.15159507955929413
Vavuniya,PF,10.0,0.003834769233188571,0.15306575690670923
Vavuniya,PF,25.0,0.004627562259958015,0.15058552059560265
Vavuniya,PF,50.0,0.004938806929726722,0.15235487135608233
Vavuniya,PF,100.0,0.005390992582032332,0.14996593865938854
Vavuniya,PF,250.0,0.005637639301471657,0.15417547714321253
Vavuniya,PF,500.0,0.006224893395375007,0.1519484042772788
Vavuniya,PF,1000.0,0.006459795032936319,0.1507341507680918
