district,hazard,dk_tot,dw_tot,resilience
Ampara,PF,35.57191814693598,101.74645199724088,0.3496133520990059
Anuradhapura,PF,51.679449017365826,123.20154885780569,0.41947077367519287
Badulla,PF,36.49007780703807,111.97369885342295,0.3258807932638245
Batticaloa,PF,86.74623319513611,421.60485130986,0.20575245499578385
Colombo,PF,4197.585302425908,4664.765466704745,0.8998491633473569
Galle,PF,68.42070701879952,169.92261340589332,0.40265804325503934
Gampaha,PF,862.7956081570959,1066.724555915112,0.8088269866600462
Hambantota,PF,165.38372492803714,360.715446501085,0.4584880590289323
Kalutara,PF,922.2014569914191,1528.0377833561877,0.6035200615039064
Kandy,PF,49.556674536836844,99.0479890662009,0.5003299411128332
Kegalle,PF,124.44278233396125,296.53654814643284,0.41965411384134044
Kurunegala,PF,251.73580363183456,578.6257739066177,0.4350580547634943
Mannar,PF,53.90622551469643,369.48126969981683,0.14589704522367877
Matale,PF,20.397151289005368,45.555973069692214,0.44773824187228967
Moneragala,PF,4.334892328755672,20.71216239714767,0.20929211762807745
Mullaitivu,PF,3.448454802449344,32.63941674105719,0.10565307676321084
Nuwara Eliya,PF,0.1836179313097151,0.6016818339190041,0.3051744642409014
Polonnaruwa,PF,323.7592609779987,576.030251187646,0.5620525316343704
Puttalam,PF,357.6488302662034,911.8467905119719,0.3922246960647801
Rathnapura,PF,965.8434908346277,3037.7540529223393,0.3179465730299923
Trincomalee,PF,145.43399922577322,434.77343968972536,0.33450525250475677
Vavuniya,PF,6.5339886275002845,17.61258828222629,0.3709840100045969
