region,hazard,rp,dk_tot,dw_tot,res_tot,dk_lim,dw_lim,res_lim,dk_sub,dw_sub,res_sub,ratio_dw_lim_tot,avg_reco_t,sub_avg_reco_t,non_sub_avg_reco_t,pct_subs
ARMM,EQ,1,60.93471308912536,384.4244074668029,0.1585089601637414,0.13690654448542944,5.251995698882662,0.026067527914113806,60.79780654463993,379.1724117679202,0.16034343390429048,0.01366197254095059,16323.673165398142,269427.2831168197,34.826980405651646,0.4515465705594113
ARMM,EQ,10,100.25327276364082,655.5364510428,0.15293317801651168,0.3260923447272599,11.252221195767182,0.02898026434549012,99.92718041891358,644.2842298470323,0.15509797662227207,0.01716490544174564,1769.376896820121,38796.732353139145,48.603531215255174,0.4631066926668062
ARMM,EQ,25,740.8144645099753,4514.417683533673,0.16409967274674078,1.4113697101064446,49.547123761403874,0.02848540143123042,739.403094799869,4464.87055977227,0.16560459814037298,0.010975307832531067,1995.4386884953985,30833.988886154533,37.854983025162504,0.4508946885225611
ARMM,EQ,30,997.317126930633,5907.771274410287,0.16881444467062326,1.0077863111312642,26.36676409350338,0.03822184275466616,996.3093406195017,5881.404510316785,0.1693999008012184,0.0044630644736894124,3178.8078053195995,38394.60718496304,36.11344867085151,0.44489559477756707
ARMM,EQ,50,2395.0445632084716,14436.653475936359,0.16590025986289939,2.3122085167490614,63.195168993471974,0.03658837461116547,2392.7323546917223,14373.458306942886,0.166468799894591,0.004377411226141046,3077.502624807759,47108.564717858986,28.360649691272336,0.4487934843511533
ARMM,EQ,100,6104.248998582742,35829.37757845648,0.17036994252038334,,,,6104.248998582742,35829.37757845648,0.17036994252038334,,3924.878889176421,57084.34439380178,56.365046239666746,0.44351308345272333
ARMM,EQ,200,11193.35065458693,64711.93435691117,0.1729719682439301,15.349776800722454,412.4038236128859,0.03722025820771958,11178.000877786206,64299.53053329829,0.17384265149490544,0.0063729175724885675,1407.3406842942306,19276.866214363487,45.15554142829728,0.4397788709941851
ARMM,EQ,250,13004.131947317703,74629.85797293078,0.17424838128506784,28.491268694499013,825.0661179088337,0.0345321036412347,12975.640678623204,73804.79185502196,0.17581027400106802,0.011055442691691788,1164.490465099019,16875.451545140815,35.86632220622024,0.4439242855457352
ARMM,EQ,500,19596.296725982724,109777.8367110283,0.17850868001313125,,,,19596.296725982724,109777.8367110283,0.17850868001313125,,2794.5997272223076,30458.25426152099,30.537658849420154,0.43794124251506056
ARMM,EQ,1000,26488.324048485632,144688.037229396,0.1830719702589486,,,,26488.324048485632,144688.037229396,0.1830719702589486,,3406.983071305023,41466.69599465996,42.41801968646083,0.42633251285996737
ARMM,EQ,2000,44236.33246012063,204935.34715539805,0.21585506392207285,,,,44236.33246012063,204935.34715539805,0.21585506392207285,,1463.9239226358313,11733.889884832068,40.11403944373516,0.4092985739689926
