district,hazard,rp,dk_tot,dw_tot,res_tot,dk_lim,dw_lim,res_lim,dk_sub,dw_sub,res_sub,ratio_dw_lim_tot,avg_reco_t,sub_avg_reco_t,non_sub_avg_reco_t,pct_subs
Ampara,PF,5.0,1251.0064295447191,40145.65423898633,0.031161689932800725,33.231533886065684,345.6672708271203,0.09613734562299905,1217.7748956586533,39799.98696815921,0.030597369205997423,0.008610328499552393,5.3882006962411255,,5.3882006962411255,0.05073404056075051
Ampara,PF,10.0,1520.988586348175,49811.33595334933,0.030534988818060466,34.5162807346213,521.1091728316017,0.06623617954576931,1486.4723056135535,49290.22678051773,0.030157546489542445,0.010461658232167173,25.174065560756524,,25.174065560756524,0.045928807717967035
Ampara,PF,25.0,1774.0411689626328,56845.978014862754,0.031207857282335754,40.77392657730859,447.9623416139331,0.0910208800820332,1733.2672423853246,56398.0156732488,0.030732769968845962,0.007880282075484926,20.636813758272915,,20.636813758272915,0.045888854840348874
Ampara,PF,50.0,1882.4498457869022,60331.802950459096,0.03120161761670969,41.79799580977058,474.4721059600425,0.08809368408538348,1840.6518499771316,59857.33084449906,0.030750650321493395,0.00786437803540615,5.270676674532688,,5.270676674532688,0.0474630907735199
Ampara,PF,100.0,2022.044580327744,66239.2369446869,0.03052638698142391,54.66104689424365,577.0207655693117,0.09472977430944426,1967.3835334335008,65662.21617911759,0.029962185986332632,0.008711162630861118,32.32317416510392,,32.32317416510392,0.051304672440853405
Ampara,PF,250.0,2158.372204060178,70863.11797879389,0.030458329602517358,48.732401678598286,607.9688889720672,0.08015607798779531,2109.63980238158,70255.14908982183,0.030028258849531253,0.008579482618221862,7.5187453637309325,,7.5187453637309325,0.049395646896090134
Ampara,PF,500.0,2418.2560183649325,76656.45789200856,0.03154667049411157,50.65961605302372,660.0984801992067,0.07674554263135933,2367.5964023119086,75996.35941180938,0.031154076598358716,0.008611126816336006,5.141654778174267,,5.141654778174267,0.043870045893620875
Ampara,PF,1000.0,2567.6520853309808,82266.6823373539,0.031211324103258706,66.36933843278302,644.4421640994084,0.10298726888165752,2501.2827468981986,81622.2401732545,0.030644622612524233,0.007833574246457656,10.810005755054046,,10.810005755054046,0.04335895032837023
Anuradhapura,PF,5.0,1700.9528479203643,52961.09477097522,0.03211702581443905,60.960981461775525,524.8170958375365,0.11615662284112546,1639.991866458589,52436.27767513768,0.03127590170719117,0.009909483520064186,4.026689838417535,,4.026689838417535,0.06454313591562894
Anuradhapura,PF,10.0,2512.785304961234,76607.2720961403,0.03280087172152206,99.99697981146105,760.3276632059416,0.13151827120142012,2412.7883251497738,75846.94443293432,0.03181127919112442,0.0099250063656065,5.117016930091297,,5.117016930091297,0.06659796760361746
