province,ispoor,avg_savings,c_mean
Abra,1,0.0,41745.37956497867
Abra,0,58356.3684957188,41745.37956497867
Agusan del Norte,1,0.0,42266.74217546313
Agusan del Norte,0,33378.808328278,42266.74217546313
Agusan del Sur,1,0.0,39983.97970695257
Agusan del Sur,0,52396.17701386,39983.97970695257
Aklan,1,0.0,61506.17458334274
Aklan,0,89996.5031017329,61506.17458334274
Albay,1,4169.29002306628,53479.80371816505
Albay,0,54652.6250018601,53479.80371816505
Antique,1,15005.029438462,83633.01666332643
Antique,0,156363.723049295,83633.01666332643
Apayao,1,0.0,41641.16152943985
Apayao,0,69694.3808639222,41641.16152943985
Aurora,1,0.0,82368.07004959954
Aurora,0,145027.693664971,82368.07004959954
Basilan,1,15298.6009920532,45472.524336515395
Basilan,0,19842.766362337,45472.524336515395
Bataan,1,0.0,76802.58672497523
Bataan,0,59466.0287315985,76802.58672497523
Batanes,0,142455.2,79938.79293760292
Batangas,1,0.0,64604.82542441629
Batangas,0,64466.5672187575,64604.82542441629
Benguet,1,0.0,81849.12876674358
Benguet,0,108498.617535282,81849.12876674358
Biliran,1,1057.01980312626,78291.53233659608
Biliran,0,71052.2370207363,78291.53233659608
Bohol,1,0.0,54048.662069339116
Bohol,0,40550.7794590478,54048.662069339116
Bukidnon,1,10933.6154690989,29595.18255977179
Bukidnon,0,73090.420405052,29595.18255977179
Bulacan,1,0.0,69926.36895585846
Bulacan,0,65969.6706598702,69926.36895585846
Cagayan,1,4666.93238826041,60430.42268457354
Cagayan,0,97482.8833010379,60430.42268457354
Camarines Norte,1,0.0,39763.503335989684
Camarines Norte,0,37603.7725333112,39763.503335989684
Camarines Sur,1,375.911167955876,38794.96011605122
Camarines Sur,0,32703.242109561,38794.96011605122
Camiguin,1,1552.3668149079,48996.1497760444
Camiguin,0,24333.9423647924,48996.1497760444
Capiz,1,17617.4554039692,57261.50546689199
Capiz,0,28384.8606928628,57261.50546689199
Catanduanes,1,0.0,42589.93495770337
Catanduanes,0,47574.3178710261,42589.93495770337
Cavite,1,0.0,73296.90850162103
Cavite,0,25065.8716324568,73296.90850162103
Cebu,1,0.0,61415.489697396864
Cebu,0,71043.4683647193,61415.489697396864
Compostela Valley,1,3845.5543787249,37574.64572426929
Compostela Valley,0,25000.0251853667,37574.64572426929
Cotabato,1,0.0,35255.31253632933
Cotabato,0,29828.6533640129,35255.31253632933
Cotabato,1,0.0,35255.31253632933
Cotabato,0,29828.6533640129,35255.31253632933
Davao,1,10416.632852126371,46767.22117034388
Davao,0,54514.8201780525,46767.22117034388
Davao del Sur,1,9904.9853675397,68596.92960891587
Davao del Sur,0,81331.4958630914,68596.92960891587
Davao,1,10416.632852126371,46767.22117034388
Davao,0,54514.8201780525,46767.22117034388
Eastern Samar,1,2713.66393064323,40255.02307463591
Eastern Samar,0,64460.9401590296,40255.02307463591
Guimaras,1,0.0,53389.55684975951
Guimaras,0,66374.4237288136,53389.55684975951
Ifugao,1,0.0,38951.287059971306
Ifugao,0,61903.7357234901,38951.287059971306
Ilocos Norte,1,7059.81107410039,65935.96252787141
Ilocos Norte,0,64556.5027618773,65935.96252787141
Ilocos Sur,1,13225.039264361,55562.35832417591
Ilocos Sur,0,90394.1016014994,55562.35832417591
Iloilo,1,4414.41404045019,49544.28367877755
Iloilo,0,79488.0587789808,49544.28367877755
Isabela,1,8660.66031179861,56479.02406382692
Isabela,0,56253.32999053034,56479.02406382692
Isabela,1,8660.66031179861,56479.02406382692
Isabela,0,56253.32999053034,56479.02406382692
Kalinga,1,0.0,43626.04752532383
Kalinga,0,60068.170970678,43626.04752532383
La Union,1,0.0,58431.931395017535
La Union,0,53842.1523044598,58431.931395017535
Laguna,1,0.0,81446.769610271
Laguna,0,57273.0473162969,81446.769610271
Lanao del Norte,1,1663.27260578408,40945.44073137075
Lanao del Norte,0,75143.219440944,40945.44073137075
Lanao del Sur,1,9068.35363117985,17992.058016043495
Lanao del Sur,0,63897.3779220945,17992.058016043495
Leyte,1,6238.90323878478,47973.572344628024
Leyte,0,43791.6829992044,47973.572344628024
Maguindanao,1,0.0,23891.65484550592
Maguindanao,0,40771.049892329,23891.65484550592
Manila,1,0.0,76783.28144354657
Manila,0,37478.5862122045,76783.28144354657
Marinduque,1,0.0,57793.23633373413
Marinduque,0,34889.9340920583,57793.23633373413
Masbate,1,0.0,35189.70903413108
Masbate,0,24215.191604339,35189.70903413108
Misamis Occidental,1,9721.5682957471,44921.6077802491
Misamis Occidental,0,65056.6423575498,44921.6077802491
Misamis Oriental,1,14140.9351043342,61161.710567490285
Misamis Oriental,0,96918.0864880296,61161.710567490285
Mountain Province,1,9780.16931686532,33424.98772722157
Mountain Province,0,63063.4143037643,33424.98772722157
NCR-2nd Dist.,1,0.0,85727.37175074873
NCR-2nd Dist.,0,84612.9883924169,85727.37175074873
NCR-3rd Dist.,1,0.0,71812.09104095436
NCR-3rd Dist.,0,57285.595074487,71812.09104095436
NCR-4th Dist.,1,0.0,110051.29798969379
NCR-4th Dist.,0,105494.784665224,110051.29798969379
Negros Occidental,1,0.0,48350.75345905915
Negros Occidental,0,27730.2774350853,48350.75345905915
Negros Oriental,1,0.0,35337.21167413978
Negros Oriental,0,64107.7019320116,35337.21167413978
Northern Samar,1,2360.04009358102,39985.00380154806
Northern Samar,0,85086.1600602531,39985.00380154806
Nueva Ecija,1,0.0,45174.482347377765
Nueva Ecija,0,55702.8526722938,45174.482347377765
Nueva Vizcaya,1,6064.9277339293,50703.995096062776
Nueva Vizcaya,0,64526.8825472566,50703.995096062776
Occidental Mindoro,1,4983.58165170079,49262.255879247045
Occidental Mindoro,0,90773.2804829322,49262.255879247045
Oriental Mindoro,1,12518.9171328326,57018.493883525975
Oriental Mindoro,0,75567.9157496468,57018.493883525975
Palawan,1,1835.69347577075,64504.46791463666
Palawan,0,74157.6368041819,64504.46791463666
Pampanga,1,0.0,65948.81759823636
Pampanga,0,94379.9119729491,65948.81759823636
Pangasinan,1,1970.80360462821,54019.5202023267
Pangasinan,0,57140.3577529035,54019.5202023267
Quezon,1,0.0,48048.50089646045
Quezon,0,17065.5779475155,48048.50089646045
Quirino,1,10147.5404260883,44983.5439104561
Quirino,0,58144.2065032707,44983.5439104561
Rizal,1,0.0,84838.12438102522
Rizal,0,64413.5256895211,84838.12438102522
Romblon,1,9496.68073351069,68401.15362978553
Romblon,0,83703.6699697943,68401.15362978553
Samar (Western),1,0.0,45720.11860680916
Samar (Western),0,83665.5211677869,45720.11860680916
Sarangani,1,0.0,27276.09142145175
Sarangani,0,29140.1195091718,27276.09142145175
