province,ispoor,avg_savings,c_mean
Siquijor,1,0.0,30456.36404723283
Siquijor,0,22273.2977045294,30456.36404723283
Sorsogon,1,2989.66312603358,37860.22229493514
Sorsogon,0,24841.9948228746,37860.22229493514
South Cotabato,1,0.0,54115.66699074274
South Cotabato,0,55392.0890531672,54115.66699074274
Southern Leyte,1,0.0,38593.61137714833
Southern Leyte,0,58490.3646831081,38593.61137714833
Sultan Kudarat,1,0.0,34664.771525460346
Sultan Kudarat,0,50782.428054094,34664.771525460346
Sulu,1,10953.8735408688,25757.915432614816
Sulu,0,38805.0499265029,25757.915432614816
Surigao del Norte,1,3747.28213076789,44892.08636209813
Surigao del Norte,0,54307.3323381831,44892.08636209813
Surigao del Sur,1,10796.6080433373,45888.1863787557
Surigao del Sur,0,87270.1013429414,45888.1863787557
Tarlac,1,0.0,49056.562291919465
Tarlac,0,53765.7690955177,49056.562291919465
Tawi-tawi,1,8506.74073078654,35002.874528479806
Tawi-tawi,0,69910.6367961108,35002.874528479806
Zambales,1,0.0,55968.57626570714
Zambales,0,26273.9504622666,55968.57626570714
Zamboanga del Norte,1,15996.1142834797,38985.01390526122
Zamboanga del Norte,0,48659.4723038924,38985.01390526122
Zamboanga del Sur,1,11942.2428528746,55967.62671857643
Zamboanga del Sur,0,63888.3267591501,55967.62671857643
Zamboanga Sibugay,1,12004.9223028784,41355.37188879986
Zamboanga Sibugay,0,56144.4322040196,41355.37188879986
