district,hazard,rp,c,di0,dc_post_reco
Ampara,PF,100.0,42252.664021083285,3143.3933716510824,1040.2076707398205
Ampara,PF,100.0,93914.60573751283,6180.68630160463,229.52676682037048
Ampara,PF,100.0,189890.06322699296,15263.367824139868,192.26740424398426
Ampara,PF,100.0,185510.6888011759,18324.81395529985,243.93707814511714
Ampara,PF,100.0,119899.00962193315,12698.408136331409,324.15426702193247
Ampara,PF,100.0,111920.58600889787,13072.99844542738,387.7157586193076
Ampara,PF,100.0,93183.89750288203,13375.88399932896,509.6324466865892
Ampara,PF,100.0,107344.88809052588,14277.261740433172,474.6658305663382
Ampara,PF,100.0,205349.94354133017,19995.469497124435,229.76413961349328
Ampara,PF,100.0,173356.15172921694,26270.169720249414,416.8578210577034
Ampara,PF,100.0,187466.74015954693,31005.65999418648,450.90566004294226
Ampara,PF,100.0,98597.30716633184,11025.546789782758,406.3593962890161
Ampara,PF,100.0,102961.1308684206,7722.489071547448,239.5887494035957
Ampara,PF,100.0,145297.51332983177,12780.999738651342,231.8249886051973
Ampara,PF,100.0,115447.63546244107,16016.724923787942,465.4630957816816
Ampara,PF,100.0,95714.04244082207,15943.918819853865,604.4942754902252
Ampara,PF,100.0,118301.56240584553,20707.59969333972,549.3288247334488
Ampara,PF,100.0,162408.5476928466,20458.08311726031,342.65657020434804
Ampara,PF,100.0,135091.45733174606,20882.844472941437,479.72778723844584
Ampara,PF,100.0,193196.42599684995,28293.722253603068,380.065224998388
Ampara,PF,100.0,223170.1120000279,29175.760697220518,318.57940482326467
Ampara,PF,100.0,106204.43527777873,16003.22138449657,484.6794016477252
Ampara,PF,100.0,70674.3889680465,6162.672899959198,479.55887624601763
Ampara,PF,100.0,153146.89054520606,15845.862651669268,272.84981989073816
Ampara,PF,100.0,140822.95956858035,9348.187623003476,175.99739734232392
Ampara,PF,100.0,78970.67078033325,7595.566813952292,449.43139782793196
Ampara,PF,100.0,83271.65877734953,12645.809472923362,601.7652228892272
Ampara,PF,100.0,70735.02741562157,6745.70865504889,396.19859385448297
Ampara,PF,100.0,71505.18081684581,9203.349026080752,582.4922794897865
Ampara,PF,100.0,81725.26410679494,6873.124706125606,355.11689660766024
Ampara,PF,100.0,100858.7011452491,8564.143463144534,285.5793362374264
Ampara,PF,100.0,57804.290089805545,8464.122278198449,1080.6574737028047
Ampara,PF,100.0,94081.69105696895,6424.960612162519,239.68654334814903
Ampara,PF,100.0,75890.76029783557,7355.294487792701,484.4690317137609
Ampara,PF,100.0,133528.55686287096,13748.610839291014,293.69174595340314
Ampara,PF,100.0,79044.18222716647,10145.394011843891,509.92920691557464
Ampara,PF,100.0,105491.44572760708,14509.917435432975,496.4709838368123
Ampara,PF,100.0,76291.96779815527,7339.740681082759,473.5598595730005
Ampara,PF,100.0,61854.62667022437,8959.165328233716,895.5379296391341
Ampara,PF,100.0,60139.95723148843,4446.2272724981985,383.44007973290917
Ampara,PF,100.0,73982.6970432079,13429.477842487859,912.6485139544924
Ampara,PF,100.0,48480.07555637554,4653.3484059522525,1039.217136707286
Ampara,PF,100.0,122011.01352844006,9090.635831503776,215.4665222146216
Ampara,PF,100.0,113963.84798217926,13861.220222503089,400.3254903757029
Ampara,PF,100.0,48268.01384078586,3725.136411967976,759.7481830915171
Ampara,PF,100.0,102753.4285117058,6801.842372054775,215.96804208612733
Ampara,PF,100.0,102512.07002948405,13452.465328935637,484.2127057781104
Ampara,PF,100.0,117625.39303197703,8620.807708898528,209.4908251502026
Ampara,PF,100.0,73981.20290810968,6970.819954253162,483.89641065220934
Ampara,PF,100.0,173242.29277537798,19155.792301476784,279.6002742749644
Ampara,PF,100.0,112472.31443681993,11032.455519748786,305.47831919405473
Ampara,PF,100.0,130928.62116746006,11812.638160514289,255.41372279503804
Ampara,PF,100.0,98520.44416939592,16237.813427757268,579.0246186820743
Ampara,PF,100.0,112512.19319555954,17356.82884293833,488.8353612848592
Ampara,PF,100.0,85913.1255691381,9228.667805033829,456.9867756156466
Ampara,PF,100.0,95652.25555999498,9417.914116899468,362.1036376942705
Ampara,PF,100.0,81181.01221371742,12308.354331013083,621.0671216582268
Ampara,PF,100.0,71568.52042630437,6979.161262306132,407.5180777639212
Ampara,PF,100.0,57577.27530452685,3768.760582786747,351.4412199376434
