,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.66402108329,1.2150000000000007,8820,0,8820.0,1.066826930808584e-05,0.0,0.757,5905.865192958292,0.0,5905.865192958292,2,36346.798828125,0,0.00972977836352264,0.0,-1,0.9826589595375712,0.9826589595375712,5363.619999999998,12894.030000000008,3521.06,0.0,-3.006,27569.071899616138,1788.1,1788.1,0,5908.02,0.0,113.01
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.60573751283,1.0350000000000006,24660,0,24660.0,1.066826930808584e-05,0.0,1.0350000000000006,33625.07618218729,0.0,33625.07618218729,1,36346.798828125,0,0.006526245786778746,0.07340363557246722,-1,0.0,0.0,8918.510000000006,2.3699999999993375,7826.22,0.0,0.9,64522.3865267702,2989.17,2989.17,0,12405.76,12280.16,0.05
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699296,1.2150000000000007,41318,0,41318.0,1.066826930808584e-05,0.0,1.2150000000000007,63776.28694629418,0.0,63776.28694629418,1,36346.798828125,0,0.004589642686662065,0.05698216655018399,-1,0.0,0.0,12520.499999999998,4.43000000000108,15824.17,0.0,0.9,38955.54644220465,4211.01,4211.01,0,19783.75,19548.64,0.1
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.6888011759,0.8450000000000005,70342,0,70342.0,1.066826930808584e-05,0.0,0.8450000000000005,82549.66350395043,0.0,82549.66350395043,1,36346.798828125,0,0.004643500821149795,0.12257710921581398,-1,0.0,0.0,30661.930000000008,5.710000000002262,15459.22,0.0,0.827,126296.00625280611,10239.25,10239.25,0,36573.87,36272.85,0.09
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193316,0.7550000000000004,51132,0,51132.0,1.066826930808584e-05,0.0,0.7550000000000004,55403.94005464721,0.0,55403.94005464721,1,36346.798828125,0,0.005775933677332381,0.13945390568622018,-1,0.0,0.0,24349.3,3.730000000000164,9991.58,0.0,0.836,150180.91123099934,8117.12,8117.12,0,26770.23,26573.53,0.06
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889788,1.0350000000000006,30947,0,30947.0,1.066826930808584e-05,0.0,1.0350000000000006,42197.697997167474,0.0,42197.697997167474,1,36346.798828125,0,0.005978262876591123,0.08055420739404216,-1,0.0,0.0,11192.279999999993,2.969999999999063,9326.72,0.0,0.865,80972.34526738225,3751.26,3751.26,0,15568.6,15411.34,0.06
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288204,1.0350000000000006,26916,0,26916.0,1.066826930808584e-05,0.0,1.0350000000000006,36701.238869414155,0.0,36701.238869414155,1,36346.798828125,0,0.006551783832808397,0.08693282875418391,-1,0.0,0.0,9734.429999999997,2.579999999999741,7765.32,0.0,0.842,60364.50669994206,3262.64,3262.64,0,13540.71,13403.69,0.06
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052588,0.9650000000000006,31102,0,31102.0,1.066826930808584e-05,0.0,0.9650000000000006,40231.90782718528,0.0,40231.90782718528,1,36346.798828125,0,0.006104348389754694,0.08389132089520795,-1,0.0,0.0,12049.289999999992,2.8300000000011862,8945.41,0.0,0.886,62182.13859948328,4033.06,4033.06,0,15878.84,15729.37,0.05
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133017,0.7950000000000005,74933,0,74933.0,1.066826930808584e-05,0.0,0.7950000000000005,84191.25291034934,0.0,84191.25291034934,1,36346.798828125,0,0.004413495638762264,0.11087374946617251,-1,0.0,0.0,34308.07999999998,5.749999999998613,17112.5,0.0,0.884,62746.049966261075,11446.06,11446.06,0,39141.99,38838.89,0.09
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.15172921692,1.0350000000000006,48651,0,48651.0,1.066826930808584e-05,0.0,1.0350000000000006,66337.93922707193,0.0,66337.93922707193,1,36346.798828125,0,0.004803528445287456,0.0827638837500903,-1,0.0,0.0,17595.08000000001,4.669999999998776,14446.35,0.0,0.853,64657.61016652414,5897.26,5897.26,0,24474.98,24227.42,0.1
