,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
34,ARMM,EQ,1,1536401017,helped,a,1.2928614545795132,13072.231710497841,799.632471066311,13540.621000000001,22302.6775,39964.94159484574,0.3050000000000001,12862,1470,14332.0,3.335664650032135e-06,468.6420745313446,0.039,4600.4615813157825,468.6420745313446,5069.103655847127,3,15573.959716184301,500.0,50.0,0,0.017187420582844903,0.0,-1,0.1926782273603083,0.1926782273603083,12765.710000000001,35259.39000000001,30381.0,0.0,10.0,18115.03154595809,4466.95,4072.82,394.13,4965.19,0.0,95.63,0.0
35,ARMM,EQ,1,1536405018,helped,a,1.8228088361864152,12286.432587431376,299.862169480626,11936.804000000002,22302.6775,36501.853803823054,1.0350000000000006,3016,344,3360.0,3.335664650032135e-06,109.66862152298133,0.171,1461.5143248323234,109.66862152298133,1571.1829463553047,3,15573.959716184301,500.0,50.0,0,0.018305684130266446,0.0,-1,0.1926782273603083,0.1926782273603083,2919.82,35927.810000000005,30381.0,0.0,10.0,5867.191410054798,1026.15,933.92,92.23,1527.09,0.0,29.38,0.0
36,ARMM,EQ,1,1536932011,helped,a,0.6733654856442415,24943.093587748725,5597.426846692262,21340.802999999996,22302.6775,49382.59751539765,0.5150000000000002,9601,1097,10698.0,3.335664650032135e-06,349.7281331706701,0.283,5467.115150645026,349.7281331706701,5816.843283815696,2,15573.959716184301,500.0,50.0,0,0.013690667317993573,0.0,-1,0.1926782273603083,0.1926782273603083,9119.92,35107.680000000015,30381.01,0.0,10.0,6795.844812821971,3217.5,2923.38,294.12,5812.55,0.0,111.69,0.0
37,ARMM,EQ,1,1536932025,helped,a,0.6733654856442415,125903.72169505572,0.0,217936.58000000002,22302.6775,683606.50912613,0.8450000000000005,71636,8190,79826.0,3.335664650032135e-06,2611.0058438174915,0.8450000000000005,83370.27282389623,2611.0058438174915,85981.27866771372,1,15573.959716184301,500.0,50.0,0,0.004284152581442262,0.01151252681845876,-1,0.0,0.0,60872.68999999999,25581.98,30381.96,24075.0,1.506,46300.394869650416,21920.87,19725.01,2195.86,74202.62,24075.0,954.27,24075.0
38,ARMM,EQ,1,1536932039,helped,a,1.346730971288483,18118.71077626152,1279.4118506725172,18579.625000000004,22302.6775,54265.9626857948,0.4250000000000002,13219,1511,14730.0,3.335664650032135e-06,481.7130439570488,0.038,4714.276355298355,481.7130439570488,5195.989399255404,3,15573.959716184301,500.0,50.0,0,0.014672750190353185,0.0,-1,0.1926782273603083,0.1926782273603083,13122.560000000001,35235.020000000004,30381.02,0.0,10.0,19396.85962304546,4591.71,4186.59,405.12,5090.73,0.0,98.05,0.0
39,ARMM,EQ,1,1538132011,helped,a,0.43187483221787715,17914.485500484883,47.97794665225337,28168.066000000003,22302.6775,88204.90452070252,0.2350000000000001,33653,3847,37500.0,3.335664650032135e-06,1226.439497089852,0.028,11417.66678672585,1226.439497089852,12644.106283815701,2,15573.959716184301,500.0,50.0,0,0.011916575827596705,0.0,-1,0.1926782273603083,0.0,33497.09999999999,33790.11,30381.06,0.0,10.0,15871.61891009573,11716.22,10684.78,1031.44,12654.65,0.0,243.76,0.0
40,ARMM,EQ,1,1538132016,helped,a,0.9764124056165477,29111.097960270465,119.94486271454308,40491.922,22302.6775,126635.67702741615,0.3350000000000001,37785,4320,42105.0,3.335664650032135e-06,1377.2338516839516,0.338,23590.72843213175,1377.2338516839516,24967.9622838157,2,15573.959716184301,500.0,50.0,0,0.009939071157044664,0.014442080758518704,-1,0.0,0.0,35492.81,32497.64,30381.12,5493.0,4.956,38429.473128795806,12547.44,11389.19,1158.25,24622.39,5493.0,367.04,5493.0
41,ARMM,EQ,1,1538133013,helped,a,0.48893631025443357,26685.813326823514,2398.897298396605,47652.734000000004,22302.6775,141948.71431013115,0.3250000000000001,43454,4968,48422.0,3.335664650032135e-06,1583.8189294365443,0.3250000000000001,27975.873260150067,1583.8189294365443,29559.69218958661,1,15573.959716184301,500.0,50.0,0,0.009161911330655163,0.016790027428709674,-1,0.0,0.0,40816.329999999994,32145.12000000001,30381.14,7390.0,4.266,22124.767792344366,14426.15,13094.16,1331.99,27774.79,7390.0,391.1,7390.0
42,ARMM,EQ,1,1538226014,helped,a,0.9127075046086084,27498.318398870404,254.28310028703584,32448.801,22302.6775,100985.25908051548,0.37500000000000017,27160,3105,30265.0,3.335664650032135e-06,989.8868308978401,0.304,15934.95445291786,989.8868308978401,16924.841283815702,2,15573.959716184301,500.0,50.0,0,0.01110275275361472,0.00737858074188758,-1,0.0,0.0,25707.269999999997,33430.38000000001,30381.08,2369.0,7.339,25984.412780328785,9076.22,8243.73,832.49,16937.14,2369.0,279.74,2369.0
43,ARMM,EQ,1,1538291346,helped,a,0.9321750945914897,27795.955470939996,2741.5970125007393,27148.197000000004,22302.6775,76556.72405748599,0.6450000000000004,11895,1360,13255.0,3.335664650032135e-06,433.57361997457735,0.646,11190.663663841126,433.57361997457735,11624.237283815703,2,15573.959716184301,500.0,50.0,0,0.012138345634104975,0.0,-1,0.0,0.0,10510.14,34077.13,30381.05,0.0,10.0,10986.186761718021,3757.29,3392.65,364.64,10631.88,0.0,203.58,0.0
44,ARMM,EQ,1,1538291587,helped,a,1.73118229206444,16316.193085149436,442.87337032751236,17948.328000000005,22302.6775,54909.74819397579,0.5850000000000003,9553,1092,10645.0,3.335664650032135e-06,348.13411250899884,0.053,3545.5374442564107,348.13411250899884,3893.6715567654096,3,15573.959716184301,500.0,50.0,0,0.01492856271356849,0.0,-1,0.1926782273603083,0.1926782273603083,9456.67,35483.92000000001,30381.02,0.0,10.0,17977.81205778077,3310.69,3017.91,292.78,3812.41,0.0,73.42,0.0
