,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,5.065581348701985,0.0,42252.66402108329,128604.51219922266,1.0350000000000006,11186.667575300948,0.0,11186.667575300948,0.0,3675.349320889494,0.0,3675.349320889494,0.20348349830116183,5905.865192958292,0.0,5905.865192958292,2,36346.798828125,0.0,0,0.0,0.00972977836352264,0.0,-1,0.057803468208092484,0.057803468208092484,False,11057.171161843382,18074.054260183362,3521.055335090274,0.0,3647.0746579077654,0.0,3647.0746579077654,5905.86519295829,0.0,113.5703813722996,2.1395857728768847e-05
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,7.09181388818278,0.0,93914.60573751283,285848.0604495976,1.0350000000000006,25393.809805527846,0.0,25393.809805527846,0.0,8343.06740548987,0.0,8343.06740548987,1.0350000000000006,34625.66055421121,0.0,34625.66055421121,1,36346.798828125,0.0,0,0.0,0.006526245786778746,0.0,-1,0.0,0.0,True,23919.136915023337,20777.14532037621,7826.217144792736,0.0,8016.8578041306155,0.0,8016.8578041306155,33271.81521445551,0.0,634.7254921480974,2.1395857728768847e-05
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,3.0393488092211913,0.0,189890.06322699296,577968.7392161,0.9050000000000006,66360.67891004175,0.0,66360.67891004175,0.0,21802.62124748319,0.0,21802.62124748319,0.9050000000000006,81859.03566107102,0.0,81859.03566107102,1,36346.798828125,0.0,0,0.0,0.004589642686662065,0.0022977966200190894,-1,0.0,0.0,True,62978.4470318937,26932.552938915305,15824.171935582746,14268.467949400781,21055.365991946644,0.0,21055.365991946644,79053.42830237097,14268.467949400781,1235.0617885275137,2.1395857728768847e-05
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,4.052465078961589,0.0,185510.6888011759,564639.2291173065,0.8450000000000005,70130.43024445415,0.0,70130.43024445415,0.0,23041.162834027306,0.0,23041.162834027306,0.8450000000000005,82301.3763905911,0.0,82301.3763905911,1,36346.798828125,0.0,0,0.0,0.004643500821149795,0.0025275919403663282,-1,0.0,0.0,True,66787.29493371259,26591.241492554695,15459.224066764657,15246.344967199682,22302.966228628447,0.0,22302.966228628447,79664.59121143923,15246.344967199682,1228.7712832251882,2.1395857728768847e-05
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,6.078697618442383,0.0,119899.00962193316,364936.8389624983,0.7550000000000004,52209.378398545705,0.0,52209.378398545705,0.0,17153.249808265206,0.0,17153.249808265206,0.7550000000000004,56571.330499167234,0.0,56571.330499167234,1,36346.798828125,0.0,0,0.0,0.005775933677332381,0.003689127723197018,-1,0.0,0.0,True,49979.87993092296,22493.67381040583,9991.584135161096,13979.512378530386,16661.376169229377,0.0,16661.376169229377,54949.13374293997,13979.512378530386,781.7316804414668,2.1395857728768847e-05
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,7.09181388818278,0.0,111920.58600889788,340652.8961474091,1.1150000000000009,25785.90386459103,0.0,25785.90386459103,0.0,8471.888846191696,0.0,8471.888846191696,1.1150000000000009,37223.17165521072,0.0,37223.17165521072,1,36346.798828125,0.0,0,0.0,0.005978262876591123,0.0,-1,0.0,0.0,True,24176.40394075953,22136.67512019087,9326.71550074149,0.0,8115.584645194045,0.0,8115.584645194045,35657.668061384626,0.0,679.7180808790523,2.1395857728768847e-05
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,6.078697618442383,0.0,93183.89750288204,283624.00243451586,1.1150000000000009,23632.061085099536,0.0,23632.061085099536,0.0,7764.249636961521,0.0,7764.249636961521,1.1150000000000009,34113.997746847526,0.0,34113.997746847526,1,36346.798828125,0.0,0,0.0,0.006551783832808397,0.0,-1,0.0,0.0,True,22156.99933367963,20749.336303298922,7765.324791906837,0.0,7437.706782886254,0.0,7437.706782886254,32679.257403731473,0.0,622.9426469722533,2.1395857728768847e-05
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,5.065581348701985,0.0,107344.88809052588,326725.83586856845,0.7950000000000005,41845.77215748288,0.0,41845.77215748288,0.0,13748.31505860347,0.0,13748.31505860347,0.7950000000000005,47015.70392380238,0.0,47015.70392380238,1,36346.798828125,0.0,0,0.0,0.006104348389754694,0.009186758134944625,-1,0.0,0.0,True,39966.31646129918,22770.56524628229,8945.407340877156,27465.720141123893,13333.510292043671,0.0,13333.510292043671,45597.1782348269,27465.720141123893,342.6591037819155,2.1395857728768847e-05
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1.8010988102314913,22499.999450683594,205349.94354133017,556540.9688016331,0.7550000000000004,78029.51702709802,0.0,78029.51702709802,0.0,25636.8818769492,0.0,25636.8818769492,0.7550000000000004,84549.16723240825,0.0,84549.16723240825,1,36346.798828125,0.0,0,0.0,0.004413495638762264,0.0025368067776908583,-1,0.0,0.0,True,74697.42049621682,28202.959734556556,17112.495295110846,16934.51855866805,24901.738142070986,0.0,24901.738142070986,82124.69928750518,16934.51855866805,1244.6189655870699,2.1395857728768847e-05
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,173356.15172921692,527644.4419870399,0.7550000000000004,72433.94231546293,0.0,72433.94231546293,0.0,23797.975483447175,0.0,23797.975483447175,0.7550000000000004,78485.60193162173,0.0,78485.60193162173,1,36346.798828125,0.0,0,0.0,0.004803528445287456,0.0028368937928983295,-1,0.0,0.0,True,69340.79375959549,25818.198845984785,14446.345977434743,15869.380967033325,23115.562708400423,0.0,23115.562708400423,76235.00807532389,15869.380967033325,1152.4817532228997,2.1395857728768847e-05
