,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
1293761,NCR,EQ,500,137641325118003,not_helped,na,79.40378506395727,495650.9017348738,5447.9225249437095,495650.9017348738,22302.6775,0.5650000000000003,0,0,0.0,0.029294288229591983,0.0,0.5650000000000003,159.59301269815728,0.0,159.59301269815728,0,15573.959716184301,0,0.002840809066475474,0.0,-1,0.0,0.0,0,-1209.98,100.43,0.0,10.0,0.0,159.59,159.59,0.0,159.59,159.59,0.0
1293797,NCR,EQ,1000,137622211,helped,a,1644.5016799999999,456541.902354617,0.0,456541.90235461696,22302.6775,0.7950000000000005,187348,5434,192782.0,0.037972498460832185,1712.0246332061447,0.7950000000000005,207967.12760800612,1712.0246332061447,209679.15224121226,1,15573.959716184301,0,0.0029599861133797443,0.0,-1,0.0,0.0,187348,-1209.98,187.3,0.0,10.0,317030322.87376,60737.49,59025.47,1712.02,209679.15,209679.15,0.0
1293854,NCR,EQ,1000,1376222231,helped,a,1233.37626,818633.655730049,14971.133295645324,818633.6557300492,22302.6775,0.5850000000000003,478778,13887,492665.0,0.037972498460832185,4375.209069071353,0.5850000000000003,431496.4129880634,4375.209069071353,435871.62205713475,1,15573.959716184301,0,0.002210472915520725,0.0,-1,0.0,0.0,478778,-1209.98,1079.18,0.0,10.0,607641315.1329,155786.49,151411.28,4375.21,435871.62,435871.62,0.0
1293879,NCR,EQ,1000,1376473795,helped,a,1457.247085,729663.1272301739,36235.22141345029,729663.1272301743,22302.6775,0.4950000000000002,490014,14213,504227.0,0.037972498460832185,4477.917944747688,0.4950000000000002,398315.65411531203,4477.917944747688,402793.5720600597,1,15573.959716184301,0,0.0023413632401801028,0.0,-1,0.0,0.0,490014,-1209.98,677.16,0.0,10.0,734783325.928295,160236.64,155758.72,4477.92,402793.57,402793.57,0.0
1293913,NCR,EQ,1000,13391700373,helped,a,730.6680565,591675.59483944,44614.12517134585,591675.5948394402,22302.6775,0.8450000000000005,204149,5921,210070.0,0.037972498460832185,1865.4578309189517,0.8450000000000005,238518.770199548,1865.4578309189517,240384.22803046694,1,15573.959716184301,0,0.0026000887226789167,0.0,-1,0.0,0.0,204149,-1209.98,487.63,0.0,10.0,153491438.628955,67878.33,66012.87,1865.46,240384.24,240384.24,0.0
1293994,NCR,EQ,1000,13744134215,helped,a,1068.076545,594255.6231816565,15690.018131425215,594255.6231816566,22302.6775,0.6750000000000004,293544,8514,302058.0,0.037972498460832185,2682.402967816915,0.6750000000000004,291221.3456357695,2682.402967816915,293903.7486035864,1,15573.959716184301,0,0.002594438292629519,0.0,-1,0.0,0.0,293544,-1209.98,496.53,0.0,10.0,322621065.02961,95761.55,93079.15,2682.4,293903.75,293903.75,0.0
1294003,NCR,EQ,1000,13744288537,helped,a,607.6635765000001,618475.9062801264,0.0,618475.9062801264,22302.6775,0.7150000000000004,290211,8417,298628.0,0.037972498460832185,2651.842351434693,0.7150000000000004,298934.13346289826,2651.842351434693,301585.97581433295,1,15573.959716184301,0,0.0025431302446479696,0.0,-1,0.0,0.0,290211,-1209.98,641.24,0.0,10.0,181465358.52304202,94085.11,91433.27,2651.84,301585.98,301585.98,0.0
1294031,NCR,EQ,1000,13744812492,helped,a,632.6826055000001,876443.2286835541,0.0,876443.2286835543,22302.6775,0.5850000000000003,510839,14817,525656.0,0.037972498460832185,4668.212916859669,0.5850000000000003,459784.67801111424,4668.212916859669,464452.8909279739,1,15573.959716184301,0,0.002136328826315542,0.0,-1,0.0,0.0,510839,-1209.98,1299.41,0.0,10.0,332573407.67670804,165612.07,160943.86,4668.21,464452.89,464452.89,0.0
1294158,NCR,EQ,1000,13762252680,helped,a,1525.82369,1051435.4642089412,49926.942930330304,1051435.4642089414,22302.6775,0.6450000000000004,528023,15315,543338.0,0.037972498460832185,4825.111751481802,0.6450000000000004,508828.50374285644,4825.111751481802,513653.6154943382,1,15573.959716184301,0,0.0019504673507496563,0.0,-1,0.0,0.0,528023,-1209.98,1721.26,0.0,10.0,829037992.07722,173078.78,168253.67,4825.11,513653.62,513653.62,0.0
1294338,NCR,EQ,1000,133917105166,helped,a,912.7952449999999,475476.14778363577,0.0,475476.1477836359,22302.6775,0.9050000000000006,163168,4732,167900.0,0.037972498460832185,1490.8539868110925,0.9050000000000006,199074.4075655099,1490.8539868110925,200565.261552321,1,15573.959716184301,0,0.002900451634444833,0.0,-1,0.0,0.0,163168,-1209.98,281.82,0.0,10.0,153258321.63549998,52898.22,51407.37,1490.85,200565.26,200565.26,0.0
1294502,NCR,EQ,1000,137436228002,helped,a,457.47721199999995,819244.4204610416,65375.069960861794,819244.4204610419,22302.6775,0.6150000000000003,413811,12002,425813.0,0.037972498460832185,3781.324925973528,0.6150000000000003,387350.644751134,3781.324925973528,391131.9696771075,1,15573.959716184301,0,0.002209648783806119,0.0,-1,0.0,0.0,413811,-1209.98,977.75,0.0,10.0,194799744.07335597,136638.2,132856.88,3781.32,391131.97,391131.97,0.0
1294527,NCR,EQ,1000,137441201137,helped,a,928.2693865,596559.8626073656,0.0,596559.8626073657,22302.6775,0.4750000000000002,433977,12587,446564.0,0.037972498460832185,3965.6337979694044,0.4750000000000002,342866.9576361618,3965.6337979694044,346832.5914341312,1,15573.959716184301,0,0.0025894228773074516,0.0,-1,0.0,0.0,433977,-1209.98,399.33,0.0,10.0,414531690.312986,140693.51,136727.88,3965.63,346832.59,346832.59,0.0
1294535,NCR,EQ,1000,137441252367,helped,a,712.0510965,747511.6312188532,0.0,747511.6312188533,22302.6775,0.9050000000000006,249328,7231,256559.0,0.037972498460832185,2278.1836810293767,0.9050000000000006,304194.5963025437,2278.1836810293767,306472.77998357307,1,15573.959716184301,0,0.0023132417307304013,0.0,-1,0.0,0.0,249328,-1209.98,1143.55,0.0,10.0,182683117.26694348,80830.94,78552.76,2278.18,306472.78,306472.78,0.0
1294542,NCR,EQ,1000,137441342234,helped,a,534.0382915,1151564.4814472522,47070.052719618514,1151564.481447253,22302.6775,0.9650000000000006,349888,10148,360036.0,0.037972498460832185,3197.2075778019794,0.9650000000000006,449664.2663162309,3197.2075778019794,452861.4738940329,1,15573.959716184301,0,0.0018637423124500208,0.0,-1,0.0,0.0,349888,-1209.98,2288.69,0.0,10.0,192273010.318494,115219.56,112022.35,3197.21,452861.48,452861.48,0.0
1294570,NCR,EQ,1000,137442883165,helped,a,1215.327115,395029.66425895673,0.0,395029.66425895685,22302.6775,0.9650000000000006,127161,3688,130849.0,0.037972498460832185,1161.9335383261432,0.9650000000000006,162773.44272968842,1161.9335383261432,163935.37626801457,1,15573.959716184301,0,0.003182109651699688,0.0,-1,0.0,0.0,127161,-1209.98,39.03,0.0,10.0,159024337.670635,41225.01,40063.08,1161.93,163935.38,163935.38,0.0
1294659,NCR,EQ,1000,137447725432,helped,a,505.24918749999995,546787.3146406377,10895.845705837975,546787.314640638,22302.6775,0.6750000000000004,271512,7875,279387.0,0.037972498460832185,2481.080969175265,0.6750000000000004,269226.3432592424,2481.080969175265,271707.4242284177,1,15573.959716184301,0,0.002704710459031568,0.0,-1,0.0,0.0,271512,-1209.98,371.1,0.0,10.0,141160054.7480625,88436.82,85955.74,2481.08,271707.42,271707.42,0.0
1294678,NCR,EQ,1000,137448125109,helped,a,1265.36523,469293.8325584472,0.0,469293.8325584472,22302.6775,0.4950000000000002,328690,9533,338223.0,0.037972498460832185,3003.446968780673,0.4950000000000002,266257.931429615,3003.446968780673,269261.37839839567,1,15573.959716184301,0,0.002919493900724255,0.0,-1,0.0,0.0,328690,-1209.98,70.55,0.0,10.0,427975624.18629,106559.83,103556.38,3003.45,269261.38,269261.38,0.0
1294679,NCR,EQ,1000,137448126133,helped,a,1265.36523,459472.8630412892,0.0,459472.8630412892,22302.6775,0.8450000000000005,170526,4946,175472.0,0.037972498460832185,1558.2763775924902,0.8450000000000005,197820.0335999469,1558.2763775924902,199378.3099775394,1,15573.959716184301,0,0.002950530187607448,0.0,-1,0.0,0.0,170526,-1209.98,216.9,0.0,10.0,222036167.63856003,55283.84,53725.56,1558.28,199378.31,199378.31,0.0
1294680,NCR,EQ,1000,137448128184,helped,a,1898.0478449999998,419507.0866990138,20920.02160419723,419507.08669901395,22302.6775,0.9650000000000006,126724,3675,130399.0,0.037972498460832185,1157.8377856151237,0.9650000000000006,163008.44291518402,1157.8377856151237,164166.28070079914,1,15573.959716184301,0,0.003087879503663394,0.0,-1,0.0,0.0,126724,-1209.98,52.09,0.0,10.0,247503540.94015497,41877.62,40719.78,1157.84,164166.28,164166.28,0.0
1294681,NCR,EQ,1000,137448129207,helped,a,1265.36523,644244.595522527,81718.83439139543,644244.5955225272,22302.6775,0.5350000000000003,358636,10402,369038.0,0.037972498460832185,3277.2322846172833,0.5350000000000003,307964.43364154734,3277.2322846172833,311241.6659261646,1,15573.959716184301,0,0.0024917507844816754,0.0,-1,0.0,0.0,358636,-1209.98,365.41,0.0,10.0,466967853.74874,119371.4,116094.17,3277.23,311241.66,311241.66,0.0
1294957,NCR,EQ,1000,137611674331,helped,a,1012.657535,547564.1470405372,74473.09976881769,547564.1470405374,22302.6775,0.6450000000000004,245207,7112,252319.0,0.037972498460832185,2240.691790828506,0.6450000000000004,238240.84735949547,2240.691790828506,240481.53915032398,1,15573.959716184301,0,0.0027027911839380353,0.0,-1,0.0,0.0,245207,-1209.98,179.5,0.0,10.0,255512736.57366502,82323.02,80082.33,2240.69,240481.54,240481.54,0.0
1295026,NCR,EQ,1000,137622521816,helped,a,762.9118639999999,1315831.2926869493,172154.35350996195,1315831.2926869495,22302.6775,0.7550000000000004,489049,14185,503234.0,0.037972498460832185,4469.096323523953,0.7550000000000004,529847.877275327,4469.096323523953,534316.9735988509,1,15573.959716184301,0,0.0017435318707860635,0.0,-1,0.0,0.0,489049,-1209.98,2267.75,0.0,10.0,383923188.96817595,165084.98,160615.88,4469.1,534316.98,534316.98,0.0
1295027,NCR,EQ,1000,137622529240,helped,a,762.9118639999999,532117.1212696176,0.0,532117.1212696177,22302.6775,0.8450000000000005,192231,5575,197806.0,0.037972498460832185,1756.4477972256639,0.8450000000000005,222999.0903378452,1756.4477972256639,224755.53813507088,1,15573.959716184301,0,0.0027417407012495197,0.0,-1,0.0,0.0,192231,-1209.98,448.51,0.0,10.0,150908544.170384,62320.35,60563.9,1756.45,224755.55,224755.55,0.0
1295107,NCR,EQ,1000,137641095227,helped,a,640.2964089999999,575741.8629364866,5447.922170839475,575741.8629364867,22302.6775,0.6450000000000004,303134,8792,311926.0,0.037972498460832185,2769.9890642525625,0.6450000000000004,291233.06293179945,2769.9890642525625,294003.05199605203,1,15573.959716184301,0,0.002635822077587901,0.0,-1,0.0,0.0,303134,-1209.98,456.35,0.0,10.0,199725097.67373398,98481.62,95711.63,2769.99,294003.05,294003.05,0.0
1295146,NCR,EQ,1000,137647328005,helped,a,6557.612024999999,797405.6035474418,0.0,797405.6035474417,22302.6775,0.6750000000000004,393911,11425,405336.0,0.037972498460832185,3599.536517184432,0.6750000000000004,389994.6977807999,3599.536517184432,393594.23429798434,1,15573.959716184301,0,0.0022397025994577435,0.0,-1,0.0,0.0,393911,-1209.98,1154.22,0.0,10.0,2658036227.7654,127704.31,124104.77,3599.54,393594.24,393594.24,0.0
1295165,NCR,EQ,1000,137654901058,helped,a,494.4307585,783985.4799419807,125325.10091825124,783985.4799419806,22302.6775,0.7150000000000004,311852,9045,320897.0,0.037972498460832185,2849.698713167019,0.7150000000000004,325984.5236968646,2849.698713167019,328834.22241003165,1,15573.959716184301,0,0.002258790674306179,0.0,-1,0.0,0.0,311852,-1209.98,758.33,0.0,10.0,158661347.1103745,105860.04,103010.34,2849.7,328834.22,328834.22,0.0
1295167,NCR,EQ,1000,137654901481,helped,a,494.4307585,1421538.4276706562,358150.78961435606,1421538.4276706565,22302.6775,0.6150000000000003,590722,17134,607856.0,0.037972498460832185,5398.202073123682,0.6150000000000003,563005.5436119052,5398.202073123682,568403.7456850288,1,15573.959716184301,0,0.0016774542857831234,0.0,-1,0.0,0.0,590722,-1209.98,1867.95,0.0,10.0,300542703.138776,205109.71,199711.51,5398.2,568403.74,568403.74,0.0
1295282,NCR,EQ,1000,1339124009331,helped,a,913.3351299999999,783937.4634053647,0.0,783937.4634053649,22302.6775,0.7550000000000004,335253,9724,344977.0,0.037972498460832185,3063.6230278425746,0.7550000000000004,358740.12143287825,3063.6230278425746,361803.7444607208,1,15573.959716184301,0,0.0022588598492400466,0.0,-1,0.0,0.0,335253,-1209.98,1173.8,0.0,10.0,315079613.14201,108687.73,105624.11,3063.62,361803.75,361803.75,0.0
1295386,NCR,EQ,1000,1339617605253,helped,a,507.40836649999994,478654.46105922654,0.0,478654.4610592266,22302.6775,0.4750000000000002,353192,10244,363436.0,0.037972498460832185,3227.4531362833545,0.4750000000000002,279042.13011618424,3227.4531362833545,282269.5832524676,1,15573.959716184301,0,0.0028908059518938877,0.0,-1,0.0,0.0,353192,-1209.98,75.56,0.0,10.0,184410467.08729398,114503.38,111275.93,3227.45,282269.58,282269.58,0.0
1295391,NCR,EQ,1000,1339620217249,helped,a,916.573851,505616.74958909716,25615.585054622617,505616.7495890973,22302.6775,0.4750000000000002,350892,10177,361069.0,0.037972498460832185,3206.3442569265617,0.4750000000000002,278197.6847082947,3206.3442569265617,281404.02896522125,1,15573.959716184301,0,0.002812673163381533,0.0,-1,0.0,0.0,350892,-1209.98,82.94,0.0,10.0,330946403.806719,114730.32,111523.98,3206.34,281404.02,281404.02,0.0
1295569,NCR,EQ,1000,1374383108008,helped,a,1887.0935849999998,507987.153614903,18159.740895945026,507987.1536149031,22302.6775,0.9050000000000006,171833,4984,176817.0,0.037972498460832185,1570.248577824701,0.9050000000000006,210335.78000957525,1570.248577824701,211906.02858739995,1,15573.959716184301,0,0.0028061031471480562,0.0,-1,0.0,0.0,171833,-1209.98,322.56,0.0,10.0,333670226.41894495,56397.17,54826.92,1570.25,211906.04,211906.04,0.0
1295610,NCR,EQ,1000,1374412013143,helped,a,1237.69249,469551.0021467813,0.0,469551.0021467813,22302.6775,0.8450000000000005,168617,4890,173507.0,0.037972498460832185,1540.6331351450217,0.8450000000000005,195605.48306722875,1540.6331351450217,197146.11620237379,1,15573.959716184301,0,0.0029186942986875164,0.0,-1,0.0,0.0,168617,-1209.98,254.66,0.0,10.0,214748310.86242998,54664.75,53124.12,1540.63,197146.12,197146.12,0.0
1295611,NCR,EQ,1000,1374412069397,helped,a,1708.85962,389347.7544233388,0.0,389347.7544233388,22302.6775,0.9050000000000006,134242,3893,138135.0,0.037972498460832185,1226.5204079999119,0.9050000000000006,163783.01272559067,1226.5204079999119,165009.5331335906,1,15573.959716184301,0,0.0032052444624477232,0.0,-1,0.0,0.0,134242,-1209.98,10.87,0.0,10.0,236053323.6087,43520.52,42294.0,1226.52,165009.53,165009.53,0.0
1295633,NCR,EQ,1000,1374413428194,helped,a,2136.153185,534613.917983976,49031.304480160674,534613.9179839761,22302.6775,0.9650000000000006,151702,4400,156102.0,0.037972498460832185,1386.2547637296718,0.9650000000000006,196049.18480829633,1386.2547637296718,197435.439572026,1,15573.959716184301,0,0.002735330860106291,0.0,-1,0.0,0.0,151702,-1209.98,330.62,0.0,10.0,333457784.48487,51043.0,49656.75,1386.25,197435.43,197435.43,0.0
1295649,NCR,EQ,1000,1374414019153,helped,a,1012.657535,494834.79531834024,19612.520787691567,494834.7953183402,22302.6775,0.5650000000000003,298110,8646,306756.0,0.037972498460832185,2723.990610728805,0.5650000000000003,263098.79723711754,2723.990610728805,265822.78784784634,1,15573.959716184301,0,0.002843150703937299,0.0,-1,0.0,0.0,298110,-1209.98,126.48,0.0,10.0,310638774.80646,97390.64,94666.65,2723.99,265822.79,265822.79,0.0
1295826,NCR,EQ,1000,1374477248003,helped,a,1010.4983749999999,464596.6817277901,0.0,464596.68172779016,22302.6775,0.4350000000000002,372917,10816,383733.0,0.037972498460832185,3407.6662555682115,0.4350000000000002,279709.34221040417,3407.6662555682115,283117.0084659724,1,15573.959716184301,0,0.0029342150738420557,0.0,-1,0.0,0.0,372917,-1209.98,3.35,0.0,10.0,387761572.93387496,120898.12,117490.45,3407.67,283117.02,283117.02,0.0
1295838,NCR,EQ,1000,1374481214338,helped,a,1265.36523,562113.3534135697,113098.86679769127,562113.3534135699,22302.6775,0.5850000000000003,260617,7559,268176.0,0.037972498460832185,2381.5226725074067,0.5850000000000003,238865.03649061028,2381.5226725074067,241246.5591631177,1,15573.959716184301,0,0.002667583635029616,0.0,-1,0.0,0.0,260617,-1209.98,76.87,0.0,10.0,339340585.92048,88785.61,86404.09,2381.52,241246.56,241246.56,0.0
1295839,NCR,EQ,1000,1374481278003,helped,a,1265.36523,616167.0936101021,0.0,616167.0936101022,22302.6775,0.9050000000000006,218151,6327,224478.0,0.037972498460832185,1993.3713386630986,0.9050000000000006,266156.85112781636,1993.3713386630986,268150.22246647946,1,15573.959716184301,0,0.002547890415515459,0.0,-1,0.0,0.0,218151,-1209.98,715.56,0.0,10.0,284046656.09994,70723.57,68730.2,1993.37,268150.23,268150.23,0.0
1295995,NCR,EQ,1000,1375117821485,helped,a,631.5614345,555476.7149378465,59144.825757751365,555476.7149378468,22302.6775,0.4950000000000002,353340,10248,363588.0,0.037972498460832185,3228.713367886745,0.4950000000000002,288471.7354905622,3228.713367886745,291700.44885844894,1,15573.959716184301,0,0.0026834719896859874,0.0,-1,0.0,0.0,353340,-1209.98,137.79,0.0,10.0,229628158.846986,116797.15,113568.44,3228.71,291700.45,291700.45,0.0
1296290,NCR,EQ,1000,1376113218001,helped,a,2283.3377299999997,733809.8554388257,142554.2574035826,733809.8554388257,22302.6775,0.6750000000000004,290553,8427,298980.0,0.037972498460832185,2654.9929304431694,0.6750000000000004,293077.4345848311,2654.9929304431694,295732.42751527426,1,15573.959716184301,0,0.0023347383958166766,0.0,-1,0.0,0.0,290553,-1209.98,544.75,0.0,10.0,682672314.5153999,99609.15,96954.16,2654.99,295732.43,295732.43,0.0
1296365,NCR,EQ,1000,1376219718001,helped,a,511.72674349999994,500521.331450413,0.0,500521.3314504132,22302.6775,0.4750000000000002,375729,10898,386627.0,0.037972498460832185,3433.501003437719,0.4750000000000002,296847.6650275878,3433.501003437719,300281.1660310255,1,15573.959716184301,0,0.002826953728822249,0.0,-1,0.0,0.0,375729,-1209.98,126.96,0.0,10.0,197847375.65917447,121809.89,118376.39,3433.5,300281.17,300281.17,0.0
1296367,NCR,EQ,1000,1376220218001,helped,a,4054.9483649999993,1036599.5963137377,98958.23927499012,1036599.5963137378,22302.6775,0.4750000000000002,679981,19723,699704.0,0.037972498460832185,6213.886978418254,0.4750000000000002,540982.0530648443,6213.886978418254,547195.9400432626,1,15573.959716184301,0,0.001964375360109377,0.0,-1,0.0,0.0,679981,-1209.98,1321.88,0.0,10.0,2837263590.7839594,224204.97,217991.08,6213.89,547195.95,547195.95,0.0
1296383,NCR,EQ,1000,1376225211130,helped,a,3814.5594149999997,570660.9413901044,28809.921383941528,570660.9413901045,22302.6775,0.6150000000000003,297252,8622,305874.0,0.037972498460832185,2716.4292211084617,0.6150000000000003,277555.55583817506,2716.4292211084617,280271.9850592835,1,15573.959716184301,0,0.0026475301919215858,0.0,-1,0.0,0.0,297252,-1209.98,362.68,0.0,10.0,1166774546.50371,97462.01,94745.58,2716.43,280271.99,280271.99,0.0
1296385,NCR,EQ,1000,1376225216192,helped,a,762.9118639999999,806196.6583181198,0.0,806196.6583181199,22302.6775,0.8450000000000005,286759,8317,295076.0,0.037972498460832185,2620.3365613499273,0.8450000000000005,332657.0435891722,2620.3365613499273,335277.3801505221,1,15573.959716184301,0,0.0022274578713352322,0.0,-1,0.0,0.0,286759,-1209.98,1307.89,0.0,10.0,225116981.181664,92966.03,90345.69,2620.34,335277.39,335277.39,0.0
1296454,NCR,EQ,1000,1376410938002,helped,a,2561.1856549999998,458509.6567174171,2552.6239142103504,458509.65671741724,22302.6775,0.6450000000000004,235457,6829,242286.0,0.037972498460832185,2151.5304048886205,0.6450000000000004,226149.2826675393,2151.5304048886205,228300.8130724279,1,15573.959716184301,0,0.002953627699628092,0.0,-1,0.0,0.0,235457,-1209.98,130.17,0.0,10.0,620539427.60733,76431.05,74279.52,2151.53,228300.82,228300.82,0.0
1296457,NCR,EQ,1000,1376410978005,helped,a,1280.59278,622172.3428918739,133979.66433870106,622172.3428918739,22302.6775,0.5650000000000003,298735,8665,307400.0,0.037972498460832185,2729.9767108449105,0.5650000000000003,267991.6396076081,2729.9767108449105,270721.616318453,1,15573.959716184301,0,0.0025355643957122804,0.0,-1,0.0,0.0,298735,-1209.98,171.55,0.0,10.0,393654220.57199997,101936.34,99206.36,2729.98,270721.62,270721.62,0.0
1296616,NCR,EQ,1000,1376757128001,helped,a,988.3936799999998,539053.0529390214,28474.475339826135,539053.0529390215,22302.6775,0.5150000000000002,354331,10277,364608.0,0.037972498460832185,3237.8500470113268,0.5150000000000002,295196.4930362643,3237.8500470113268,298434.34308327566,1,15573.959716184301,0,0.0027240447679512695,0.0,-1,0.0,0.0,354331,-1209.98,186.95,0.0,10.0,360376242.8774399,115953.88,112716.03,3237.85,298434.35,298434.35,0.0
1296623,NCR,EQ,1000,1376782098005,helped,a,1325.656125,527006.9570510256,81718.836700581,527006.9570510257,22302.6775,0.5150000000000002,303109,8791,311900.0,0.037972498460832185,2769.6740063517145,0.5150000000000002,254701.08866886527,2769.6740063517145,257470.76267521697,1,15573.959716184301,0,0.0027550013846670703,0.0,-1,0.0,0.0,303109,-1209.98,15.08,0.0,10.0,413472145.3875,101369.62,98599.95,2769.67,257470.76,257470.76,0.0
1296968,NCR,EQ,1000,13744121968004,helped,a,760.3028505,440622.4942457618,0.0,440622.4942457619,22302.6775,0.7150000000000004,208314,6042,214356.0,0.037972498460832185,1903.5798369215177,0.7150000000000004,214575.48155717802,1903.5798369215177,216479.06139409952,1,15573.959716184301,0,0.003012982875773838,0.0,-1,0.0,0.0,208314,-1209.98,107.1,0.0,10.0,162975477.821778,67534.55,65630.97,1903.58,216479.06,216479.06,0.0
1297030,NCR,EQ,1000,13744140193184,helped,a,506.328777,1240564.918706086,0.0,1240564.9187060862,22302.6775,0.4550000000000002,962104,27906,990010.0,0.037972498460832185,8792.005781054595,0.4550000000000002,740875.7866371302,8792.005781054595,749667.7924181848,1,15573.959716184301,0,0.001795644037445831,0.0,-1,0.0,0.0,962104,-1209.98,2068.38,0.0,10.0,501270552.51777,311910.48,303118.47,8792.01,749667.8,749667.8,0.0
