region,hazard,new_pov,new_sub,reg_pop,init_pov,init_sub,pct_increase_pov,pct_increase_sub,pct_pop_pov,pct_pop_sub
ARMM,EQ,2630.225495190846,5678.9799769776255,3706900.441180005,1207449.8274699992,783053.5235900003,2.1783310870166965,7.252352241442805,0.7095484588611112,1.5320022933148578
ARMM,HU,206.55275483852267,388.65428405885274,3706900.44118,1207449.8274699992,783053.5235900002,0.17106528995189638,0.49633169681303757,0.05572114981668397,0.10484616196898298
ARMM,PF,217.4114389226311,429.32384905164685,3706900.441179997,1207449.8274700001,783053.5235899999,0.18005836265526556,0.548268842573317,0.05865046617044394,0.11581747496703272
ARMM,SS,0.15276739227930636,0.28023250907130226,3706900.441180003,1207449.8274699987,783053.5235900002,0.00012652069577036082,0.0003578714616933765,4.1211625373644114e-05,7.559752777770771e-05
CAR,EQ,1102.5305756123291,914.2596037250479,1783500.1087300004,226826.77380000008,124763.20586000002,4.86067212058689,7.327958570982553,0.6181836324066289,0.5126209969093168
CAR,HU,3817.2664549801516,2589.1990558674693,1783500.1087299986,226826.7738,124763.20586000002,16.828994174849704,20.752905778750794,2.1403230850926973,1.4517515548183486
CAR,PF,2620.6708376921256,1750.2409128631455,1783500.1087299995,226826.77379999997,124763.20586,11.553622148692423,14.028502239892232,1.469397632702283,0.9813517275922471
I - Ilocos,EQ,14019.960979777019,11511.03883244764,5135999.78727999,498991.9861599999,172094.47820000007,28.096565413139864,66.88790339379777,2.729743294479759,2.241245971418518
I - Ilocos,HU,36901.355628109864,21650.790561722035,5135999.787279992,498991.9861599999,172094.4782,73.95180013227223,125.80758423033491,7.184843683113292,4.215496779291772
I - Ilocos,PF,7701.782439889075,4298.416868292576,5135999.78728,498991.9861600001,172094.4782,15.434681625166471,24.97707604131935,1.4995682941739181,0.8369192068384014
I - Ilocos,SS,468.5442448237394,262.3505896155539,5135999.78727999,498991.98616000003,172094.47819999998,0.9389815023472187,1.5244567539852296,0.09122746577680041,0.05108072439280492
II - Cagayan Valley,EQ,5471.634605976032,3679.828148153465,3497900.2975200047,462614.5988100001,91000.91563999999,11.827630645576061,40.4372650788579,1.5642625977233817,1.0520105878267734
II - Cagayan Valley,HU,56776.61107841695,35500.865016807234,3497900.29752001,462614.59881000017,91000.91564,122.72983002366425,390.11547045580073,16.231626475652043,10.149192943543055
II - Cagayan Valley,PF,6035.356375448281,3599.4073190723893,3497900.2975199968,462614.59881,91000.91564000002,13.04618659024865,39.55352859647763,1.7254226427572377,1.0290194153402146
II - Cagayan Valley,SS,3986.004323134357,2489.637636249843,3497900.2975200014,462614.59881,91000.91564,8.61625278014939,27.358380063985948,1.1395420063746298,0.7117520296433226
III - Central Luzon,EQ,19993.61142317539,13804.539468790867,11098900.305219995,904508.94185,337561.9636,22.10438227651159,40.89483104544563,1.8014047223914669,1.2437754272194306
III - Central Luzon,HU,55450.361559396464,29924.33841607271,11098900.305219995,904508.9418499996,337561.96359999996,61.304381851641374,88.64843093380061,4.996023032418559,2.696153456031928
III - Central Luzon,PF,24996.725237218874,14539.657601388786,11098900.305220006,904508.9418499998,337561.96359999996,27.635686150424185,43.072559023912454,2.252180355693661,1.3100088478631104
III - Central Luzon,SS,1585.70309426615,842.9076110094016,11098900.305220002,904508.9418499998,337561.96359999996,1.7531093623274723,2.4970455854090834,0.14287028900695384,0.07594514662078439
IVA - CALABARZON,EQ,23566.79727923204,14635.236606699624,14127199.834489988,957267.2336999999,330698.8042000001,24.618827898394034,44.25548692897154,1.6681860209619406,1.0359616044341158
IVA - CALABARZON,HU,67417.537533068,32276.28110852834,14127199.834489979,957267.2336999997,330698.8042000001,70.42708155014125,97.6002353156629,4.772179789548642,2.2846906313117628
IVA - CALABARZON,PF,30053.0666981683,14010.182989942585,14127199.834489988,957267.2336999999,330698.8042,31.394646803075158,42.36538751276979,2.1273194299125775,0.9917169116372432
IVA - CALABARZON,SS,4178.214563247367,1990.3846043177718,14127199.834489996,957267.2336999999,330698.8042000001,4.364731619505935,6.018723318739389,0.2957567396368754,0.140890242060459
IVB - MIMAROPA,EQ,2425.2919016461556,2757.6131087354343,3089300.040979998,479538.30569999997,274683.8325999999,5.057556138515079,10.039226126392105,0.7850619459017636,0.8926336296751075
IVB - MIMAROPA,HU,5367.510309938669,5298.574854190592,3089300.0409800024,479538.3057,274683.83259999997,11.193079355993289,19.289722311056007,1.7374519272126,1.7151376635173816
IVB - MIMAROPA,PF,788.3416022402826,800.0495402506539,3089300.0409800005,479538.3057,274683.83259999997,1.6439596021208582,2.912619693259129,0.2551845375272133,0.2589743727180539
IVB - MIMAROPA,SS,388.40058192912613,375.1108518887492,3089300.0409800005,479538.30569999997,274683.8325999999,0.8099469371110266,1.365609502161684,0.12572446080890093,0.12142260282680571
IX - Zamboanga Peninsula,EQ,1496.6573659747378,1901.3156881349728,3764699.585239999,775760.79853,498896.4558,1.9292768709256445,3.8110426843705243,0.39755027780771146,0.5050378244227857
IX - Zamboanga Peninsula,HU,100.2438058340941,111.38273438629562,3764699.5852399985,775760.79853,498896.4558,0.1292199941322731,0.22325821939883106,0.02662730546339293,0.02958608830914061
IX - Zamboanga Peninsula,PF,95.72590991960817,111.09179538462087,3764699.5852400004,775760.7985299998,498896.4558,0.12339616812424727,0.22267505429855344,0.025427237353788913,0.029508807507555412
IX - Zamboanga Peninsula,SS,8.317488138543382,9.597164896442528,3764699.585239997,775760.7985300004,498896.4558,0.010721717511769481,0.01923678708250813,0.002209336482292822,0.002549251189675129
