,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,1,5.065581348701985,5.065581348701985,0.0,42252.66402108329,8728.230501455053,0.0,8728.230501455053,0.0,0.0,2867.636481566476,0.0,2867.636481566476,5905.865192958292,0.0,5905.865192958292,0.34809217181939955,2,36346.798828125,1.68112260362596,9928.483469849978,0.0,0,0.0,0.00972977836352264,0.0,-1.0,3.87283236994221,3.87283236994221,False,2267.0060196530726,5806.334078265878,3521.055335090274,0.0,749.8309577055646,0.0,749.8309577055646,1544.2684531955792,0.0,29.655131485868633,1.8049202462836777e-06
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,93914.60573751283,33840.22315781482,0.0,33840.22315781482,0.0,0.0,11118.11362629837,0.0,11118.11362629837,57567.80690938783,0.0,57567.80690938783,1.372617818342096,1,36346.798828125,1.1940229969432277,68737.2853333963,0.0,0,0.0,0.006526245786778746,0.2055704650688415,-1.0,0.0,0.0,True,166.24900420302308,0.09810734318587677,7826.217144792736,0.0,56.08450402951809,0.0,56.08450402951809,290.39655530620996,290.39655530620996,0.0,1.8049202462836777e-06
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,1,3.0393488092211913,3.0393488092211913,0.0,189890.06322699296,41894.28352326462,0.0,41894.28352326462,0.0,0.0,13764.253336386479,0.0,13764.253336386479,153543.26439886796,0.0,153543.26439886796,3.3364697831593135,1,36346.798828125,1.0818381497068552,166108.96105722178,0.0,0,0.0,0.004589642686662065,0.09300340050350979,-1.0,0.0,0.0,True,0.1024189512830801,0.09583718042406009,15824.171935582746,0.0,0.03588372256571436,0.0,0.03588372256571436,0.40029079434028814,0.40029079434028814,0.0,1.8049202462836777e-06
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,1,4.052465078961589,4.052465078961589,0.0,185510.6888011759,38052.431410037076,0.0,38052.431410037076,0.0,0.0,12502.023234324217,0.0,12502.023234324217,149163.8899730509,0.0,149163.8899730509,3.591409580799597,1,36346.798828125,1.076124246387099,160518.87868541753,0.0,0,0.0,0.004643500821149795,0.08146477077102525,-1.0,0.0,0.0,True,0.034658682185893595,0.0960163286749367,15459.224066764657,0.0,0.01220288516671261,0.0,0.01220288516671261,0.14559481983395026,0.14559481983395026,0.0,1.8049202462836777e-06
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,119899.00962193316,30138.832405738875,0.0,30138.832405738875,0.0,0.0,9902.031723853619,0.0,9902.031723853619,83552.21079380816,0.0,83552.21079380816,2.4436971571576365,1,36346.798828125,1.1110201374772346,92828.18872266363,0.0,0,0.0,0.005775933677332381,0.11527139824278212,-1.0,0.0,0.0,True,2.3385715162678373,0.09892885936062168,9991.584135161096,0.0,0.8053732139144678,0.0,0.8053732139144678,6.795647036210517,6.795647036210517,0.0,1.8049202462836777e-06
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,111920.58600889788,44302.535711352044,0.0,44302.535711352044,0.0,0.0,14555.478067472639,0.0,14555.478067472639,75573.7871807729,0.0,75573.7871807729,1.377309631007531,1,36346.798828125,1.1933896472913466,90188.97522813386,0.0,0,0.0,0.005978262876591123,0.23782051415368471,-1.0,0.0,0.0,True,213.72878929611466,0.09742931655948972,9326.71550074149,0.0,72.1084428532282,0.0,72.1084428532282,374.3956803662049,374.3956803662049,0.0,1.8049202462836777e-06
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,93183.89750288204,19497.64583723347,0.0,19497.64583723347,0.0,0.0,6405.8987097318895,0.0,6405.8987097318895,56837.09867475705,0.0,56837.09867475705,2.5865276447231262,1,36346.798828125,1.105028490121093,62806.61333143036,0.0,0,0.0,0.006551783832808397,0.08364803028812647,-1.0,0.0,0.0,True,0.8701070949497981,0.09617163829812592,7765.324791906837,0.0,0.3004792094837691,0.0,0.3004792094837691,2.666037546487645,2.666037546487645,0.0,1.8049202462836777e-06
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,1,5.065581348701985,5.065581348701985,0.0,107344.88809052588,43908.954599984434,0.0,43908.954599984434,0.0,0.0,14426.168059765454,0.0,14426.168059765454,70998.08926240088,0.0,70998.08926240088,1.288391439013114,1,36346.798828125,1.2061425151085512,85633.81395085363,0.0,0,0.0,0.006104348389754694,0.25008890663283234,-1.0,0.0,0.0,True,298.9120805946078,0.11752087179442938,8945.407340877156,0.0,100.67519971282812,0.0,100.67519971282812,495.4709238177014,489.2182826635191,0.002953909596365989,1.8049202462836777e-06
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,22499.999450683594,205349.94354133017,68852.22914496087,0.0,68852.22914496087,0.0,0.0,22621.700649181385,0.0,22621.700649181385,169003.14471320517,0.0,169003.14471320517,2.1260233093664054,1,36346.798828125,1.12715363161867,190492.50831846485,0.0,0,0.0,0.004413495638762264,0.18573677334675526,-1.0,0.0,0.0,True,18.283261857465806,0.0976358301715079,17112.495295110846,0.0,6.298702641540402,0.0,6.298702641540402,46.79469733528806,46.79469733528806,0.0,1.8049202462836777e-06
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,173356.15172921692,70268.07795614684,0.0,70268.07795614684,0.0,0.0,23086.38661673885,0.0,23086.38661673885,137009.35290109192,0.0,137009.35290109192,1.6212620239228763,1,36346.798828125,1.165328663012585,159660.92603644886,0.0,0,0.0,0.004803528445287456,0.24913273596452562,-1.0,0.0,0.0,True,131.7882997199287,0.09826065273230444,14446.345977434743,0.0,44.67260908805493,0.0,44.67260908805493,265.1157742944541,265.1157742944541,0.0,1.8049202462836777e-06
