,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,scale_fac_soc,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,5.065581348701985,0.0,42252.66402108329,128604.51219922266,1.0350000000000006,11186.667575300948,0.0,11186.667575300948,0.0,3675.349320889494,0.0,3675.349320889494,0.1993905563971129,5905.865192958292,0.0,5905.865192958292,2,36346.798828125,0.0,0,0.0,0.00972977836352264,0.0,-1,0.019267822736030827,0.019267822736030827,False,11143.772840592597,18301.197276258736,3521.055335090274,0.0,2.202149182892012e-05,3675.349320889494,0.0,3675.349320889494,5905.865192958292,0.0,113.57485676183958
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,7.09181388818278,0.0,93914.60573751283,285848.0604495976,1.0350000000000006,25393.809805527846,0.0,25393.809805527846,0.0,8343.06740548987,0.0,8343.06740548987,1.0350000000000006,34625.66055421121,0.0,34625.66055421121,1,36346.798828125,0.0,0,0.0,0.006526245786778746,0.0,-1,0.0,0.0,True,24892.417508061535,22059.38118073619,7826.217144792736,0.0,2.202149182892012e-05,8343.06740548987,0.0,8343.06740548987,34625.66055421121,0.0,660.5527619868495
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,3.0393488092211913,0.0,189890.06322699296,577968.7392161,0.9050000000000006,66360.67891004175,0.0,66360.67891004175,0.0,21802.62124748319,0.0,21802.62124748319,0.9050000000000006,81859.03566107102,0.0,81859.03566107102,1,36346.798828125,0.0,0,0.0,0.004589642686662065,0.0007674289649319226,-1,0.0,0.0,True,65213.5530636821,29429.23758659098,15824.171935582746,14268.467949400781,2.202149182892012e-05,21802.62124748319,0.0,21802.62124748319,81859.03566107102,14268.467949400781,1288.6511469220682
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,4.052465078961589,0.0,185510.6888011759,564639.2291173065,0.8450000000000005,70130.43024445415,0.0,70130.43024445415,0.0,23041.162834027306,0.0,23041.162834027306,0.8450000000000005,82301.3763905911,0.0,82301.3763905911,1,36346.798828125,0.0,0,0.0,0.004643500821149795,0.0008441770910732239,-1,0.0,0.0,True,68997.85983788011,29073.775823446103,15459.224066764657,15246.344967199682,2.202149182892012e-05,23041.162834027306,0.0,23041.162834027306,82301.3763905911,15246.344967199682,1279.1650412488577
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,6.078697618442383,0.0,119899.00962193316,364936.8389624983,0.7550000000000004,52209.378398545705,0.0,52209.378398545705,0.0,17153.249808265206,0.0,17153.249808265206,0.7550000000000004,56571.330499167234,0.0,56571.330499167234,1,36346.798828125,0.0,0,0.0,0.005775933677332381,0.0012321122963838405,-1,0.0,0.0,True,51455.37542244176,24072.5392998825,9991.584135161096,13979.512378530386,2.202149182892012e-05,17153.249808265206,0.0,17153.249808265206,56571.330499167234,13979.512378530386,812.7616332088992
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,7.09181388818278,0.0,111920.58600889788,340652.8961474091,1.1150000000000009,25785.90386459103,0.0,25785.90386459103,0.0,8471.888846191696,0.0,8471.888846191696,1.1150000000000009,37223.17165521072,0.0,37223.17165521072,1,36346.798828125,0.0,0,0.0,0.005978262876591123,0.0,-1,0.0,0.0,True,25237.837548529238,23510.87207846459,9326.71550074149,0.0,2.202149182892012e-05,8471.888846191696,0.0,8471.888846191696,37223.17165521072,0.0,709.5602202072014
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,6.078697618442383,0.0,93183.89750288204,283624.00243451586,1.1150000000000009,23632.061085099536,0.0,23632.061085099536,0.0,7764.249636961521,0.0,7764.249636961521,1.1150000000000009,34113.997746847526,0.0,34113.997746847526,1,36346.798828125,0.0,0,0.0,0.006551783832808397,0.0,-1,0.0,0.0,True,23129.773605557537,22008.749455206194,7765.324791906837,0.0,2.202149182892012e-05,7764.249636961521,0.0,7764.249636961521,34113.997746847526,0.0,650.292134630946
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,5.065581348701985,0.0,107344.88809052588,326725.83586856845,0.7950000000000005,41845.77215748288,0.0,41845.77215748288,0.0,13748.31505860347,0.0,13748.31505860347,0.7950000000000005,47015.70392380238,0.0,47015.70392380238,1,36346.798828125,0.0,0,0.0,0.006104348389754694,0.0030682368601107532,-1,0.0,0.0,True,41209.66635242851,23469.34140265895,8945.407340877156,27465.720141123893,2.202149182892012e-05,13748.31505860347,0.0,13748.31505860347,47015.70392380238,27465.720141123893,369.7827361485058
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1.8010988102314913,22499.999450683594,205349.94354133017,556540.9688016331,0.7550000000000004,78029.51702709802,0.0,78029.51702709802,0.0,25636.8818769492,0.0,25636.8818769492,0.7550000000000004,84549.16723240825,0.0,84549.16723240825,1,36346.798828125,0.0,0,0.0,0.004413495638762264,0.0008472547059536572,-1,0.0,0.0,True,76902.62201575989,30715.217047901642,17112.495295110846,16934.51855866805,2.202149182892012e-05,25636.8818769492,0.0,25636.8818769492,84549.16723240825,16934.51855866805,1290.995045139504
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,173356.15172921692,527644.4419870399,0.7550000000000004,72433.94231546293,0.0,72433.94231546293,0.0,23797.975483447175,0.0,23797.975483447175,0.7550000000000004,78485.60193162173,0.0,78485.60193162173,1,36346.798828125,0.0,0,0.0,0.004803528445287456,0.0009474791842489845,-1,0.0,0.0,True,71387.85807251546,28144.53086759615,14446.345977434743,15869.380967033325,2.202149182892012e-05,23797.975483447175,0.0,23797.975483447175,78485.60193162173,15869.380967033325,1195.5319077688948
10,Ampara,PF,5.0,10,52101053031,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,187466.7401595469,570592.8662809753,0.7150000000000004,82736.21685204603,0.0,82736.21685204603,0.0,27182.759867784185,0.0,27182.759867784185,0.7150000000000004,86339.15491699713,0.0,86339.15491699713,1,36346.798828125,0.0,0,0.0,0.004619211863019197,0.0009962717608949794,-1,0.0,0.0,True,81604.21731416108,29210.224341344794,15622.228346628908,17980.241533916018,2.202149182892012e-05,27182.759867784185,0.0,27182.759867784185,86339.15491699713,17980.241533916018,1305.7208032144163
11,Ampara,PF,5.0,11,52101053041,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,98597.30716633184,300100.8075125373,1.2150000000000007,21939.215296755825,0.0,21939.215296755825,0.0,7208.069740072763,0.0,7208.069740072763,1.2150000000000007,33864.21632563111,0.0,33864.21632563111,1,36346.798828125,0.0,0,0.0,0.006369384529710047,0.0,-1,0.0,0.0,True,21431.574610490632,22465.24761668804,8216.442263860987,0.0,2.202149182892012e-05,7208.069740072763,0.0,7208.069740072763,33864.21632563111,0.0,644.9114451032459
12,Ampara,PF,5.0,12,52101053051,helped,a,43493.30859375,0.0,4.502747025578729,0.0,102961.1308684206,313382.9858445473,0.6150000000000003,57280.371368223,0.0,57280.371368223,0.0,18819.310808279988,0.0,18819.310808279988,0.6150000000000003,54046.73919973715,0.0,54046.73919973715,1,36346.798828125,0.0,0,0.0,0.006232945703484369,0.0018916139476179987,-1,0.0,0.0,True,56605.6212151184,22777.441380946064,8580.09423903505,17586.19602935411,2.202149182892012e-05,18819.310808279988,0.0,18819.310808279988,54046.73919973715,17586.19602935411,696.3696560192886
13,Ampara,PF,5.0,13,52101053071,helped,a,43493.30859375,0.0,4.502747025578729,0.0,145297.51332983177,442242.3120165664,0.9050000000000006,50842.97596803275,0.0,50842.97596803275,0.0,16704.321992073037,0.0,16704.321992073037,0.9050000000000006,62717.21524314271,0.0,62717.21524314271,1,36346.798828125,0.0,0,0.0,0.005246877259162607,0.0008009896033005682,-1,0.0,0.0,True,49964.09267755533,26022.907468297213,12108.126110819314,11366.818454839227,2.202149182892012e-05,16704.321992073037,0.0,16704.321992073037,62717.21524314271,11366.818454839227,978.9354404524004
14,Ampara,PF,5.0,14,52101053081,helped,a,43493.30859375,0.0,6.303845835810221,0.0,115447.63546244109,351388.18314018013,0.7550000000000004,48747.86577292499,0.0,48747.86577292499,0.0,16015.97921430253,0.0,16015.97921430253,0.7550000000000004,52820.61787286092,0.0,52820.61787286092,1,36346.798828125,0.0,0,0.0,0.00588623334315135,0.001458398885025952,-1,0.0,0.0,True,48043.853639493325,23806.010929804004,9620.636288536758,15675.319971196226,2.202149182892012e-05,16015.97921430253,0.0,16015.97921430253,52820.61787286092,15675.319971196226,708.3421566630553
