,district,hazard,rp,level_0,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,1,5.065581348701985,5.065581348701985,0.0,42252.66402108329,8728.230501455053,0.0,8728.230501455053,0.0,0.0,2867.636481566476,0.0,2867.636481566476,5905.865192958292,0.0,5905.865192958292,0.34809217181939955,2,36346.798828125,1.68112260362596,9928.483469849978,0.0,0,0.0,0.00972977836352264,0.0,-1.0,0.038535645472061654,0.038535645472061654,False,8611.932151308813,18139.927744975404,3521.055335090274,0.0,2848.4676603105986,0.0,2848.4676603105986,5866.387220428355,0.0,112.65430178854366,2.1094311535961238e-05
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,93914.60573751283,33840.22315781482,0.0,33840.22315781482,0.0,0.0,11118.11362629837,0.0,11118.11362629837,57567.80690938783,0.0,57567.80690938783,1.372617818342096,1,36346.798828125,1.1940229969432277,68737.2853333963,0.0,0,0.0,0.006526245786778746,0.006659804621835634,-1.0,0.0,0.0,True,32096.770435807226,6653.8976059490815,7826.217144792736,25650.091642833246,10827.923207547332,0.0,10827.923207547332,56065.247522505924,25650.091642833246,571.8739887209993,2.1094311535961238e-05
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,1,3.0393488092211913,3.0393488092211913,0.0,189890.06322699296,41894.28352326462,0.0,41894.28352326462,0.0,0.0,13764.253336386479,0.0,13764.253336386479,153543.26439886796,0.0,153543.26439886796,3.3364697831593135,1,36346.798828125,1.0818381497068552,166108.96105722178,0.0,0,0.0,0.004589642686662065,0.006155567224776894,-1.0,0.0,0.0,True,36839.71110611267,12149.68196468922,15824.171935582746,48729.271610620475,12907.239882578277,0.0,12907.239882578277,143983.0913829007,48729.271610620475,1748.0411469546561,2.1094311535961238e-05
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,1,4.052465078961589,4.052465078961589,0.0,185510.6888011759,38052.431410037076,0.0,38052.431410037076,0.0,0.0,12502.023234324217,0.0,12502.023234324217,149163.8899730509,0.0,149163.8899730509,3.591409580799597,1,36346.798828125,1.076124246387099,160518.87868541753,0.0,0,0.0,0.004643500821149795,0.00563870725256659,-1.0,0.0,0.0,True,33134.25681581491,11800.484676393557,15459.224066764657,44357.81044711014,11666.154207453437,0.0,11666.154207453437,139190.9861302775,44357.81044711014,1736.54049038712,2.1094311535961238e-05
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,119899.00962193316,30138.832405738875,0.0,30138.832405738875,0.0,0.0,9902.031723853619,0.0,9902.031723853619,83552.21079380816,0.0,83552.21079380816,2.4436971571576365,1,36346.798828125,1.1110201374772346,92828.18872266363,0.0,0,0.0,0.005775933677332381,0.005901512418437518,-1.0,0.0,0.0,True,27430.211244251317,8065.067471673211,9991.584135161096,29745.705878303208,9446.603293702865,0.0,9446.603293702865,79709.35780579127,29745.705878303208,927.0946852086769,2.1094311535961238e-05
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,111920.58600889788,44302.535711352044,0.0,44302.535711352044,0.0,0.0,14555.478067472639,0.0,14555.478067472639,75573.7871807729,0.0,75573.7871807729,1.377309631007531,1,36346.798828125,1.1933896472913466,90188.97522813386,0.0,0,0.0,0.005978262876591123,0.0078976440208521,-1.0,0.0,0.0,True,42012.46665258675,7833.318515504221,9326.71550074149,34849.59272260095,14174.28864271529,0.0,14174.28864271529,73594.60598668,34849.59272260095,727.8820142694292,2.1094311535961238e-05
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,93183.89750288204,19497.64583723347,0.0,19497.64583723347,0.0,0.0,6405.8987097318895,0.0,6405.8987097318895,56837.09867475705,0.0,56837.09867475705,2.5865276447231262,1,36346.798828125,1.105028490121093,62806.61333143036,0.0,0,0.0,0.006551783832808397,0.004264016724762694,-1.0,0.0,0.0,True,17647.960418299805,6360.88501406713,7765.324791906837,17651.12165680405,6094.474147228424,0.0,6094.474147228424,54073.947180984316,17651.12165680405,676.2523750689954,2.1094311535961238e-05
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,1,5.065581348701985,5.065581348701985,0.0,107344.88809052588,43908.954599984434,0.0,43908.954599984434,0.0,0.0,14426.168059765454,0.0,14426.168059765454,70998.08926240088,0.0,70998.08926240088,1.288391439013114,1,36346.798828125,1.2061425151085512,85633.81395085363,0.0,0,0.0,0.006104348389754694,0.007845520033205877,-1.0,0.0,0.0,True,41782.15275532541,7557.896571797033,8945.407340877156,33258.50305786041,14072.45423037666,0.0,14072.45423037666,69257.29392934697,33258.50305786041,677.1911664308209,2.1094311535961238e-05
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,22499.999450683594,205349.94354133017,68852.22914496087,0.0,68852.22914496087,0.0,0.0,22621.700649181385,0.0,22621.700649181385,169003.14471320517,0.0,169003.14471320517,2.1260233093664054,1,36346.798828125,1.12715363161867,190492.50831846485,0.0,0,0.0,0.004413495638762264,0.009089528327905662,-1.0,0.0,0.0,True,63436.21551353382,13592.980162252745,17112.495295110846,70933.96505257204,21713.759259789775,0.0,21713.759259789775,162220.0139343902,70933.96505257204,1695.729849445471,2.1094311535961238e-05
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,173356.15172921692,70268.07795614684,0.0,70268.07795614684,0.0,0.0,23086.38661673885,0.0,23086.38661673885,137009.35290109192,0.0,137009.35290109192,1.6212620239228763,1,36346.798828125,1.165328663012585,159660.92603644886,0.0,0,0.0,0.004803528445287456,0.009768945533804013,-1.0,0.0,0.0,True,66012.30961745458,11757.9550875945,14446.345977434743,63053.4416602541,22376.35745211959,0.0,22376.35745211959,132795.58666732133,63053.4416602541,1304.227901399386,2.1094311535961238e-05
