,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,scale_fac_soc,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,1,5.065581348701985,5.065581348701985,0.0,42252.66402108329,8728.230501455053,0.0,8728.230501455053,0.0,0.0,2867.636481566476,0.0,2867.636481566476,5905.865192958292,0.0,5905.865192958292,2.1208150885207493,2,36346.798828125,1.68112260362596,9928.483469849978,0,0,0.0,0.00972977836352264,0.0006014534014381847,-1,0.019267822736030827,0.019267822736030827,False,8378.753600640996,3165.980526777528,3521.055335090274,2519.304254423176,2.16588017176509e-05,2867.636481566476,0.0,2867.636481566476,21378.59942513938,2519.304254423176,355.0748083127462
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,93914.60573751283,33840.22315781482,0.0,33840.22315781482,0.0,0.0,11118.11362629837,0.0,11118.11362629837,57567.80690938783,0.0,57567.80690938783,1.1499436960209346,1,36346.798828125,1.1940229969432277,68737.2853333963,0,0,0.0,0.006526245786778746,0.0033318271097270953,-1,0.0,0.0,True,33098.67389293866,7367.023272243844,7826.217144792736,25650.091642833246,2.16588017176509e-05,11118.11362629837,0.0,11118.11362629837,50032.46491856917,25650.091642833246,459.1938725488921
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,1,3.0393488092211913,3.0393488092211913,0.0,189890.06322699296,41894.28352326462,0.0,41894.28352326462,0.0,0.0,13764.253336386479,0.0,13764.253336386479,153543.26439886796,0.0,153543.26439886796,1.975905151895398,1,36346.798828125,1.0818381497068552,166108.96105722178,0,0,0.0,0.004589642686662065,0.0030795626778622053,-1,0.0,0.0,True,40329.28967798253,14937.862806228724,15824.171935582746,48729.271610620475,2.16588017176509e-05,13764.253336386479,0.0,13764.253336386479,96543.38398497153,48729.271610620475,886.309129354022
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,1,4.052465078961589,4.052465078961589,0.0,185510.6888011759,38052.431410037076,0.0,38052.431410037076,0.0,0.0,12502.023234324217,0.0,12502.023234324217,149163.8899730509,0.0,149163.8899730509,2.1368955886212335,1,36346.798828125,1.076124246387099,160518.87868541753,0,0,0.0,0.004643500821149795,0.0028209833102788317,-1,0.0,0.0,True,36517.50217321328,14542.978180286718,15459.224066764657,44357.81044711014,2.16588017176509e-05,12502.023234324217,0.0,12502.023234324217,93816.0960507445,44357.81044711014,916.2458864779388
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,119899.00962193316,30138.832405738875,0.0,30138.832405738875,0.0,0.0,9902.031723853619,0.0,9902.031723853619,83552.21079380816,0.0,83552.21079380816,1.7153477917164839,1,36346.798828125,1.1110201374772346,92828.18872266363,0,0,0.0,0.005775933677332381,0.0029524618484560883,-1,0.0,0.0,True,29158.99484586584,9397.209432374877,9991.584135161096,29745.705878303208,2.16588017176509e-05,9902.031723853619,0.0,9902.031723853619,61600.611335951005,29745.705878303208,594.374702786219
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,111920.58600889788,44302.535711352044,0.0,44302.535711352044,0.0,0.0,14555.478067472639,0.0,14555.478067472639,75573.7871807729,0.0,75573.7871807729,1.0329341198577027,1,36346.798828125,1.1933896472913466,90188.97522813386,0,0,0.0,0.005978262876591123,0.003951104566247221,-1,0.0,0.0,True,43429.525611521,8847.501218101024,9326.71550074149,34849.59272260095,2.16588017176509e-05,14555.478067472639,0.0,14555.478067472639,60317.07879994251,34849.59272260095,479.21428264046517
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,93183.89750288204,19497.64583723347,0.0,19497.64583723347,0.0,0.0,6405.8987097318895,0.0,6405.8987097318895,56837.09867475705,0.0,56837.09867475705,2.091824816865566,1,36346.798828125,1.105028490121093,62806.61333143036,0,0,0.0,0.006551783832808397,0.0021332407370200346,-1,0.0,0.0,True,18727.42116450512,7214.225369391121,7765.324791906837,17651.12165680405,2.16588017176509e-05,6405.8987097318895,0.0,6405.8987097318895,47191.55814251246,17651.12165680405,551.0994225157162
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,1,5.065581348701985,5.065581348701985,0.0,107344.88809052588,43908.954599984434,0.0,43908.954599984434,0.0,0.0,14426.168059765454,0.0,14426.168059765454,70998.08926240088,0.0,70998.08926240088,0.9945989106849035,1,36346.798828125,1.2061425151085512,85633.81395085363,0,0,0.0,0.006104348389754694,0.003925027507689475,-1,0.0,0.0,True,43075.50564241686,8477.462930333764,8945.407340877156,33258.50305786041,2.16588017176509e-05,14426.168059765454,0.0,14426.168059765454,58097.966474222856,33258.50305786041,467.94441054339177
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,22499.999450683594,205349.94354133017,68852.22914496087,0.0,68852.22914496087,0.0,0.0,22621.700649181385,0.0,22621.700649181385,169003.14471320517,0.0,169003.14471320517,1.2473419557483627,1,36346.798828125,1.12715363161867,190492.50831846485,0,0,0.0,0.004413495638762264,0.00454739119496889,-1,0.0,0.0,True,67217.19130406209,16413.52565663313,17112.495295110846,70933.96505257204,2.16588017176509e-05,22621.700649181385,0.0,22621.700649181385,108503.9748084913,70933.96505257204,698.9696384777169
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,173356.15172921692,70268.07795614684,0.0,70268.07795614684,0.0,0.0,23086.38661673885,0.0,23086.38661673885,137009.35290109192,0.0,137009.35290109192,1.0051049019291762,1,36346.798828125,1.165328663012585,159660.92603644886,0,0,0.0,0.004803528445287456,0.004887296161250501,-1,0.0,0.0,True,68920.34582909672,13872.971586615618,14446.345977434743,63053.4416602541,2.16588017176509e-05,23086.38661673885,0.0,23086.38661673885,93713.17621960353,63053.4416602541,573.3743908191236
