district,pop_q1,Asset risk,Well-being risk,Asset risk pc,Well-being risk pc
Ampara,127,3.875744731325597,33.40518207510357,30.467938709794023,262.6042504367046
Anuradhapura,165,4.44177885323209,43.32764731515516,26.8616063845367,262.0234474079778
Badulla,158,2.9653311089034773,37.64633849797643,18.650250877497214,236.77411790485354
Batticaloa,103,7.859330465449694,149.99091830554246,75.73688205740986,1445.3959582598466
Colombo,444,332.412037063419,1619.0473606113883,748.2587271938027,3644.4718669632116
Galle,206,5.437452619618816,61.205773774837674,26.333475922964997,296.418356682457
Gampaha,448,65.02275553216985,363.74083389258425,144.90641589186507,810.614378328142
Hambantota,116,14.551099455112723,145.25273146732644,124.39204028928124,1241.7126060163987
Kalutara,239,64.35707915178456,506.9165253631612,268.8306585891533,2117.4780639392197
Kandy,265,3.817599019665925,34.94720187511095,14.365424688630771,131.50448594237506
Kegalle,163,10.668323787161182,95.45224100411585,65.13956261385414,582.8204461700933
Kurunegala,315,23.123970141334702,234.4492774360777,73.32274716019049,743.404570506968
Mannar,19,4.442910923802348,94.06722719165859,233.77438693472305,4949.572193664262
Matale,94,1.536183467149226,14.705019591447417,16.289866430710383,155.9337215431628
Moneragala,87,0.4219054413413451,7.021833180887963,4.799391518998981,79.87696605437642
Mullaitivu,18,0.5142127767517772,12.973991910251879,28.517025074323186,719.5069227097734
Nuwara Eliya,139,0.018597950731789662,0.18629304093402407,0.13337448200941723,1.3359933142560618
Polonnaruwa,78,25.134803876855308,227.93764813022815,321.30711706998295,2913.8078399678693
Puttalam,150,36.99242010028715,368.2238249764755,246.55984924960077,2454.2652394782476
Rathnapura,213,98.34116874609724,1160.339124291496,460.150551545502,5429.370982981594
Trincomalee,74,13.635484725764867,142.174909085322,183.36921471956046,1911.9600040722428
Vavuniya,32,0.7370578705379215,7.379238365776012,22.96354446663758,229.90524233700197
Total,3663,720.3072478084965,5360.391141382857,196.63423228767448,1463.3149951695323
