region,hazard,rp,c,di0,dc_post_reco
ARMM,PF,200,243302.09000000003,35039.47668004021,56.23
ARMM,PF,200,98041.71899999998,17108.62376171742,73.91
ARMM,PF,200,116599.21000000006,13718.779422607358,9.72
ARMM,PF,200,21066.311000000005,6984.042127046371,5535.01
ARMM,PF,200,26179.943,2449.746451714026,0.63
ARMM,PF,200,23040.299000000006,4197.694010445044,27.58
ARMM,PF,200,18463.852,5399.266785212824,3785.98
ARMM,PF,200,25606.15,8719.930627606353,986.45
ARMM,PF,200,25441.725,8582.844850702626,983.68
ARMM,PF,200,32336.271000000004,3149.147219197702,0.79
ARMM,PF,200,28000.338000000003,1960.326609723291,0.34
ARMM,PF,200,24290.740000000005,8061.281290203797,1118.72
ARMM,PF,200,14660.443000000001,5244.327976898379,3644.03
ARMM,PF,200,25692.90800000001,3302.810810982809,3.52
ARMM,PF,200,28644.792999999998,8711.322916033327,439.15
ARMM,PF,200,21983.362999999998,7646.835918169272,6457.96
ARMM,PF,200,41782.488,9750.305583310645,159.23
ARMM,PF,200,75756.96100000001,8174.137953050118,3.38
ARMM,PF,200,17893.768,2936.1860587984247,2371.49
ARMM,PF,200,20441.686,4882.166482566674,857.44
ARMM,PF,200,20354.516,1369.5825525079294,0.34
ARMM,PF,200,29381.922000000013,7545.456204086982,211.18
ARMM,PF,200,14467.271000000002,872.9504629990104,0.52
ARMM,PF,200,9765.756799999996,836.3120372923752,2.03
ARMM,PF,200,14189.766,1789.549034371749,296.6
ARMM,PF,200,26386.826,3057.0128249531044,2.17
ARMM,PF,200,24692.9,8544.26955069018,1396.24
ARMM,PF,200,12662.072000000002,1119.6401127578793,5.55
ARMM,PF,200,16819.752,1800.924543556167,1297.33
ARMM,PF,200,14568.435,1229.3203890404995,10.14
ARMM,PF,200,19211.766,2437.57639582766,5.42
ARMM,PF,200,16270.782,6186.712992078416,4492.64
ARMM,PF,200,15593.18,4035.7415112192457,2552.68
ARMM,PF,200,16000.623000000005,4945.289700768853,3375.95
ARMM,PF,200,13540.621,4742.243842806668,3186.05
ARMM,PF,200,11936.804000000002,1107.2188919720759,6.67
ARMM,PF,200,21340.803,2687.1078476378875,11.66
ARMM,PF,200,217936.58,17825.614255337146,1.11
ARMM,PF,200,18579.625000000004,4050.13949610568,3059.18
ARMM,PF,200,28168.066000000006,10159.014423423165,1083.99
ARMM,PF,200,40491.922,14189.657982214934,1089.01
ARMM,PF,200,47652.734,15251.368009737627,1078.31
ARMM,PF,200,32448.801,5844.965257253514,33.01
ARMM,PF,200,27148.197000000004,2056.0788471413707,0.37
ARMM,PF,200,17948.328000000005,2236.747722857927,45.17
ARMM,PF,200,20872.678,1256.8032643176725,0.35
ARMM,PF,200,15453.293,3447.703283860688,2020.44
ARMM,PF,200,236120.69000000012,29989.585924550374,33.5
ARMM,PF,200,78659.79700000004,9696.505383350026,10.84
ARMM,PF,200,50589.066,4538.651024715221,1.09
ARMM,PF,200,140935.58000000002,16131.489096112951,6.66
ARMM,PF,200,24142.436000000005,7558.2083693803515,733.49
ARMM,PF,200,20699.721000000005,7637.618347760771,5801.67
ARMM,PF,200,18379.775000000005,5935.49533579903,4262.04
ARMM,PF,200,18344.682,8486.247198605348,6563.56
ARMM,PF,200,22801.006000000005,9028.533027705904,7271.69
ARMM,PF,200,15999.516000000005,7479.144944561457,5660.22
ARMM,PF,200,18754.285,6666.51321124146,4924.56
ARMM,PF,200,68036.977,13413.36506383115,118.16
ARMM,PF,200,22240.633,2410.159240446915,1.02
ARMM,PF,200,29673.543,4151.467411256578,6.66
ARMM,PF,200,30097.89600000001,11974.04210474,1961.39
ARMM,PF,200,62615.328,5285.134905837163,0.35
ARMM,PF,200,74621.10900000001,7169.267327932571,1.71
ARMM,PF,200,29568.061,3815.129051643946,4.28
ARMM,PF,200,44617.313,3549.2464052771834,0.35
ARMM,PF,200,64729.30900000003,4834.345862716536,0.35
ARMM,PF,200,111140.91000000002,8755.550981494982,0.61
ARMM,PF,200,49402.30100000001,5180.248346299196,1.24
ARMM,PF,200,25535.256000000005,5756.646217559517,99.85
ARMM,PF,200,17854.453,6118.8077118912215,4437.35
ARMM,PF,200,18049.627,4854.11171892126,3287.9
ARMM,PF,200,21050.871,6091.071752378142,5527.33
ARMM,PF,200,19140.492,8120.578858817967,6242.55
ARMM,PF,200,21132.137,9369.01584103888,7361.22
ARMM,PF,200,21142.006,4723.083220531885,165.86
ARMM,PF,200,27279.287,9647.013044434349,1010.29
ARMM,PF,200,23346.768,5998.635203658594,252.2
ARMM,PF,200,19313.26,7322.293311453008,5521.66
ARMM,PF,200,37827.422,7075.220108893966,52.14
ARMM,PF,200,39478.04700000001,5205.517121041556,8.36
ARMM,PF,200,31803.641,4882.304220637752,21.1
ARMM,PF,200,40550.086,4656.5852441533425,3.33
ARMM,PF,200,26021.85,3342.116957347846,5.39
ARMM,PF,200,39276.793,4357.177864403001,3.11
ARMM,PF,200,27355.366999999995,2283.3972932647466,0.37
ARMM,PF,200,59169.49600000002,7891.677491801976,8.81
ARMM,PF,200,52427.59800000001,3935.0181825153477,0.36
ARMM,PF,200,60632.23000000001,4508.079127309091,0.39
ARMM,PF,200,20574.484000000004,3564.9828196726203,325.26
ARMM,PF,200,29654.223000000005,10043.924189190484,798.47
ARMM,PF,200,49582.766,5501.650726092898,2.29
ARMM,PF,200,36033.031,3955.7771728586854,1.64
ARMM,PF,200,26691.49,4471.241830701662,19.22
ARMM,PF,200,74134.26600000003,12661.943723919328,54.7
ARMM,PF,200,40324.54299999998,5634.895413342934,9.04
ARMM,PF,200,24047.217000000004,5039.6557239397935,65.14
ARMM,PF,200,22369.799,4355.183251818163,41.72
ARMM,PF,200,37075.245999999985,3086.9804133925236,0.34
ARMM,PF,200,39071.258,3572.200302805249,0.44
ARMM,PF,200,26297.23000000001,3286.551800233762,2.01
ARMM,PF,200,33310.34,5007.775310706368,11.54
ARMM,PF,200,54972.60500000002,6001.487791192219,2.46
ARMM,PF,200,35898.86700000001,4183.029020357669,2.98
ARMM,PF,200,35811.52,3528.842940807792,0.88
ARMM,PF,200,19809.043000000005,2486.3534280748004,4.1
ARMM,PF,200,31539.020000000004,4260.498424514891,6.85
ARMM,PF,200,23157.06400000001,11408.405875581067,9195.52
ARMM,PF,200,31960.361,11297.462037528747,929.75
ARMM,PF,200,30421.029,2428.9686842546357,0.34
ARMM,PF,200,23679.551000000003,5324.666618246611,95.4
ARMM,PF,200,43158.81300000002,9831.919441188207,160.55
ARMM,PF,200,59057.16800000001,8803.776114410259,20.28
ARMM,PF,200,17095.063000000002,2303.9974643796104,1570.86
ARMM,PF,200,29049.367000000013,10519.261150500846,1082.96
ARMM,PF,200,22669.916,3742.1229053394045,18.11
ARMM,PF,200,52692.141,9812.60447639336,86.46
ARMM,PF,200,44630.92199999999,3299.303965527133,0.34
ARMM,PF,200,17699.43,3639.467974727775,2174.71
ARMM,PF,200,22091.178000000004,3604.7183243033423,14.19
ARMM,PF,200,26347.422,7389.560983375533,317.29
ARMM,PF,200,20448.898000000005,1749.9158823826874,0.34
ARMM,PF,200,23171.99200000001,6468.2170409295595,442.03
ARMM,PF,200,22442.207,3037.246968748381,4.79
ARMM,PF,200,21791.895,2125.7859544047656,0.43
ARMM,PF,200,28849.123,4059.6518211443145,6.51
ARMM,PF,200,22999.85,3632.1354796840883,12.23
ARMM,PF,200,19642.471000000005,2328.8641867016822,2.45
ARMM,PF,200,13303.599000000002,760.4255540205286,0.34
ARMM,PF,200,291517.56,24945.46694275791,3.16
ARMM,PF,200,14967.79,1062.6185721576478,2.81
ARMM,PF,200,31645.385,4991.516299957321,16.47
ARMM,PF,200,24289.865,1772.8814346702786,0.34
ARMM,PF,200,40385.16800000001,6936.2215071962355,29.96
ARMM,PF,200,27944.36500000001,2241.193050309764,0.34
ARMM,PF,200,12165.501000000002,982.7330421790876,7.41
ARMM,PF,200,19204.664,3069.8038394459772,51.66
ARMM,PF,200,17173.164000000004,6400.311760742364,4683.5
ARMM,PF,200,19130.064,2259.68368998515,2.9
ARMM,PF,200,15671.534,1752.509481220813,241.75
ARMM,PF,200,14494.194,2416.854127225934,1090.12
ARMM,PF,200,27029.578000000005,4103.009183141772,9.26
ARMM,PF,200,46976.99200000002,4004.817510382824,0.52
ARMM,PF,200,13565.215000000002,1493.5973599859522,62.41
ARMM,PF,200,26852.838000000003,4460.388615488465,17.98
ARMM,PF,200,35611.426,7481.057769355464,85.93
ARMM,PF,200,17086.484,2597.934874391787,1560.16
ARMM,PF,200,17601.883,1917.9688259013958,32.5
ARMM,PF,200,22220.525,2848.5149224065062,3.08
ARMM,PF,200,17064.188999999995,4256.751583311313,2751.02
ARMM,PF,200,15619.786999999995,1193.7114492239693,8.5
ARMM,PF,200,45293.41800000001,3260.409861382355,0.34
ARMM,PF,200,19939.238000000005,3610.456798685359,64.2
ARMM,PF,200,14487.589999999998,4325.267832309283,2812.39
ARMM,PF,200,14750.608,1184.0540871707346,5.97
ARMM,PF,200,10870.834000000004,3646.8171194288125,2200.69
ARMM,PF,200,14942.674999999996,5858.059924694003,4194.27
ARMM,PF,200,28330.016000000003,6314.897505258416,105.21
ARMM,PF,200,13812.413,2889.9756467773223,1517.64
ARMM,PF,200,10059.235999999997,1869.148627875696,405.04
ARMM,PF,200,12778.623999999998,4246.483992426075,2739.74
ARMM,PF,200,29874.576000000015,2473.3472073130433,0.36
ARMM,PF,200,18023.363,1654.2768009712142,0.76
ARMM,PF,200,14838.758,3962.757120466362,2482.72
ARMM,PF,200,52654.16,4757.514066823984,0.65
ARMM,PF,200,32443.621,5774.180444837901,32.6
ARMM,PF,200,15965.688999999997,1567.9136870987493,441.25
ARMM,PF,200,17331.016,1639.9284567273714,9.65
ARMM,PF,200,28648.33,2527.5957087446345,0.66
ARMM,PF,200,10255.123,966.6626907369052,4.11
ARMM,PF,200,13014.177,1983.956964717352,635.61
ARMM,PF,200,7873.442400000001,1061.6507824912853,15.1
ARMM,PF,200,8486.358400000001,1053.9664614970238,8.13
ARMM,PF,200,16986.866999999995,1362.5688615965762,8.55
ARMM,PF,200,9696.466800000002,1166.2157321232746,17.14
ARMM,PF,200,8711.3311,759.904493347011,9.86
ARMM,PF,200,10868.478000000001,2662.9709173879737,1311.16
ARMM,PF,200,12342.451000000005,953.867791323659,1.43
ARMM,PF,200,13108.972000000002,1807.624980220396,318.18
ARMM,PF,200,19434.691000000006,1898.556306443383,1.01
ARMM,PF,200,19066.564,3732.5587813693764,1397.51
ARMM,PF,200,28151.27000000001,4546.465731218711,14.51
ARMM,PF,200,15792.003999999999,4537.53921551335,3006.35
ARMM,PF,200,15584.365000000005,4416.393645226338,2897.74
ARMM,PF,200,15020.54,4328.4037047020865,2815.65
ARMM,PF,200,11591.718000000004,3578.322329992296,2136.19
ARMM,PF,200,16132.846,4284.727538572293,2775.42
ARMM,PF,200,11302.903,3090.5982565716813,1697.43
ARMM,PF,200,39007.621,5816.262590306021,13.41
ARMM,PF,200,21774.102000000006,2115.9030263024038,0.41
ARMM,PF,200,14438.618,2079.6148540741297,786.59
ARMM,PF,200,12669.295,1172.9095397589533,9.75
ARMM,PF,200,13252.528000000002,2150.971480859172,850.35
ARMM,PF,200,11165.503000000002,933.4834739615964,1.7
ARMM,PF,200,13535.723999999998,943.9790358417084,0.83
ARMM,PF,200,13442.678,1204.442011958789,9.06
ARMM,PF,200,10541.116000000002,1579.3556715838647,126.33
ARMM,PF,200,13617.342999999995,1480.8646192929543,57.28
ARMM,PF,200,115887.63000000006,11381.945132597324,2.72
ARMM,PF,200,31989.949000000004,4096.633100495087,4.57
ARMM,PF,200,86130.102,9596.3231873932,3.95
ARMM,PF,200,47048.687999999995,7791.5729942490225,33.65
ARMM,PF,200,26999.949,3143.1287898836326,2.25
ARMM,PF,200,30421.097999999994,3393.66998869807,1.41
ARMM,PF,200,13415.06,1268.8684181139724,15.83
ARMM,PF,200,62799.984000000004,4225.142245184117,0.35
ARMM,PF,200,29728.338,8493.2608895167,336.0
ARMM,PF,200,32550.324,2906.8560786236735,0.35
ARMM,PF,200,26072.53100000001,3516.1199124156337,5.04
ARMM,PF,200,22811.916,4008.981922878527,26.96
ARMM,PF,200,46237.68400000001,8776.10425607586,77.31
ARMM,PF,200,47098.539000000004,8465.206125871287,47.81
ARMM,PF,200,11640.143,2596.68588107191,1252.49
ARMM,PF,200,25029.734,1948.5774758678658,0.35
ARMM,PF,200,21517.90200000001,3591.9744838385463,20.12
ARMM,PF,200,20142.824,1746.4263032374213,0.35
ARMM,PF,200,71921.03900000003,9277.837859191284,10.37
ARMM,PF,200,57718.39099999999,7685.411218181717,8.56
ARMM,PF,200,15395.438000000006,2154.8204399674432,854.48
ARMM,PF,200,14412.153000000006,3187.4134273781124,1785.11
ARMM,PF,200,74586.55500000001,7205.29219488634,1.71
ARMM,PF,200,23192.082,3345.6308662782158,10.44
ARMM,PF,200,17391.084,2076.449012297765,1394.78
ARMM,PF,200,13815.746000000005,1861.4554416775686,407.54
ARMM,PF,200,17688.865,2952.5671670279817,2162.79
ARMM,PF,200,151353.05000000002,23720.033973532252,78.28
ARMM,PF,200,32430.111000000004,10145.642298501663,611.17
ARMM,PF,200,27489.965000000004,5876.5227871889565,69.99
ARMM,PF,200,20776.736000000004,1843.3759971142429,0.35
ARMM,PF,200,24272.645000000004,4091.5322343777393,18.72
ARMM,PF,200,22771.412,4469.703863891015,63.68
ARMM,PF,200,64823.219000000005,4915.0033081971005,0.35
ARMM,PF,200,21625.789,2669.509735012281,6.0
ARMM,PF,200,19905.674,3018.5409609348576,22.0
ARMM,PF,200,16976.408,944.4874240685724,0.36
ARMM,PF,200,21900.822,6455.817711668715,1843.18
ARMM,PF,200,34364.492,2677.9547116076833,0.34
ARMM,PF,200,16330.425000000005,1570.0456213892471,805.4
ARMM,PF,200,88954.83600000002,10844.900013786735,12.15
ARMM,PF,200,18499.889,1886.410670062182,1.76
ARMM,PF,200,10899.349999999997,3760.724542728136,2299.87
ARMM,PF,200,16323.756000000005,7249.287165148466,5448.11
ARMM,PF,200,46557.780999999995,3861.3556508324123,0.35
ARMM,PF,200,24813.604,3634.685912742761,8.42
ARMM,PF,200,21868.143000000004,1268.289169985686,0.34
ARMM,PF,200,135539.14,13203.273140622883,3.15
ARMM,PF,200,16666.902,2528.4799726297924,1141.5
ARMM,PF,200,15294.697999999995,2647.398292232806,1298.72
ARMM,PF,200,31865.129000000008,9413.329615433342,438.72
