,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,c,pov_line,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,ARMM,EQ,1,153829114,helped,a,0.9310153754994157,822.4791037502216,243302.09,22302.6775,155.77,147389,16851,164240.0,2.4107053776079423e-11,5372.168433964414,155.77,122893.56017273868,5372.168433964414,128265.7286067031,1.0,15573.959716184301,0,0.004054684583948998,0.0,-1,0.0,0.0,-6.701826593680238e-12,999850589.7500019,1000000000.22,0.0,0.0,1.0413098506705356,0.36,0.0,0.36,0.36,0.0,0.0,0.0
1,ARMM,EQ,1,153893114,helped,a,0.7499636399729919,0.0,98041.719,22302.6775,155.77,54827,6268,61095.0,2.4107053776079423e-11,1998.2643014710668,155.77,48456.329163489834,1998.2643014710668,50454.593464960904,1.0,15573.959716184301,0,0.006387406222212574,0.0,-1,0.0,0.0,-4.811082088274077e-14,999944421.220002,1000000000.09,0.0,0.0,0.3120086547123665,0.13,-0.0,0.13,0.13,0.0,0.0,0.0
2,ARMM,EQ,1,156627419,helped,a,1.628717189054237,0.0,116599.20999999999,22302.6775,155.77,44656,5105,49761.0,2.4107053776079423e-11,1627.4950955663364,155.77,47951.7973335182,1627.4950955663364,49579.29242908454,1.0,15573.959716184301,0,0.005857093968392721,0.0,-1,0.0,0.0,7.767207016451394e-13,999954731.770002,1000000000.11,0.0,0.0,0.5518726494084556,0.11,0.0,0.11,0.11,0.0,0.0,0.0
3,ARMM,EQ,1,156642019,helped,a,0.6874904727745614,0.0,21066.311,22302.6775,155.77,28408,3247,31655.0,2.4107053776079423e-11,1035.1570176893033,155.77,9056.58779135132,1035.1570176893033,10091.744809040623,1.0,15573.959716184301,0,0.013779572685382054,0.0,-1,9.653179190751457,9.653179190751457,-1.340779917646806e-12,999971202.6300025,1000000000.01,0.0,0.0,0.14816527028620805,0.07,-0.0,0.07,0.07,0.0,0.0,0.0
4,ARMM,EQ,1,157025015,helped,a,2.6924615309153936,1370.7984756648525,26179.942999999992,22302.6775,155.77,8566,979,9545.0,2.4107053776079423e-11,312.1092455552289,155.77,9969.151051118657,312.1092455552289,10281.260296673885,1.0,15573.959716184301,0,0.01236077346849235,0.0,-1,0.0,0.0,-3.9009073748985656e-13,999991316.7400022,1000000000.02,0.0,0.0,0.17495632337327116,0.02,0.0,0.02,0.02,0.0,0.0,0.0
5,ARMM,EQ,1,157260118,helped,a,2.324508889247561,0.0,23040.299,22302.6775,155.77,18647,2132,20779.0,2.4107053776079423e-11,679.690410136617,155.77,6786.648873679081,679.690410136617,7466.339283815698,1.0,15573.959716184301,0,0.013176071421869688,0.0,-1,0.038535645472061654,0.0,1.0434795388869489e-12,999981097.4500024,1000000000.02,0.0,0.0,0.3289393701958011,0.05,0.0,0.05,0.05,0.0,0.0,0.0
6,ARMM,EQ,1,157260240,helped,a,2.324508889247561,0.0,18463.852000000003,22302.6775,155.77,24661,2819,27480.0,2.4107053776079423e-11,898.7088490502452,155.77,7862.028707494892,898.7088490502452,8760.737556545137,1.0,15573.959716184301,0,0.014718679224862094,0.0,-1,9.653179190751457,9.653179190751457,-6.453639705972236e-13,999975000.9900017,1000000000.01,0.0,0.0,0.4349343736266076,0.06,-0.0,0.06,0.06,0.0,0.0,0.0
7,ARMM,EQ,1,157260362,helped,a,1.367358197352658,0.0,25606.150000000005,22302.6775,155.77,31195,3566,34761.0,2.4107053776079423e-11,1136.8555359039287,155.77,9945.094908166868,1136.8555359039287,11081.950444070797,1.0,15573.959716184301,0,0.012498498805629704,0.0,-1,0.019267822736030827,0.0,-1.707125760197492e-12,999968377.3800021,1000000000.02,0.0,0.0,0.32363917267433556,0.08,-0.0,0.08,0.08,0.0,0.0,0.0
8,ARMM,EQ,1,157260484,helped,a,1.6408297443192739,0.0,25441.725,22302.6775,155.77,25943,2966,28909.0,2.4107053776079423e-11,945.5730565033797,155.77,8922.192227312318,945.5730565033797,9867.765283815697,1.0,15573.959716184301,0,0.012538821464144605,0.0,-1,0.019267822736030827,0.0,-5.705071831618724e-13,999973701.3400023,1000000000.02,0.0,0.0,0.32302200741665715,0.06,-0.0,0.06,0.06,0.0,0.0,0.0
9,ARMM,EQ,1,157640114,helped,a,0.9211675381074722,0.0,32336.271000000004,22302.6775,155.77,13982,1598,15580.0,2.4107053776079423e-11,509.4490034701284,155.77,14454.649378297463,509.4490034701284,14964.098381767591,1.0,15573.959716184301,0,0.011122054727009103,0.0,-1,0.0,0.0,2.831901380062618e-13,999985826.4900023,1000000000.03,0.0,0.0,0.09770411266997153,0.03,0.0,0.03,0.03,0.0,0.0,0.0
