,region,hazard,rp,index,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcsoc,c,pov_line,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
36,ARMM,EQ,1,36,1536932011,helped,a,Lanao del Sur,0.6772972451333306,1,5597.426846692262,21340.802999999967,22302.6775,49382.59751539765,8904.215624864786,1018.0487773196065,9922.264402184393,0.0143360613781121,2838.7205561534597,324.55815712732084,3163.2787132807807,5442.285126688343,324.55815712732084,5766.843283815663,1.273698030541446,2,15573.959716184301,0,0,0.0,0.013690667317993583,0.005762875403929053,-1,8.689788053949885,8.689788053949885,False,0.38782140714483115,326.81907508573056,13351.512432119282,0.0,0.1335839214137456,0.05637547694917115,0.18995939836291675,0.6961993831190106,0.0,0.013250982492531099,1.2278929198390765e-06
37,ARMM,EQ,1,37,1536932025,helped,a,Lanao del Sur,0.6772972451333306,0,0.0,217936.58000000002,22302.6775,683606.5091261298,84703.07498528095,9684.386088222756,94387.46107350371,0.2140651072001907,27003.690326725373,3087.4223040457327,30091.112630771106,143116.69146690398,3087.4223040457327,146204.1137709497,1.3708239182621864,1,15573.959716184301,0,0,0.0,0.004284152581442262,0.0,-1,0.0,0.0,True,0.568211185121628,320680.2790382799,428162.0134434265,0.0,0.1859964479843239,0.5362826387561941,0.722279086740518,1.5220440638814001,0.0,0.02894256563836223,1.2278929198390765e-06
38,ARMM,EQ,1,38,1536932039,helped,a,Lanao del Sur,1.3545944902666611,1,1279.4118506725172,18579.624999999996,22302.6775,54265.96268579479,12594.132342641093,1439.9293068581517,14034.061649499245,0.014616374397035562,4015.065964227289,459.0554132955704,4474.12137752286,4015.065964227289,459.0554132955704,4474.12137752286,0.0,3,15573.959716184301,0,0,0.0,0.014672750190353188,0.5459115028754042,-1,8.689788053949885,8.689788053949885,False,12594.132342641093,0.0,11624.030255006654,0.0,4015.0630049791566,0.0797375364085655,4015.1427425155653,4015.1427425155653,4015.1427425155653,0.0,1.2278929198390765e-06
39,ARMM,EQ,1,39,1538132011,helped,a,Maguindanao,0.43439653552146545,0,47.97794665225337,28168.066000000006,22302.6775,88204.9045207025,33461.18964965496,3825.7298167134168,37286.919466368374,0.018498661856057703,10667.565703013612,1219.6584747625884,11887.2241777762,11374.447809053117,1219.6584747625884,12594.106283815705,0.3032140183729727,2,15573.959716184301,0,0,0.0,0.011916575827596705,0.9939227282650488,-1,4.508670520231221,4.12331406551061,True,5152.247346621602,0.18109430741526467,30263.911988638887,0.0,1652.1821628550929,0.2118536438536227,1652.3940164989465,3223.781348126532,3214.3274741466626,0.0010612605976376699,1.2278929198390765e-06
40,ARMM,EQ,1,40,1538132016,helped,a,Maguindanao,0.9821136463586007,0,119.94486271454308,40491.922000000006,22302.6775,126635.67702741614,52429.93064539254,5994.489468498712,58424.42011389125,0.024781361145251552,16714.878972458213,1911.0680137915288,18625.946986249743,23006.894270024175,1911.0680137915288,24917.962283815705,0.26022027453745716,2,15573.959716184301,0,0,0.0,0.009939071157044663,0.86098034377984,-1,0.11560693641618495,0.3660886319845858,True,6010.628884838248,0.1686888608892474,43504.72313773597,0.0,1925.8452598913716,0.3319508950672848,1926.177210786439,3498.1265461077,3489.327575774546,0.000848139749564325,1.2278929198390765e-06
41,ARMM,EQ,1,41,1538133013,helped,a,Maguindanao,0.49179119369943797,0,2398.897298396605,47652.73400000001,22302.6775,141948.71431013112,45013.612837753106,5146.557029037421,50160.16986679053,0.03334706281297656,14350.534278149153,1640.743648151008,15991.277926300161,30438.0306356647,1640.743648151008,32078.77428381571,0.4360565591514718,2,15573.959716184301,0,0,0.0,0.009161911330655163,0.24939445455822165,-1,0.0,0.0,True,1029.1755455534815,0.09960750575705646,51198.339481470735,0.0,330.8766715338535,0.28499578175614987,331.16166731560963,783.7268752780542,783.7268752780542,0.0,1.2278929198390765e-06
42,ARMM,EQ,1,42,1538226014,helped,a,Maguindanao,0.9180367744754392,0,254.28310028703584,32448.801,22302.6775,100985.25908051543,24728.247433264354,2827.2633014852177,27555.510734749572,0.02667725526401427,7883.468367491449,901.3432237104606,8784.81159120191,15973.498060105238,901.3432237104606,16874.8412838157,0.5992206868479911,2,15573.959716184301,0,0,0.0,0.01110275275361472,0.06294442983415827,-1,0.0,0.0,True,152.12421801265708,0.09966455257996643,34863.16060137557,0.0,49.06132680441339,0.1565625544011424,49.21788935881453,141.4324244529438,141.4324244529438,0.0,1.2278929198390765e-06
43,ARMM,EQ,1,43,1538291346,helped,a,Maguindanao,0.9376180350922879,0,2741.5970125007393,27148.196999999993,22302.6775,76556.72405748596,6838.296138429398,781.8452872184517,7620.141425647849,0.02504487422779519,2180.086774690631,249.25550841130064,2429.3422831019316,11324.981775404392,249.25550841130064,11574.237283815693,2.3247082370596543,2,15573.959716184301,0,0,0.0,0.012138345634104979,0.0,-1,0.0,0.0,True,1.3588426934566053e-05,21011.84369645758,29168.166814100186,0.0,0.003370918060055224,0.0432954706585384,0.046666388718593625,0.04669942495651249,0.0,0.0008799419174393855,1.2278929198390765e-06
44,ARMM,EQ,1,44,1538291587,helped,a,Maguindanao,1.7412906099828365,1,442.87337032751236,17948.328,22302.6775,54909.74819397578,7412.956795140804,847.5481636520639,8260.504958792868,0.016947814716701596,2363.2828272624283,270.2018569245827,2633.484684187011,2363.2828272624283,270.2018569245827,2633.484684187011,0.006535560669178596,3,15573.959716184301,0,0,0.0,0.01492856271356849,0.5057101395760532,-1,8.689788053949885,8.689788053949885,False,7297.055623029992,0.0,0.016947814716701596,0.0,2326.6249944170827,0.046933833650957664,2326.671928250734,2374.368283815701,2374.368283815701,0.0,1.2278929198390765e-06
45,ARMM,EQ,1,45,1538517014,helped,a,Maguindanao,1.5140504036495732,1,1911.12150870275,20872.67799999999,22302.6775,59477.13523178907,11252.900558440097,1286.581787488218,12539.482345928314,0.017052594837089704,3587.477965806686,410.1675904372292,3997.645556243915,4888.550693378458,410.1675904372292,5298.718283815688,0.9356609345014224,2,15573.959716184301,0,0,0.0,0.013843340747380603,0.5318316427409604,-1,8.689788053949885,8.689788053949885,False,17.5204166261587,0.0,0.017052594837089704,0.0,5.689538739710755,0.07124576299254749,5.760784502703302,22.452172484351554,22.452172484351554,0.0,1.2278929198390765e-06
