,,,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
Lilongwe,FF,1,296963.0837961015,431898.5150581139,559861.7769826672,745739.1981753731,1233707.0966200407,193508.33268895684,267318.0861653941,349717.6425045412,461319.1507055564,692474.218077042,48523.06116110455,67031.205289961,87725.06024590599,118354.7717768236,221545.1396889852,2996307.034104033,2313194.2059528916,2120178.9884943548,1815269.634855915,1166917.1976302853,0,0,0,0,0,0,0,0,0,0
Lilongwe,FF,10,296963.0837961016,431898.515058114,559861.776982667,745739.198175373,1233707.0966200405,193483.41995045415,272906.7820749315,353870.5881232322,459500.5519156161,687532.2741825244,48517.049152156746,68433.16118585416,88860.04594108729,118827.52872032033,220005.2887361594,2991164.252724894,2399946.6313269734,2181361.3888230296,1828783.326537121,1131314.0569023467,0,0,0,0,0,0,0,0,0,0
Lilongwe,FF,20,296963.08379610174,431898.515058114,559861.7769826669,745739.1981753731,1233707.0966200405,196332.1516366151,271092.07992663194,351580.89853296493,450807.7157506989,682234.4965562881,49231.64041591736,67978.74320030173,88167.13024080274,116553.48675520916,221092.14156821335,3035867.519133911,2383234.9528246177,2157549.2401938927,1737503.8703528407,1153540.7872864355,0,0,0,0,0,0,0,0,0,0
Lilongwe,FF,50,296963.0837961016,431898.515058114,559861.7769826669,745739.1981753733,1233707.096620041,197069.40701583505,282751.1726414311,349907.51504737773,452288.1961236877,703446.1444166742,49417.06259092289,70903.64207642087,87798.43683568547,118093.39247168392,222147.7224468733,3049686.2264406485,2574211.7359682103,2118416.0607209657,1760170.9416234284,1202528.6872636776,0,0,0,0,0,0,0,0,0,0
Lilongwe,FF,100,296963.0837961015,431898.515058114,559861.7769826672,745739.1981753731,1233707.096620041,190818.96327230392,273227.52092032816,348755.5690578318,450456.6921863523,699929.7778525907,47849.95422877451,68516.06917855819,87492.14101325092,117210.64006134743,221008.68279777453,2905969.5484712366,2435670.4895995497,2110738.5135308965,1760897.6101696151,1177532.0510132592,0,0,0,0,0,0,0,0,0,0
Lilongwe,FF,250,296963.0837961016,431898.51505811396,559861.7769826672,745739.1981753733,1233707.096620041,191007.89999988256,271082.227003339,353583.2427714426,451727.7199479951,704966.4604176196,47897.56102290551,67978.68255374841,88783.65245259575,117561.76424921895,223897.9686656937,2910671.2323229806,2406441.9358760556,2223510.0585922217,1753245.8720176963,1221180.9228504358,0,0,0,0,0,0,0,0,0,0
Lilongwe,FF,500,296963.0837961016,431898.51505811396,559861.7769826669,745739.1981753731,1233707.0966200407,198263.00595897957,272132.4905066772,358576.04307388945,449767.5757790141,696019.3719106545,49716.873762633055,68242.1951783294,89946.1271879004,117257.34329008742,221020.3084275352,3104264.22254578,2364847.5666589523,2231178.0590188485,1749135.6284173445,1183360.0018961984,0,0,0,0,0,0,0,0,0,0
Lilongwe,FF,1000,296963.08379610156,431898.5150581139,559861.776982667,745739.1981753731,1233707.0966200407,194067.5315041839,277182.666140168,346342.439948051,445377.5482081112,697850.5417909159,48664.97221063356,69508.86527853736,86850.44541636617,116463.37251490685,220810.4321467093,2986950.4926114986,2518465.377000922,2061293.7474219124,1711310.793250741,1202373.2504329402,0,0,0,0,0,0,0,0,0,0
Lilongwe,FF,1500,296963.0837961016,431898.51505811396,559861.776982667,745739.1981753733,1233707.096620041,190208.50768030566,276421.23091007455,352442.1674838507,449477.0708435332,700934.3894248413,47697.435440024165,69318.24530364787,88470.87642305066,116983.11112223532,221554.81057991032,2883681.6439800393,2471122.159009781,2170542.141545454,1753506.3935297497,1211687.6284971742,0,0,0,0,0,0,0,0,0,0
