district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_npv_pre,dc_post_reco,dc_t,di0,di0_prv,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,has_ew,help_received,hh_reco_rate,integ,ispoor,macro_multiplier,pc_fee,pc_fee_BE,pcsoc,pcwgt,pcwgt_ae,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Ampara,PF,50.0,52209019031,a,helped,3103,93757.01793542995,36346.798828125,0.006531728176015094,74982.77261350956,74982.77261350956,0.0,74982.70562235302,422353.96688017226,0.0,74982.70562235302,74982.77261350956,74982.77261350956,0.0,74982.70562235302,0.0,74982.70562235302,222425.28931814732,222425.28931814732,222425.28931814732,0.0,0.05545402319549671,2801854.2750872574,0.0,0.0,0.0,9.143798208066357,0.0,5.632680043150034,0.0,0.0,2083.333251953125,2.2314444064500427,2.2314444064500427,43493.30859375,0.0,5.684341886080802e-14,7813.084827952495,0.0,3.2157237246035e-05,0.0,3.0,3.483327605680391e-08,2601500.223304248,5805103.121670801
Batticaloa,PF,5.0,51205072101,a,helped,22070,113483.0030347404,36346.798828125,0.0059369663278522255,93347.70799825486,93347.70799825486,0.0,93347.70799825486,525797.771915567,0.0,93347.70799825486,93347.70799825486,93347.70799825486,0.0,93347.70799825486,0.0,93347.70799825486,276902.39752248203,276902.39752248203,276902.39752248203,0.0,0.05545402319549671,2836401.5140909706,0.0,0.0,0.0,10.183857529454155,0.0,5.632680043150034,0.0,0.0,0.0,8.216479698399173,8.216479698399173,43493.30859375,0.0,-6.927791673660977e-14,9456.9169195617,0.0,5.2556894144040184e-05,0.0,3.0,2.615795391859145e-08,2601500.223304248,21375173.77016027
Batticaloa,PF,5.0,51207002061,a,helped,22145,76108.30500417402,36346.798828125,0.007249598762321236,57724.81470479877,57724.81470479877,0.0,57724.81470479877,325145.4117822537,0.0,57724.81470479877,57724.81470479877,57724.81470479877,0.0,57724.81470479877,0.0,57724.81470479877,171232.26623409576,171232.26623409576,171232.26623409576,0.0,0.05545402319549671,2604534.0662835645,0.0,0.0,0.0,7.658174601233183,0.0,5.632680043150034,0.0,0.0,0.0,9.1294472831148,9.1294472831148,43493.30859375,0.0,-5.684341886080802e-14,6342.358750347835,0.0,5.2556894144040184e-05,0.0,3.0,4.7626857291879286e-08,2601500.223304248,23750259.145667512
Batticaloa,PF,250.0,51207002021,a,helped,25966,57487.555845313334,36346.798828125,0.008341479242934012,46794.97097763041,46794.97097763041,0.0,46794.97097763041,263581.09914548387,0.0,46794.97097763041,46794.97097763041,46794.97097763041,0.0,46794.97097763041,0.0,46794.97097763041,138810.4746604284,138810.4746604284,138810.4746604284,0.0,0.05545402319549671,3104541.415562522,0.0,0.0,0.0,7.933477176050016,0.0,5.632680043150034,0.0,0.0,0.0,29.19519291501693,29.19519291501693,43493.30859375,0.0,0.0,4790.629653776111,0.0,8.413759706876743e-05,0.0,3.0,7.255030345505679e-08,2601500.223304248,75951300.88782714
Batticaloa,PF,500.0,51207002061,a,helped,26735,76108.30500417402,36346.798828125,0.007249598762321236,60080.208210170036,60080.208210170036,0.0,60080.208210170036,338412.5897737236,0.0,60080.208210170036,60080.208210170036,60080.208210170036,0.0,60080.208210170036,0.0,60080.208210170036,178219.19845484593,178219.19845484593,178219.19845484593,0.0,0.05545402319549671,2969116.0751532926,0.0,0.0,0.0,8.730163912694447,0.0,5.632680043150034,0.0,0.0,0.0,15.654586370180715,15.654586370180715,43493.30859375,0.0,0.0,6342.358750347835,0.0,9.034052325683766e-05,0.0,3.0,4.7626857291879286e-08,2601500.223304248,40725409.93776076
Batticaloa,PF,500.0,51210023071,a,helped,26850,68320.37859204998,36346.798828125,0.007651645896697878,55683.653163156174,55683.653163156174,0.0,55683.638107095205,313648.2019017981,0.0,55683.638107095205,55683.653163156174,55683.653163156174,0.0,55683.638107095205,0.0,55683.638107095205,165177.41276224123,165177.41276224123,165177.41276224123,0.0,0.05545402319549671,3524388.497331385,0.0,0.0,0.0,9.818340828033676,0.0,5.632680043150034,0.0,0.0,166.6666717529297,8.805719207789314,8.805719207789314,43493.30859375,0.0,4.973799150320701e-14,5693.364882670831,0.0,9.034052325683766e-05,0.0,3.0,5.5998269142995155e-08,2601500.223304248,22908080.485418405
Batticaloa,PF,1000.0,51210023071,a,helped,27615,68320.37859204998,36346.798828125,0.007651645896697878,56465.1208059837,56465.1208059837,0.0,56465.10250028358,318049.95909792016,0.0,56465.10250028358,56465.1208059837,56465.1208059837,0.0,56465.10250028358,0.0,56465.10250028358,167495.51321324447,167495.51321324447,167495.51321324447,0.0,0.05545402319549671,3726558.29001506,0.0,0.0,0.0,10.38155113563859,0.0,5.632680043150034,0.0,0.0,166.6666717529297,10.855099819652626,10.855099819652626,43493.30859375,0.0,1.1368683772161603e-13,5693.364882670831,0.0,0.00010983925551172552,0.0,3.0,5.5998269142995155e-08,2601500.223304248,28239544.60481621
Colombo,PF,50.0,11210093091,a,helped,36703,31215.252803982043,36346.798828125,0.01132000366356556,26133.715479926963,26133.715479926963,0.0,26133.715479926963,147202.85763714573,0.0,26133.715479926963,26133.715479926963,26133.715479926963,0.0,26133.715479926963,0.0,26133.715479926963,77521.86558985963,77521.86558985963,77521.86558985963,0.0,0.05545402319549671,4726141.349619397,0.0,0.0,0.0,8.899576308273494,1.0,5.632680043150034,0.0,0.0,0.0,44.945037862185046,44.945037862185046,43493.30859375,0.0,2.842170943040401e-14,2601.2710669985036,0.0,0.003854191451129537,0.0,3.0,1.8132167204683824e-07,2601500.223304248,116924526.03489228
Colombo,PF,100.0,11106289031,a,helped,37616,22414.840412015325,36346.798828125,0.013358637656737797,14727.255935352967,14727.255935352967,0.0,14727.255935352967,82953.92059742555,0.0,14727.255935352967,14727.255935352967,14727.255935352967,0.0,14727.255935352967,0.0,14727.255935352967,43686.26252186801,43686.26252186801,43686.26252186801,0.0,0.05545402319549671,2658728.905108488,0.0,0.0,0.0,4.242492461429571,1.0,5.632680043150034,0.0,0.0,0.0,298.95745744275746,298.95745744275746,43493.30859375,0.0,-2.842170943040401e-14,1867.9033676679437,0.0,0.004259172706998194,0.0,3.0,2.979864547591646e-07,2601500.223304248,777737892.2958038
Colombo,PF,250.0,11210093091,a,helped,41369,31215.252803982043,36346.798828125,0.01132000366356556,21967.816499091983,21967.816499091983,0.0,21967.816499091983,123737.68158601747,0.0,21967.816499091983,21967.816499091983,21967.816499091983,0.0,21967.816499091983,0.0,21967.816499091983,65164.33223026996,65164.33223026996,65164.33223026996,0.0,0.05545402319549671,2669732.397673519,0.0,0.0,0.0,5.027248539165852,1.0,5.632680043150034,0.0,0.0,0.0,52.5063897421718,52.5063897421718,43493.30859375,0.0,-7.105427357601002e-15,2601.2710669985036,0.0,0.004548116118242512,0.0,3.0,1.8132167204683824e-07,2601500.223304248,136595384.6391598
