province,ispoor,avg_savings,c_mean
Abra,1,0.0,17534.036656819477
Abra,0,58356.3684957188,52635.353073004255
Agusan del Norte,1,0.0,16359.39727665904
Agusan del Norte,0,33378.808328278,55061.01100347974
Agusan del Sur,1,0.0,15323.884631174464
Agusan del Sur,0,52396.17701386,61334.39001096247
Aklan,1,0.0,19866.518854008867
Aklan,0,89996.5031017329,69914.61999268917
Albay,1,4169.29002306628,16705.389959155113
Albay,0,54652.6250018601,63957.07000455553
Antique,1,15005.029438462,18153.25346208178
Antique,0,156363.723049295,108012.82451085381
Apayao,1,0.0,17461.604893748023
Apayao,0,69694.3808639222,56229.931672022976
Aurora,1,0.0,15527.09091462637
Aurora,0,145027.693664971,115349.42034270658
Basilan,1,15298.6009920532,17772.65840519482
Basilan,0,19842.766362337,61055.762520484815
Bataan,1,0.0,19677.241148283083
Bataan,0,59466.0287315985,77420.15766018388
Batanes,0,142455.2,79938.28822791047
Batangas,1,0.0,17392.600489452303
Batangas,0,64466.5672187575,70895.78363803047
Benguet,1,0.0,19435.030855273675
Benguet,0,108498.617535282,84522.70602488182
Biliran,1,1057.01980312626,17367.04568775981
Biliran,0,71052.2370207363,93787.7250506115
Bohol,1,0.0,16335.254829523683
Bohol,0,40550.7794590478,66971.57343078034
Bukidnon,1,10933.6154690989,14664.227547747296
Bukidnon,0,73090.420405052,50150.498924184365
Bulacan,1,0.0,17053.94669269588
Bulacan,0,65969.6706598702,72318.38022365536
Cagayan,1,4666.93238826041,17957.584603141928
Cagayan,0,97482.8833010379,67973.90037283614
Camarines Norte,1,0.0,16640.777012962986
Camarines Norte,0,37603.7725333112,54124.91119880996
Camarines Sur,1,375.911167955876,17743.642986152558
Camarines Sur,0,32703.242109561,51119.90477282822
Camiguin,1,1552.3668149079,16738.30948526892
Camiguin,0,24333.9423647924,65413.06495679383
Capiz,1,17617.4554039692,17757.375691470075
Capiz,0,28384.8606928628,61623.315129752096
Catanduanes,1,0.0,16047.510435491144
Catanduanes,0,47574.3178710261,63122.63493940027
Cavite,1,0.0,18297.8539237734
Cavite,0,25065.8716324568,76756.41425975478
Cebu,1,0.0,16815.507862250808
Cebu,0,71043.4683647193,72468.76507713151
Compostela Valley,1,3845.5543787249,17210.68220891016
Compostela Valley,0,25000.0251853667,46828.09334788237
Cotabato,1,0.0,14828.186921927787
Cotabato,0,29828.6533640129,49051.10856756978
Cotabato,1,0.0,14828.186921927787
Cotabato,0,29828.6533640129,49051.10856756978
Davao,1,10416.632852126371,16963.149797537048
Davao,0,54514.8201780525,58066.76681676445
Davao del Sur,1,9904.9853675397,16559.149778182084
Davao del Sur,0,81331.4958630914,77576.64335179688
Davao,1,10416.632852126371,16963.149797537048
Davao,0,54514.8201780525,58066.76681676445
Eastern Samar,1,2713.66393064323,15322.676394736514
Eastern Samar,0,64460.9401590296,59063.408781236365
Guimaras,1,0.0,21113.212444474928
Guimaras,0,66374.4237288136,55520.19325122091
Ifugao,1,0.0,16014.21002350424
Ifugao,0,61903.7357234901,50630.06338277674
Ilocos Norte,1,7059.81107410039,20246.6688725963
Ilocos Norte,0,64556.5027618773,68425.19716742316
Ilocos Sur,1,13225.039264361,19102.756392962747
Ilocos Sur,0,90394.1016014994,61347.791207195856
Iloilo,1,4414.41404045019,16252.834893945836
Iloilo,0,79488.0587789808,60591.29247781526
Isabela,1,8660.66031179861,18605.814592555995
Isabela,0,56253.32999053034,64184.45176312107
Isabela,1,8660.66031179861,18605.814592555995
Isabela,0,56253.32999053034,64184.45176312107
Kalinga,1,0.0,16343.816547591365
Kalinga,0,60068.170970678,59322.57174455322
La Union,1,0.0,15803.228526221592
La Union,0,53842.1523044598,65730.54080261095
Laguna,1,0.0,18506.776816925263
Laguna,0,57273.0473162969,84603.64909955145
Lanao del Norte,1,1663.27260578408,14613.508697068664
Lanao del Norte,0,75143.219440944,65952.21733644098
Lanao del Sur,1,9068.35363117985,14494.699170461108
Lanao del Sur,0,63897.3779220945,32524.09728174813
Leyte,1,6238.90323878478,17343.889940292618
Leyte,0,43791.6829992044,59109.12678674273
Maguindanao,1,0.0,15027.589033734399
Maguindanao,0,40771.049892329,37947.583467301185
Manila,1,0.0,17592.517015058027
Manila,0,37478.5862122045,80233.37673145902
Marinduque,1,0.0,17507.91675132514
Marinduque,0,34889.9340920583,66049.44016389921
Masbate,1,0.0,16982.212867876133
Masbate,0,24215.191604339,50620.8219067377
Misamis Occidental,1,9721.5682957471,17133.294749028217
Misamis Occidental,0,65056.6423575498,63184.73653198939
Misamis Oriental,1,14140.9351043342,16561.70828613206
Misamis Oriental,0,96918.0864880296,73001.38208008687
Mountain Province,1,9780.16931686532,16512.14818635674
Mountain Province,0,63063.4143037643,45527.44432526198
NCR-2nd Dist.,1,0.0,18545.56574429699
NCR-2nd Dist.,0,84612.9883924169,88138.07211237102
NCR-3rd Dist.,1,0.0,19123.987874170954
NCR-3rd Dist.,0,57285.595074487,74105.75750359074
NCR-4th Dist.,1,0.0,17781.467662755258
NCR-4th Dist.,0,105494.784665224,114826.56350903804
Negros Occidental,1,0.0,16886.55048916151
Negros Occidental,0,27730.2774350853,62180.55851141017
Negros Oriental,1,0.0,14442.021384915035
Negros Oriental,0,64107.7019320116,53858.59840857247
Northern Samar,1,2360.04009358102,14460.256976235749
Northern Samar,0,85086.1600602531,69324.75457901269
Nueva Ecija,1,0.0,17522.284936791977
Nueva Ecija,0,55702.8526722938,54481.060012997485
Nueva Vizcaya,1,6064.9277339293,17877.385563827498
Nueva Vizcaya,0,64526.8825472566,56673.356601090876
Occidental Mindoro,1,4983.58165170079,15162.266051419807
Occidental Mindoro,0,90773.2804829322,69976.85694784751
Oriental Mindoro,1,12518.9171328326,15294.505093988057
Oriental Mindoro,0,75567.9157496468,66146.73590941384
Palawan,1,1835.69347577075,17352.326756738097
Palawan,0,74157.6368041819,72866.80120951244
Pampanga,1,0.0,19494.447548724813
Pampanga,0,94379.9119729491,69271.39520580987
Pangasinan,1,1970.80360462821,17743.328254444914
Pangasinan,0,57140.3577529035,61107.20878079442
Quezon,1,0.0,17021.07457642077
Quezon,0,17065.5779475155,58071.21464009054
Quirino,1,10147.5404260883,17807.23567978867
Quirino,0,58144.2065032707,55161.79531554437
Rizal,1,0.0,18231.605220042835
Rizal,0,64413.5256895211,87452.65625106098
Romblon,1,9496.68073351069,18588.7804984202
Romblon,0,83703.6699697943,87890.65884984858
Samar (Western),1,0.0,15773.18835683089
Samar (Western),0,83665.5211677869,69852.13395603716
Sarangani,1,0.0,14649.74521250462
Sarangani,0,29140.1195091718,45611.71355666102
Siquijor,1,0.0,15782.738613085967
Siquijor,0,22273.2977045294,47535.756211001724
Sorsogon,1,2989.66312603358,17158.515304271034
Sorsogon,0,24841.9948228746,51886.79991133833
South Cotabato,1,0.0,15508.334116050233
South Cotabato,0,55392.0890531672,65547.66352746221
Southern Leyte,1,0.0,15572.254621891763
Southern Leyte,0,58490.3646831081,52188.57597614388
Sultan Kudarat,1,0.0,12908.757342606594
Sultan Kudarat,0,50782.428054094,56919.74907697707
Sulu,1,10953.8735408688,18351.985185621994
Sulu,0,38805.0499265029,34156.031026150435
Surigao del Norte,1,3747.28213076789,16659.660978423417
Surigao del Norte,0,54307.3323381831,58772.60657765979
Surigao del Sur,1,10796.6080433373,16326.878433338907
Surigao del Sur,0,87270.1013429414,64835.69065578775
Tarlac,1,0.0,17761.635218290023
Tarlac,0,53765.7690955177,58154.313720328115
Tawi-tawi,1,8506.74073078654,19837.437017353484
Tawi-tawi,0,69910.6367961108,37654.771636393416
Zambales,1,0.0,17445.85647129584
Zambales,0,26273.9504622666,64616.6934985433
Zamboanga del Norte,1,15996.1142834797,14612.293280216742
Zamboanga del Norte,0,48659.4723038924,61714.30183975798
Zamboanga del Sur,1,11942.2428528746,16729.41269455841
Zamboanga del Sur,0,63888.3267591501,79613.44074521349
Zamboanga Sibugay,1,12004.9223028784,17064.995359032495
Zamboanga Sibugay,0,56144.4322040196,53836.619247557486
