region,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_net_t0,dc_pre_reco,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,help_fee,hh_reco_rate,index_x,index_y,integ,intermed_sf_num,k,optimal_hh_reco_rate,pc_fee,pcexp,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,sub_savings_q1,sub_savings_q3,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
ARMM,HU,1,15726013282,a,helped,23243,14867.814999999997,15573.959716184301,0.01640236308973126,13299.171101272219,13299.171101272219,0.0,9417.21,0.0,0.0,9417.21,0.0,8292.85,0.0,8292.85,45558.0,45558.0,32103.039999999986,0.0,0.08400922942424936,1157910.803500702,,0.035,35861.0,9994.0,5.23190321129895,0.9497105372749995,57594.72100094817,0.035,,10813.55686383263,0.0,2.956325e-05,22302.6775,0.0,0.0800000000073453,1096.74,0.0,2.004813058258372e-12,1538.5808249715756,9071.979577145335,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.516063755747318e-07,1133537.7415138707,33.51105963680993
ARMM,HU,1,157316024194,a,helped,59543,16787.245999999996,15573.959716184301,0.015436195431197853,15427.322166679447,15427.322166679447,0.0,11590.31,0.0,0.0,11590.31,0.0,10434.4,0.0,10434.4,53802.0,53802.0,40398.36,0.0,0.08400922942424936,1278747.6400007533,,0.028597093509006646,36443.0,10217.0,6.13953660891059,0.8548017806464299,65030.18431049104,0.025,,13160.351009551365,0.0,2.1147660999999997e-05,22302.6775,0.0,0.08000000001160856,1862.44,0.0,2.004813058258372e-12,1538.5808249715756,9071.979577145335,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.597596124819359e-07,1133537.7415138707,23.971671888240962
ARMM,HU,10,15726013282,a,helped,23244,14867.814999999997,15573.959716184301,0.01640236308973126,13872.253993703569,13872.253993703569,0.0,10052.93,0.0,0.0,10052.93,0.0,8937.95,0.0,8937.95,47778.0,47778.0,34602.230000000054,0.0,0.08400922942424936,1374535.2644501468,,0.03220270469612741,39086.0,9994.0,6.210698995448153,1.0235893946575016,57594.72100094817,0.025,,10813.55686383263,0.0,2.956325e-05,22302.6775,0.0,0.0800000000027552,1096.74,0.0,1.8890553538470726e-12,1538.5808249715756,9071.979577145335,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.516063755747318e-07,1133537.7415138707,33.51105963680993
ARMM,SS,1,157316024194,a,helped,59565,16787.245999999996,15573.959716184301,0.015436195431197853,15206.607809459265,15206.607809459265,0.0,11142.02,0.0,0.0,11142.02,0.0,9811.72,0.0,9811.72,52947.0,52947.0,37982.89000000001,0.0,0.08400922942424936,1215656.9889878286,,0.035,107393.0,10217.0,5.836625112179597,0.8037910845951101,65030.18431049104,0.035,,13160.351009551365,0.0,2.1147660999999997e-05,22302.6775,0.0,0.08000000000104279,1862.44,0.0,1.9481110128466796e-12,1538.5808249715756,9071.979577145335,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.597596124819359e-07,1133537.7415138707,23.971671888240962
ARMM,SS,25,157316024194,a,helped,59567,16787.245999999996,15573.959716184301,0.015436195431197853,15186.988755484139,15186.988755484139,0.0,11123.01,0.0,0.0,11123.01,0.0,9794.98,0.0,9794.98,52871.0,52871.0,37918.069999999985,0.0,0.08400922942424936,1209149.5645759802,,0.035,113843.0,10217.0,5.805381597699884,0.8024194473026496,65030.18431049104,0.035,,13160.351009551365,0.0,2.1147660999999997e-05,22302.6775,0.0,0.0800000000074661,1862.44,0.0,1.908372479905315e-12,1538.5808249715756,9071.979577145335,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.597596124819359e-07,1133537.7415138707,23.971671888240962
ARMM,SS,30,157316024194,a,helped,59568,16787.245999999996,15573.959716184301,0.015436195431197853,15309.349697381642,15309.349697381642,0.0,11473.51,0.0,0.0,11473.51,0.0,10320.43,0.0,10320.43,53345.0,53345.0,39956.92000000005,0.0,0.08400922942424936,1237781.358616874,,0.028842081262940772,117068.0,10217.0,5.942848868171446,0.845465088314931,65030.18431049104,0.025,,13160.351009551365,0.0,2.1147660999999997e-05,22302.6775,0.0,0.07999999998737906,1862.44,0.0,1.9025797504718278e-12,1538.5808249715756,9071.979577145335,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.597596124819359e-07,1133537.7415138707,23.971671888240962
ARMM,SS,100,15386330128005,a,helped,126582,21142.012000000002,15573.959716184301,0.013754881022598532,19094.536387346,19094.536387346,0.0,15072.61,0.0,0.0,15072.61,0.0,13741.79,0.0,13741.79,68008.0,68008.0,53207.110000000044,0.0,0.08400922942424936,1155693.1332606385,,0.025,124535.0,9598.0,6.226969107532738,0.6225336420727506,81899.61218502508,0.025,,16721.657082125614,0.0,1.1694561000000001e-05,22302.6775,0.0,0.07999999999884722,4114.17,0.0,1.8737861840516606e-12,1538.5808249715756,9071.979577145335,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.252973516096418e-07,1133537.7415138707,13.256226263936194
ARMM,SS,100,15726013282,a,helped,23270,14867.814999999997,15573.959716184301,0.01640236308973126,13537.181203444157,13537.181203444157,0.0,9616.99,0.0,0.0,9616.99,0.0,8468.77,0.0,8468.77,46480.0,46480.0,32784.059999999976,0.0,0.08400922942424936,1242293.9702864857,,0.035,122936.0,9994.0,5.613180041907474,0.9698573008849993,57594.72100094817,0.035,,10813.55686383263,0.0,2.956325e-05,22302.6775,0.0,0.0800000000227783,1096.74,0.0,1.8737861840516606e-12,1538.5808249715756,9071.979577145335,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,5.516063755747318e-07,1133537.7415138707,33.51105963680993
ARMM,SS,100,157316024194,a,helped,59570,16787.245999999996,15573.959716184301,0.015436195431197853,15089.667921949624,15089.667921949624,0.0,11027.3,0.0,0.0,11027.3,0.0,9710.7,0.0,9710.7,52494.0,52494.0,37591.800000000025,0.0,0.08400922942424936,1177406.8694112406,,0.035,123518.0,10217.0,5.652978236056696,0.7955149474627604,65030.18431049104,0.035,,13160.351009551365,0.0,2.1147660999999997e-05,22302.6775,0.0,0.07999999998615692,1862.44,0.0,1.8737861840516606e-12,1538.5808249715756,9071.979577145335,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.597596124819359e-07,1133537.7415138707,23.971671888240962
ARMM,SS,250,157316024194,a,helped,59572,16787.245999999996,15573.959716184301,0.015436195431197853,15545.03649053021,15545.03649053021,0.0,11706.84,0.0,0.0,11706.84,0.0,10548.15,0.0,10548.15,54258.0,54258.0,40838.94000000004,0.0,0.08400922942424936,1322049.029239635,,0.028356755224512063,129968.0,10217.0,6.3474356940253385,0.8641200745128607,65030.18431049104,0.024999999999999994,,13160.351009551365,0.0,2.1147660999999997e-05,22302.6775,0.0,0.0800000000045884,1862.44,0.0,1.9520373455782793e-12,1538.5808249715756,9071.979577145335,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.597596124819359e-07,1133537.7415138707,23.971671888240962
