district,hazard,dk_tot,dw_tot,resilience
Ampara,PF,35.765241546812604,89.01847388424788,0.401773249823612
Anuradhapura,PF,51.26445681828563,104.30964177156118,0.4914642208297018
Badulla,PF,36.052056094377946,96.59912603360394,0.3732130669778163
Batticaloa,PF,85.74179533486571,360.6450092777361,0.23774568655914813
Colombo,PF,4184.8929186281075,3887.6847313882945,1.0764486340263708
Galle,PF,68.78182894168172,145.61106270452112,0.4723667808211532
Gampaha,PF,855.5969101989871,882.1456018525543,0.9699044107936224
Hambantota,PF,164.0047619986368,309.57183101689884,0.529779345426568
Kalutara,PF,905.4440900883881,1294.2335707462914,0.6995986741143514
Kandy,PF,49.50888816364662,83.52363903894577,0.5927530066136294
Kegalle,PF,124.74894851552654,253.00072226847396,0.4930774402420404
Kurunegala,PF,250.42004657936013,477.1114742293624,0.5248669548009558
Mannar,PF,53.67027752535989,342.2176027855848,0.1568308499869506
Matale,PF,20.720716985373258,39.279287069190396,0.5275227360637619
Moneragala,PF,4.34958965695726,18.30013859308643,0.23768069486645757
Mullaitivu,PF,3.4058582581578767,28.399807780400568,0.11992539824541863
Nuwara Eliya,PF,0.18071413470499545,0.508198497395498,0.3555975384247492
Polonnaruwa,PF,309.66313998331435,501.0849898442452,0.6179852644948884
Puttalam,PF,362.2931458356237,808.2769438456202,0.4482289747272826
Rathnapura,PF,970.1994805427629,2608.983631344508,0.3718687495340024
Trincomalee,PF,144.49285229916435,380.38224474266013,0.3798622419848173
Vavuniya,PF,6.6592225073154,15.575875260786768,0.42753440149077243
