,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Balaka,DR,1.0,312017830013,helped,a,137427.98,5.412463008145969,0.0,235098.89543413674,937566.9499643708,0.0,679558,0,679558.0,6.463484303572216e-05,0.0,1.4715447393747113e-06,170403.05522336558,0.0,170403.05522336558,3,85260.164,1.0,1.0,0,0,0.004124817149556938,0.00023267017125731462,-1,0.11560693641618495,0.0,679557.8799999999,1.3642420526593924e-12,19591.57,0.0,10.0,3678081.9956433573,170402.03,170402.03,0,170403.03,5616.9,3175.07,0.0
1,Balaka,DR,1.0,312017830046,helped,a,137427.98,9.471810845981004,0.0,50125.77279343285,199899.99453532926,0.0,122192,0,122192.0,6.463484303572216e-05,0.0,8.183841822705251e-06,30641.16306460006,0.0,30641.16306460006,3,85260.164,1.0,1.0,0,0,0.008933043628116519,0.0,-1,0.11560693641618495,0.11560693641618495,122191.87999999998,634.8100000000003,4177.15,0.0,10.0,1157378.563711026,30640.14,30640.14,0,30641.14,0.0,590.39,0.0
2,Balaka,DR,1.0,312017830069,helped,a,137427.98,5.412463008145969,10125.0,153415.87034468606,571439.4544762957,0.0,347670,0,347670.0,6.463484303572216e-05,0.0,2.876290735467541e-06,87181.38381014476,0.0,87181.38381014476,3,85260.164,1.0,1.0,0,0,0.005106165083771954,0.0,-1,0.11560693641618495,0.0,347669.8799999999,2705.880000000001,12784.66,0.0,10.0,1881750.4727958078,87180.36,87180.36,0,87181.36,0.0,1679.79,0.0
3,Balaka,DR,1.0,312017830082,helped,a,137427.98,5.412463008145969,525.0,122849.89919837362,487827.824382535,0.0,299489,0,299489.0,6.463484303572216e-05,0.0,3.3390207987605555e-06,75099.17289537711,0.0,75099.17289537711,3,85260.164,1.0,1.0,0,0,0.005706142241165189,0.0,-1,0.11560693641618495,0.11560693641618495,299488.8799999999,1555.4899999999998,10237.49,0.0,10.0,1620972.5926003268,75098.15,75098.15,0,75099.15,0.0,1447.0,0.0
4,Balaka,DR,1.0,312017830111,helped,a,137427.98,6.7655787601824615,1400.0,68870.87351264239,269071.7070457233,0.0,140161,0,140161.0,6.463484303572216e-05,0.0,7.134652292720514e-06,35147.056634682885,0.0,35147.056634682885,3,85260.164,1.0,1.0,0,0,0.007621004183007751,0.0,-1,0.11560693641618495,0.11560693641618495,140160.88000000006,1675.9799999999996,5739.24,0.0,10.0,948269.6080480583,35146.03,35146.03,0,35147.03,0.0,677.21,0.0
5,Balaka,DR,1.0,312017830124,helped,a,137427.98,10.824926016291938,750.0,85286.51908825987,337128.96120453236,0.0,155748,0,155748.0,6.463484303572216e-05,0.0,6.420628194262526e-06,39055.52108470559,0.0,39055.52108470559,3,85260.164,1.0,1.0,0,0,0.006848410760784495,0.0,-1,0.11560693641618495,0.11560693641618495,155747.88000000006,2592.1499999999987,7107.21,0.0,10.0,1685959.4946928357,39054.5,39054.5,0,39055.5,0.0,752.51,0.0
6,Balaka,DR,1.0,312017830138,helped,a,137427.98,4.059347256109477,500.0,213912.9384290579,851084.0403081636,0.0,554411,0,554411.0,6.463484303572216e-05,0.0,1.8037160157356184e-06,139021.9456735247,0.0,139021.9456735247,3,85260.164,1.0,1.0,0,0,0.004324256719338001,0.0,-1,0.11560693641618495,0.0,554410.8799999999,1754.1800000000035,17826.08,0.0,10.0,2250546.3656721856,139020.92,139020.92,0,139021.92,0.0,2678.65,0.0
7,Balaka,DR,1.0,312017830151,helped,a,137427.98,13.531157520364923,0.0,75202.76227739663,299906.23446832487,0.0,174780,0,174780.0,6.463484303572216e-05,0.0,5.721478430026319e-06,43827.8274554046,0.0,43827.8274554046,3,85260.164,1.0,1.0,0,0,0.007293115629260034,0.0,-1,0.11560693641618495,0.11560693641618495,174779.88000000006,1200.0799999999986,6266.9,0.0,10.0,2364974.3582936297,43826.8,43826.8,0,43827.8,0.0,844.47,0.0
8,Balaka,DR,1.0,312017830166,helped,a,137427.98,6.7655787601824615,200.0,112374.41149305638,447348.0007537697,0.0,236795,0,236795.0,6.463484303572216e-05,0.0,4.223062142359424e-06,59378.36506853566,0.0,59378.36506853566,3,85260.164,1.0,1.0,0,0,0.005966179018871257,0.0,-1,0.11560693641618495,0.11560693641618495,236794.88000000006,2499.99,9364.53,0.0,10.0,1602054.5459595304,59377.34,59377.34,0,59378.34,0.0,1144.09,0.0
9,Balaka,DR,1.0,312017830179,helped,a,137427.98,9.471810845981004,2857.142857142857,84680.9543101701,326310.76979948056,0.0,202567,0,202567.0,6.463484303572216e-05,0.0,4.936638248085818e-06,50795.720414010764,0.0,50795.720414010764,3,85260.164,1.0,1.0,0,0,0.006872854087809406,0.0,-1,0.11560693641618495,0.11560693641618495,202566.88000000006,1184.4299999999987,7056.75,0.0,10.0,1918675.36045675,50794.7,50794.7,0,50795.7,0.0,978.72,0.0
