,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
1,274282.3532192302,416278.8612868403,547832.1480558208,741219.2723131548,1696545.5692975493,174978.9614633077,260218.91166012682,332222.10261181823,440204.0423633006,956343.8386822712,43878.103672945595,65295.95421202357,83543.44550340681,111228.4026881816,250059.6346001841,2902219.097418918,2446042.528098972,2058772.7766975446,1751902.282810275,1251264.8935474874,0,0,0,0,0,0,0,0,0,0
10,264867.1393978336,403889.45957287337,531928.407012844,718926.9531363003,1650356.27526747,168455.86569388697,251472.18553553717,323240.6590305861,426037.0920749991,900491.0767047231,42243.83532452818,63126.12386869045,81374.18786133616,107914.54797608696,241712.6858299808,2907961.9998242427,2446983.194133394,2072580.2787253503,1756256.684182992,1251517.0725717125,0,0,0,0,0,0,0,0,0,0
20,270762.5024580652,411758.63149251824,542067.1628295335,733239.5823727666,1691349.2028320811,173176.6737464944,256420.09950288682,328996.6052089334,432798.02290973277,926709.7029015857,43429.84643833879,64358.4136217195,82753.9896134789,109345.71084968955,244154.12941993764,2912274.852165919,2440839.5179478084,2057670.527111472,1725515.340818304,1245857.2345460537,0,0,0,0,0,0,0,0,0,0
50,266200.72665605135,405743.7040453504,534373.2429715692,722706.8251850432,1668593.1428282214,170898.47622528273,257098.88048091708,330930.99692666193,433367.4546788657,915900.8030718826,42861.34120666541,64550.41543833747,83345.6097932425,109855.16561231152,244352.67738126908,2930361.3015625416,2511931.833784816,2155991.762146685,1822289.6714761415,1322708.2006428863,0,0,0,0,0,0,0,0,0,0
100,225219.0352120132,351350.6877791388,464699.21579173254,625165.8223548504,1363368.9600344764,154999.77585256583,238183.2763696624,311687.0126686095,413378.63540616055,855370.2829848697,38883.70909837358,59945.22628432766,79282.09831547066,107430.0543510749,255389.72510563635,3108224.0788241,2788491.0419992483,2536592.2492553093,2284950.086618511,1713568.9350089696,0,0,0,0,0,0,0,0,0,0
250,235907.99561514964,365218.7307800886,482342.761880296,649928.9303899099,1429514.3929678695,161773.37276876273,247845.92950844887,321465.40624877124,430932.5692767927,901540.5534641185,40577.67946766665,62366.965526557535,81746.54711964188,112220.77895372092,269758.2840860042,3120391.6233537844,2758203.0942623764,2460587.405552589,2220825.5536898463,1739732.6786093349,0,0,0,0,0,0,0,0,0,0
500,244966.71736986245,377103.7948603693,497519.64988741773,671221.3795777914,1491612.1068642326,167037.4196813992,256736.91493782544,332951.7209132211,445343.75060992193,943925.7864670956,41901.44427365689,64545.19790592473,84736.56262861447,116154.3341736008,282878.98346659966,3106397.1155646495,2780582.9205464614,2463579.674198896,2201868.4630937264,1714640.609022616,0,0,0,0,0,0,0,0,0,0
1000,252262.91505013063,386626.40962739097,509649.7181343191,688081.0425089218,1528896.4901200356,171412.6263589923,261153.11539605094,340628.5183644352,456445.31933002506,994761.2758913843,42994.04047937583,65674.81391123004,86642.28683651306,119382.88586296528,293831.3077666487,3106837.8371503926,2735354.7132993294,2450136.6703614024,2173488.050502709,1695421.2524323612,0,0,0,0,0,0,0,0,0,0
1500,256167.02591309205,391673.9673881911,516047.37744623126,697017.8642789696,1554226.1406326892,174380.70249703538,264610.5344161987,344117.11383358465,462666.9867284808,1013810.5228729392,43739.55247322499,66529.46248569105,87689.05447505909,120619.17962119392,298571.4556041943,3119215.274788726,2747045.5694979797,2435649.4362897584,2158677.5919576236,1665969.6252925203,0,0,0,0,0,0,0,0,0,0
