,Region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
11,Bucharest-Ilfov,EQ,50,82340510611,not_helped,na,382.9316441155022,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,0.0004649863369800764,0.0,0.0,142.17469481741912,0.0,142.17469481741912,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0025068607574026502,-1,0.0,0.0,0.0,0.0,2.19,0.0,1.0,0.0,19.27,19.27,0,19.27,19.27,0.0,142.17
12,Bucharest-Ilfov,EQ,100,82340510611,helped,a,105.95766181502691,41441.4,41824.93589638551,24017.0,2077.788573176211,0.4850000000000002,365,0,365.0,0.00095447049560572,0.0,0.4850000000000002,538.8853557343415,0.0,538.8853557343415,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,55.76999999999998,12772.359999999995,4.09,0.0,10.0,5964.356783567863,50.89,50.89,0,78.19,0.0,1.5,0.0
13,Bucharest-Ilfov,EQ,100,82340510611,not_helped,na,329.25559818497305,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,0.00095447049560572,0.0,0.0,288.38752120602265,0.0,288.38752120602265,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.005104628645056819,-1,0.0,0.0,0.0,0.0,4.09,0.0,1.0,0.0,39.55,39.55,0,39.55,39.55,0.0,288.39
14,Bucharest-Ilfov,EQ,200,82340510611,helped,a,195.16854056195697,41441.4,41824.93589638551,24017.0,2077.788573176211,0.7650000000000005,215,0,215.0,0.0016956115798147495,0.0,0.7650000000000005,730.3974178742592,0.0,730.3974178742592,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,11.10999999999998,12368.650000000003,7.42,0.0,10.0,2201.501137538871,72.54,72.54,0,81.17,0.0,1.55,0.0
15,Bucharest-Ilfov,EQ,200,82340510611,not_helped,na,240.04471943804302,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,0.0016956115798147495,0.0,0.0,522.6438989055233,0.0,522.6438989055233,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.009205549137805108,-1,0.0,0.0,0.0,0.0,7.42,0.0,1.0,0.0,70.27,70.27,0,70.27,70.27,0.0,522.64
16,Bucharest-Ilfov,EQ,250,82340510611,helped,a,235.91354224809655,41441.4,41824.93589638551,24017.0,2077.788573176211,0.4850000000000002,367,0,367.0,0.0020392986278335544,0.0,0.4850000000000002,883.8803222768397,0.0,883.8803222768397,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,56.10999999999992,12489.539999999992,9.29,0.0,10.0,13362.14303293217,95.91,95.91,0,123.38,0.0,2.37,0.0
17,Bucharest-Ilfov,EQ,250,82340510611,not_helped,na,199.29971775190344,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,0.0020392986278335544,0.0,0.0,632.0098968743931,0.0,632.0098968743931,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.011130956610997467,-1,0.0,0.0,0.0,0.0,9.29,0.0,1.0,0.0,84.51,84.51,0,84.51,84.51,0.0,632.01
18,Bucharest-Ilfov,EQ,500,82340510611,helped,a,342.20377242161777,41441.4,41824.93589638551,24017.0,2077.788573176211,0.4450000000000002,407,0,407.0,0.003056888091762694,0.0,0.4450000000000002,1191.9634090998093,0.0,1191.9634090998093,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,72.61999999999995,12457.27,13.96,0.0,10.0,25066.42632988348,141.43,141.43,0,174.03,0.0,3.34,0.0
19,Bucharest-Ilfov,EQ,500,82340510611,not_helped,na,93.0094875783822,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,0.003056888091762694,0.0,0.0,928.9211662148072,0.0,928.9211662148072,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.016525896926975675,-1,0.0,0.0,0.0,0.0,13.96,0.0,1.0,0.0,126.68,126.68,0,126.68,126.68,0.0,928.92
20,Bucharest-Ilfov,EQ,1000,82340510611,helped,a,413.45259699999997,41441.4,41824.93589638551,24017.0,2077.788573176211,0.5650000000000003,319,0,319.0,0.007025492204584723,0.0,0.5650000000000003,1694.9824407100903,0.0,1694.9824407100903,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,35.73000000000006,15604.639999999967,21.83,0.0,10.0,14933.907803640024,298.42,298.42,0,318.83,0.0,6.11,0.0
