district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,hh_reco_rate,integ,intermed_sf_num,optimal_hh_reco_rate,pc_fee,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Batticaloa,PF,5.0,51207002061,a,helped,22145,76108.85714735145,36346.798828125,0.007249572465620001,61818.14397954696,61818.14397954696,0.0,61818.14,61818.14,0.0,61818.14,0.0,61818.14,188156.0,188156.0,188156.0,0.0,0.05545382204534587,2752797.542044982,0.0,8.094058570207725,1717760.2830017484,0.045,,0.0,9.1294472831148,43493.30859375,0.0,-9.094947017729282e-13,6342.4,0.0,7.077398143151416e-06,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,4.762633901849545e-08,2601519.0964167616,23750431.446753275
Batticaloa,PF,10.0,51207002061,a,helped,22910,76108.85714735145,36346.798828125,0.007249572465620001,62210.75799161971,62210.75799161971,0.0,62210.76,62210.76,0.0,62210.76,0.0,62210.76,189351.0,189351.0,189351.0,0.0,0.05545382204534587,2821168.4489424503,0.0,8.295089745393687,2112799.9614770305,0.035,,0.0,11.158113564105976,43493.30859375,0.0,1.1368683772161603e-13,6342.4,0.0,8.82517266681229e-06,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,4.762633901849545e-08,2601519.0964167616,29028045.51700859
Batticaloa,PF,25.0,51210023071,a,helped,23790,68320.87423613135,36346.798828125,0.007651618141638226,55576.54537143994,55576.54537143994,0.0,55576.42,55576.42,0.0,55576.42,0.0,55576.42,169158.0,169158.0,169158.0,0.0,0.05545382204534587,2922379.208500626,0.0,8.141187318726423,1153228.1287426876,0.035,,2000.000061035156,6.817461360046156,43493.30859375,0.0,3.979039320256561e-13,5693.41,0.0,9.635520113460564e-06,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,5.599765977227268e-08,2601519.0964167616,17735755.917243462
Batticaloa,PF,50.0,51207002021,a,helped,24436,57487.97290047894,36346.798828125,0.00834144898561982,47961.00491076706,47961.00491076706,0.0,47961.0,47961.0,0.0,47961.0,0.0,47961.0,145979.0,145979.0,145979.0,0.0,0.05545382204534587,3395761.0822111703,0.0,8.677609344911067,3830846.060118997,0.035,,0.0,26.242446243082888,43493.30859375,0.0,6.465938895416912e-13,4790.66,0.0,1.0119414674639635e-05,10.0,9.672447013487488,10.019267822736055,-1.0,3.0,7.254951396581881e-08,2601519.0964167616,68270225.03807044
Batticaloa,PF,50.0,51212045051,a,helped,24643,54125.45994769484,36346.798828125,0.008596649015520087,43835.43658474413,43835.43658474413,0.0,43835.44,43835.44,0.0,43835.44,0.0,43835.44,133422.0,133422.0,133422.0,0.0,0.05545382204534587,3092899.001242551,0.0,7.669040104201472,4726768.395760419,0.045,,0.0,35.42720387762452,43493.30859375,0.0,6.650680006714538e-12,4510.45,0.0,1.0119414674639635e-05,10.0,9.653179190751457,10.019267822736055,-1.0,3.0,7.941409665458382e-08,2601519.0964167616,92164547.42029014
Batticaloa,PF,100.0,51207002021,a,helped,25201,57487.97290047894,36346.798828125,0.00834144898561982,45790.95005742777,45790.95005742777,0.0,45790.95,45790.95,0.0,45790.95,0.0,45790.95,139374.0,139374.0,139374.0,0.0,0.05545382204534587,2821972.7854175186,0.0,7.211336964224314,3890317.979221357,0.045,,0.0,27.912795637790097,43493.30859375,0.0,-4.206412995699793e-12,4790.66,0.0,1.1388363167689223e-05,10.0,9.633911368015426,10.019267822736055,-1.0,3.0,7.254951396581881e-08,2601519.0964167616,72615670.88608941
Batticaloa,PF,500.0,51207002021,a,helped,26731,57487.97290047894,36346.798828125,0.00834144898561982,45742.65360573347,45742.65360573347,0.0,45742.65,45742.65,0.0,45742.65,0.0,45742.65,139227.0,139227.0,139227.0,0.0,0.05545382204534587,2814245.7097365824,0.0,7.1915910096313995,4359082.1931223,0.045,,0.0,31.30917274036143,43493.30859375,0.0,-8.640199666842818e-12,4790.66,0.0,1.1977877882693019e-05,10.0,9.653179190751457,10.019267822736055,-1.0,3.0,7.254951396581881e-08,2601519.0964167616,81451410.77706137
Batticaloa,PF,1000.0,51207002061,a,helped,27500,76108.85714735145,36346.798828125,0.007249572465620001,63820.311167472726,63820.311167472726,0.0,63820.31,63820.31,0.0,63820.31,0.0,63820.31,194250.0,194250.0,194250.0,0.0,0.05545382204534587,3135174.5573438248,0.0,9.218362813603289,3748621.6850812873,0.035,,0.0,19.2979237327222,43493.30859375,0.0,-5.400124791776761e-13,6342.4,0.0,1.4579906994318869e-05,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,4.762633901849545e-08,2601519.0964167616,50203917.11187104
Colombo,PF,5.0,11210093091,a,helped,29704,31215.479261382017,36346.798828125,0.011319962602154565,24641.703877388878,24641.703877388878,0.0,24641.7,24641.7,0.0,24641.7,0.0,24641.7,75002.0,75002.0,75002.0,0.0,0.05545382204534587,3305101.507341392,0.0,6.223637319950848,2368310.2155403867,0.044999999999999984,,0.0,31.576627497138567,43493.30859375,0.0,-8.01492205937393e-12,2601.29,0.0,3.4265675342240245e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.8131969891231124e-07,2601519.0964167616,82147199.43424459
Colombo,PF,25.0,11210093091,a,helped,34370,31215.479261382017,36346.798828125,0.011319962602154565,23157.327219192524,23157.327219192524,0.0,23157.33,23157.33,0.0,23157.33,0.0,23157.33,70484.0,70484.0,70484.0,0.0,0.05545382204534587,2688345.4204527293,0.0,5.062261128889542,2790264.0114470385,0.065,,0.0,39.587197256782225,43493.30859375,0.0,-5.5280224842135794e-12,2601.29,0.0,3.842037932909102e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.8131969891231124e-07,2601519.0964167616,102986849.6371362
