region,hazard,new_pov_perm
ARMM,EQ,483.36306294689626
ARMM,HU,17.54331237242735
ARMM,PF,27.73804680732011
ARMM,SS,0.015117156410666594
CAR,EQ,97.82344563009084
CAR,HU,71.8849797476806
CAR,PF,39.47531036839403
I - Ilocos,EQ,2645.73334932627
I - Ilocos,HU,967.6531300847683
I - Ilocos,PF,172.14132920543008
I - Ilocos,SS,11.331068677797258
II - Cagayan Valley,EQ,217.75985057179471
II - Cagayan Valley,HU,1667.6522524088994
II - Cagayan Valley,PF,145.47482277798184
II - Cagayan Valley,SS,108.26374692710088
III - Central Luzon,EQ,2307.248039872853
III - Central Luzon,HU,1778.0845138718018
III - Central Luzon,PF,812.1980420895578
III - Central Luzon,SS,44.12370366105745
IVA - CALABARZON,EQ,2821.0764811807394
IVA - CALABARZON,HU,1615.7007973864424
IVA - CALABARZON,PF,512.7431962273574
IVA - CALABARZON,SS,81.77943341433992
IVB - MIMAROPA,EQ,367.21255071377806
IVB - MIMAROPA,HU,383.2144031508786
IVB - MIMAROPA,PF,44.75186446231963
IVB - MIMAROPA,SS,24.299290796510505
IX - Zamboanga Peninsula,EQ,162.9875796145585
IX - Zamboanga Peninsula,HU,5.655948717407252
IX - Zamboanga Peninsula,PF,5.1869710586162325
IX - Zamboanga Peninsula,SS,0.5378749929240335
NCR,EQ,1905.8950510239551
NCR,HU,443.2038683215458
NCR,PF,1201.3518335871984
NCR,SS,9.68535849494501
V - Bicol,EQ,980.7341346241403
V - Bicol,HU,4475.565510631489
V - Bicol,PF,368.4123261407952
V - Bicol,SS,1240.9404676539325
VI - Western Visayas,EQ,1432.5612329556243
VI - Western Visayas,HU,322.76789058498446
VI - Western Visayas,PF,235.79121788570407
VI - Western Visayas,SS,162.4302057032503
VII - Central Visayas,EQ,306.63107153714634
VII - Central Visayas,HU,175.42825110679104
VII - Central Visayas,PF,315.63927083966894
VII - Central Visayas,SS,107.37608298936276
VIII - Eastern Visayas,EQ,405.2021501916905
VIII - Eastern Visayas,HU,676.1315465106211
VIII - Eastern Visayas,PF,41.01927368425064
VIII - Eastern Visayas,SS,163.1123648512144
X - Northern Mindanao,EQ,121.97655605724677
X - Northern Mindanao,HU,72.97175431731826
X - Northern Mindanao,PF,30.747528546953998
X - Northern Mindanao,SS,3.7648252478485564
XI - Davao,EQ,448.3642662865205
XI - Davao,HU,9.979149427996314
XI - Davao,PF,15.428313468763735
XI - Davao,SS,0.5524634529021474
XII - SOCCSKSARGEN,EQ,333.38537322792496
XII - SOCCSKSARGEN,HU,1.2509735312039894
XII - SOCCSKSARGEN,PF,2.4531259687519333
XIII - Caraga,EQ,267.86970422974133
XIII - Caraga,HU,65.43575069510757
XIII - Caraga,PF,8.073533358939558
XIII - Caraga,SS,8.912509183478239
