,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5.0,521411,helped,a,5.330590823111983,0.0,52153.133146515145,90707.10261606141,298482.23822773044,0.9650000000000006,29874,0,29874.0,2.970690943688874e-07,0.0,0.9650000000000006,37906.95349941173,0.0,37906.95349941173,1,45477.532103761216,500.0,50.0,0,0.006640630996587727,0.08713404664569063,-1,0.0,0.0,6.799999999987814,0.09000000000342295,7561.09,0.0,1.966,36.94099440410108,2.11,2.11,0,8.8,8.8,0.0,5686.0
1,Ampara,PF,5.0,521421,helped,a,6.663238528889979,0.0,52153.133146515145,71038.14272407509,233759.24517809914,1.2150000000000007,15243,0,15243.0,2.970690943688874e-07,0.0,1.2150000000000007,23152.508458577122,0.0,23152.508458577122,1,45477.532103761216,500.0,50.0,0,0.007503850906151574,0.0,-1,0.0,0.0,0.4200000000031061,807.0000000000038,5921.54,0.0,10.0,2.865192567443388,0.13,0.13,0,0.65,0.0,0.01,0.0
2,Ampara,PF,5.0,521431,helped,a,5.330590823111983,0.0,52153.133146515145,100221.13958803574,329789.2799926544,0.8450000000000005,38200,0,38200.0,2.970690943688874e-07,0.0,0.8450000000000005,43887.768885235586,0.0,43887.768885235586,1,45477.532103761216,500.0,50.0,0,0.006317573849511907,0.1342200865969712,-1,0.0,0.0,24.720000000000837,0.09000000000198011,8354.15,0.0,1.739,133.95774738480858,7.64,7.64,0,28.87,28.87,0.0,10094.0
3,Ampara,PF,5.0,521441,helped,a,1.3326477057779957,0.0,52153.133146515145,107721.77380290077,354470.98654056026,0.6450000000000004,59923,0,59923.0,2.970690943688874e-07,0.0,0.6450000000000004,56860.60353167465,0.0,56860.60353167465,1,45477.532103761216,500.0,50.0,0,0.006093660404171818,0.28642023902743846,-1,0.0,0.0,220.52000000000282,0.09000000000141833,8979.38,0.0,1.541,297.5535797461146,67.85,67.85,0,211.87,211.87,0.0,21038.0
4,Ampara,PF,5.0,521451,helped,a,1.3326477057779957,0.0,52153.133146515145,109120.75787826309,359074.5058462817,0.7550000000000004,50544,0,50544.0,2.970690943688874e-07,0.0,0.7550000000000004,53520.762265323225,0.0,53520.762265323225,1,45477.532103761216,500.0,50.0,0,0.006054472470980994,0.2050441301643957,-1,0.0,0.0,71.53000000000709,0.09000000000060898,9096.0,0.0,1.551,96.72357048537638,22.06,22.06,0,76.86,76.86,0.0,16591.0
5,Ampara,PF,5.0,521471,helped,a,7.995886234667974,720.0,52153.133146515145,46939.69676644827,152220.96471851468,1.2150000000000007,11307,0,11307.0,2.970690943688874e-07,0.0,0.072,3936.149301412562,0.0,3936.149301412562,3,45477.532103761216,500.0,50.0,0,0.009231236038342411,0.05998429013365371,-1,8.689788053949885,8.689788053949885,6965.250000000009,0.030000000001152216,3912.74,0.0,10.0,55770.66681591042,2119.64,2119.64,0,2621.83,2621.83,0.0,0.0
6,Ampara,PF,5.0,521481,helped,a,5.330590823111983,1050.0,52153.133146515145,109499.80694192546,357055.80042100244,0.9650000000000006,34542,0,34542.0,2.970690943688874e-07,0.0,0.9650000000000006,43830.1740330633,0.0,43830.1740330633,1,45477.532103761216,500.0,50.0,0,0.0060439841801936366,0.09176838579118587,-1,0.0,0.0,7.880000000002827,0.09000000000387881,9127.56,0.0,1.777,42.80464430960429,2.44,2.44,0,10.19,10.19,0.0,7889.0
7,Ampara,PF,5.0,522211,helped,a,6.195368639664273,75.0,52153.133146515145,268528.37644922995,883390.4708798284,0.7550000000000004,125478,0,125478.0,2.970690943688874e-07,0.0,0.7550000000000004,132867.96224714187,0.0,132867.96224714187,1,45477.532103761216,500.0,50.0,0,0.0038595342798882974,0.2563173715209904,-1,0.0,0.0,177.53000000002598,0.09999999999337765,22383.75,0.0,1.118,1115.9717530628864,54.74,54.74,0,190.74,190.74,0.0,57133.0
8,Ampara,PF,5.0,522221,helped,a,6.195368639664273,10000.0,52153.133146515145,122426.23074637148,371752.8468531203,1.2150000000000007,26820,0,26820.0,2.970690943688874e-07,0.0,1.2150000000000007,40736.95103139423,0.0,40736.95103139423,1,45477.532103761216,500.0,50.0,0,0.0057160070574490815,0.03330698549278628,-1,0.0,0.0,0.6999999999973374,0.09999999999792046,10204.88,0.0,2.189,4.460665420541781,0.22,0.22,0,1.09,1.09,0.0,2852.0
9,Ampara,PF,5.0,522231,helped,a,7.744210799580341,94080.0,52153.133146515145,95085.54466814139,20255.484945174856,1.2150000000000007,1453,0,1453.0,2.970690943688874e-07,0.0,1.2150000000000007,2208.8470661646315,0.0,2208.8470661646315,1,45477.532103761216,500.0,50.0,0,0.006485937305720063,0.0,-1,0.0,0.0,0.2100000000007083,20046.44000000017,7923.95,0.0,10.0,1.6262842679173568,0.09,0.09,0,0.35,0.0,0.01,0.0
