,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.66402108329,1.2150000000000007,8820,0,8820.0,1.9432935929487685e-05,0.0,0.374,5905.865192958292,0.0,5905.865192958292,2,36346.798828125,0,0.00972977836352264,0.002431807115554482,-1,0.15414258188824662,0.15414258188824662,8347.599999999999,7225.92,3521.06,1311.0,4.453,42591.25601244583,2762.42,2762.42,0,5907.0,1311.0,88.15
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.60573751283,1.0350000000000006,24660,0,24660.0,1.9432935929487685e-05,0.0,1.0350000000000006,33625.07618218729,0.0,33625.07618218729,1,36346.798828125,0,0.006526245786778746,0.012181861958946527,-1,0.0,0.0,21023.589999999997,5090.799999999999,7826.22,13334.0,0.9,152098.48705055047,7046.37,7046.37,0,29244.07,13334.0,300.97
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699296,1.2150000000000007,41318,0,41318.0,1.9432935929487685e-05,0.0,1.2150000000000007,63776.28694629418,0.0,63776.28694629418,1,36346.798828125,0,0.004589642686662065,0.009481905711985355,-1,0.0,0.0,34261.240000000005,10173.900000000001,15824.17,21504.0,0.9,106598.38173558873,11523.06,11523.06,0,54136.48,21504.0,616.64
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.6888011759,0.8450000000000005,70342,0,70342.0,1.9432935929487685e-05,0.0,0.8450000000000005,82549.66350395043,0.0,82549.66350395043,1,36346.798828125,0,0.004643500821149795,0.02058216904145822,-1,0.0,0.0,61751.53,9904.599999999999,15459.22,41364.0,0.827,254353.61907543676,20621.32,20621.32,0,73657.88,41364.0,610.74
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193316,0.7550000000000004,51132,0,51132.0,1.9432935929487685e-05,0.0,0.7550000000000004,55403.94005464721,0.0,55403.94005464721,1,36346.798828125,0,0.005775933677332381,0.023435776583772248,-1,0.0,0.0,45514.590000000004,6511.110000000001,9991.58,29722.0,0.836,280723.61721400166,15172.82,15172.82,0,50039.88,29722.0,384.5
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889788,1.0350000000000006,30947,0,30947.0,1.9432935929487685e-05,0.0,1.0350000000000006,42197.697997167474,0.0,42197.697997167474,1,36346.798828125,0,0.005978262876591123,0.013462017178366517,-1,0.0,0.0,26383.489999999998,5990.649999999999,9326.72,17361.0,0.865,190875.60345532844,8842.82,8842.82,0,36699.76,17361.0,365.61
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288204,1.0350000000000006,26916,0,26916.0,1.9432935929487685e-05,0.0,1.0350000000000006,36701.238869414155,0.0,36701.238869414155,1,36346.798828125,0,0.006551783832808397,0.014540129226516055,-1,0.0,0.0,22946.9,4919.95,7765.32,15464.0,0.842,142296.90120685578,7691.0,7691.0,0,31919.43,15464.0,310.97
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052588,0.9650000000000006,31102,0,31102.0,1.9432935929487685e-05,0.0,0.9650000000000006,40231.90782718528,0.0,40231.90782718528,1,36346.798828125,0,0.006104348389754694,0.01400344399976945,-1,0.0,0.0,26803.269999999997,5840.260000000001,8945.41,17238.0,0.886,138322.283982061,8971.41,8971.41,0,35321.99,17238.0,342.15
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133017,0.7950000000000005,74933,0,74933.0,1.9432935929487685e-05,0.0,0.7950000000000005,84191.25291034934,0.0,84191.25291034934,1,36346.798828125,0,0.004413495638762264,0.01857679715841292,-1,0.0,0.0,66290.8,11378.52,17112.5,42038.0,0.884,121239.25536686313,22116.29,22116.29,0,75630.96,42038.0,636.16
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.15172921692,1.0350000000000006,48651,0,48651.0,1.9432935929487685e-05,0.0,1.0350000000000006,66337.93922707193,0.0,66337.93922707193,1,36346.798828125,0,0.004803528445287456,0.013879318713348833,-1,0.0,0.0,41476.82000000001,9252.550000000001,14446.35,27622.0,0.853,152417.12228841108,13901.58,13901.58,0,57694.77,27622.0,568.43
