,region,hazard,rp,hhid,helped_cat,affected_cat,index_x,pcwgt,pcexp,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,index_y,sub_savings,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
18,ARMM,EQ,1,1536201011,helped,a,792,1.5046205769078207,15160.346855127902,0.0,17893.768,22302.6775,56127.77936403725,0.5350000000000003,10509,1201,11710.0,3.339786985265963e-06,382.8837629334319,0.017,3524.773772414946,382.8837629334319,3907.657535348378,3,15573.959716184301,13,174.46114571433338,0,0.014951304778021698,0.0121151598761615,-1,0.1926782273603083,0.1926782273603083,10474.639999999996,30033.39,30380.96,2071.0,38.243,17285.248054164986,3662.46,3340.45,322.01,3840.59,2071.0,34.08,2071.0
19,ARMM,EQ,1,1536201024,helped,a,836,1.2896747669655706,14794.320940493648,0.0,20441.686,22302.6775,64119.8903236551,0.3950000000000002,16781,1918,18699.0,3.339786985265963e-06,611.4663258170876,0.01,5524.313290415349,611.4663258170876,6135.779616232437,3,15573.959716184301,13,174.46114571433338,0,0.013988515848086478,0.023501301776310178,-1,0.1926782273603083,0.1926782273603083,16748.700000000004,30026.420000000002,30380.96,4234.0,35.692,23684.835625553544,5854.82,5340.58,514.24,6022.34,4234.0,34.45,4234.0
20,ARMM,EQ,1,1536201036,helped,a,880,1.2896747669655706,15816.411216155977,0.0,20354.516,22302.6775,63846.462249301876,0.9650000000000006,5788,661,6449.0,3.339786985265963e-06,210.72953147293794,0.587,4744.287898057092,210.72953147293794,4955.01742953003,2,15573.959716184301,13,174.46114571433338,0,0.014018437369930293,0.0,-1,0.1926782273603083,0.1926782273603083,5213.549999999999,29431.29,30380.96,0.0,10.0,7517.1930186385025,1858.23,1681.01,177.22,4953.39,0.0,94.9,0.0
21,ARMM,EQ,1,1536201049,helped,a,924,0.42989161061570713,29760.721300155656,0.0,29381.92200000001,22302.6775,92162.92707647447,0.4050000000000002,23205,2653,25858.0,3.339786985265963e-06,845.7873630827601,0.28,13136.636066447281,845.7873630827601,13982.423429530041,2,15573.959716184301,13,174.46114571433338,0,0.011667824682808314,0.007714113629779418,-1,0.1926782273603083,0.0,22057.560000000005,28124.54,30380.96,2237.0,7.41,10492.817123867992,7781.39,7070.08,711.31,13990.92,2237.0,225.75,2237.0
22,ARMM,EQ,1,1536215011,helped,a,968,1.9579012541739067,13408.343557755159,1599.2649022059893,14467.271000000002,22302.6775,40363.36042314108,0.9050000000000006,3984,455,4439.0,3.339786985265963e-06,145.05588021208285,0.044,1444.5824713979368,145.05588021208285,1589.6383516100198,3,15573.959716184301,13,174.46114571433338,0,0.016627872559854543,0.0003176351852108337,-1,0.1926782273603083,0.1926782273603083,3950.37,30087.210000000003,30380.95,48.0,80.076,8490.193978976431,1382.46,1260.47,121.99,1556.42,48.0,29.05,48.0
23,ARMM,EQ,1,1536215012,helped,a,1012,1.5228119732944587,9795.45256143342,2193.2777433308343,9765.756799999997,22302.6775,23752.76318165742,1.0350000000000006,1950,222,2172.0,3.339786985265963e-06,70.77451737820306,0.091,796.1369694315536,70.77451737820306,866.9114868097566,3,15573.959716184301,13,174.46114571433338,0,0.020238440453304102,0.0,-1,0.1926782273603083,0.1926782273603083,1916.410000000001,30216.09,30380.95,0.0,10.0,3207.76075565156,671.56,612.04,59.52,846.26,0.0,16.29,0.0
24,ARMM,EQ,1,1536215013,helped,a,1056,1.9579012541739067,12009.946327266245,2505.51501345605,14189.766000000001,22302.6775,36650.24948388587,0.7550000000000004,4744,542,5286.0,3.339786985265963e-06,172.79183972516242,0.037,1686.8768207015428,172.79183972516242,1859.6686604267052,3,15573.959716184301,13,174.46114571433338,0,0.01678967845252877,0.0016497977285932163,-1,0.1926782273603083,0.1926782273603083,4710.300000000001,30072.910000000003,30380.95,242.0,55.478,10121.335205352882,1648.06,1502.74,145.32,1822.47,242.0,30.44,242.0
25,ARMM,EQ,1,1536215027,helped,a,1100,2.175445662893808,12984.944550791464,0.0,26386.825999999997,22302.6775,82768.14295598565,0.7150000000000004,11502,1315,12817.0,3.339786985265963e-06,419.22743401953613,0.716,10568.099995510493,419.22743401953613,10987.327429530029,2,15573.959716184301,13,174.46114571433338,0,0.01231222147380375,0.0,-1,0.019267822736030827,0.0,10137.27,28277.409999999996,30380.97,0.0,10.0,24765.284072107403,3629.27,3276.7,352.57,10988.38,0.0,210.27,0.0
26,ARMM,EQ,1,1536250016,helped,a,1144,0.4312738657009944,20559.99061143117,0.0,24692.9,22302.6775,77454.76766314593,0.2950000000000001,25770,2946,28716.0,3.339786985265963e-06,939.1969738566946,0.012,8390.043635967904,939.1969738566946,9329.2406098246,3,15573.959716184301,13,174.46114571433338,0,0.012727524650605119,0.03703799449552415,-1,0.1926782273603083,0.1926782273603083,25727.339999999997,30010.269999999997,30380.96,7370.0,34.819,12166.613444513101,8993.74,8203.88,789.86,9302.54,7370.0,37.22,7370.0
27,ARMM,EQ,1,1536313011,helped,a,1188,1.1615446422884594,12376.582529583391,0.0,12662.072000000002,22302.6775,39717.40236643025,0.7550000000000004,4877,557,5434.0,3.339786985265963e-06,177.57390171017616,0.036,1729.268899108461,177.57390171017616,1906.8428008186372,3,15573.959716184301,13,174.46114571433338,0,0.01777369021128406,0.002046132535305098,-1,0.1926782273603083,0.1926782273603083,4843.290000000001,30068.730000000003,30380.95,267.0,54.962,6173.710775789934,1694.47,1545.13,149.34,1868.95,267.0,30.85,267.0
28,ARMM,EQ,1,1536313025,helped,a,1232,0.9292356952931817,16539.437210380052,0.0,16819.752,22302.6775,52758.889531473986,0.7150000000000004,7256,829,8085.0,3.339786985265963e-06,264.28862570509165,0.024,2487.703929931637,264.28862570509165,2751.992555636729,3,15573.959716184301,13,174.46114571433338,0,0.015421272154267031,0.005888102410284083,-1,0.1926782273603083,0.1926782273603083,7222.529999999997,30046.969999999994,30380.96,991.0,42.491,7362.389176374161,2525.91,2303.64,222.27,2699.33,991.0,32.9,991.0
