region,hazard,rp,hhid,affected_cat,index,province,pcwgt,ispoor,pcinc,hhwgt,hhsize,hhsize_ae,pcwgt_ae,pcexp,pcinc_ae,pcsoc,axfin,has_ew,c,v,social,pov_line,quintile,c_5,gamma_SP,k,ew_expansion,protection,hh_share,optimal_hh_reco_rate,fa,v_with_ew,dk_private,dk_public,dk_other,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0
I - Ilocos,EQ,500,12817160329,na,194048,Ilocos Norte,85.08175000000007,0,39390.53146269324,22.14084450000002,3.842750894167564,3.842750894167564,85.08175000000007,39390.53146269324,54716.488,38996.6261480663,0,1.0,422.5399747984663,0.0,9.747711529783033e-09,22302.6775,4.0,14963.536002745324,1.1784971792467227e-07,1250.2632486509567,0,1,0.9297155764711048,0.4250000000000002,0.95,0.0,0,0,0.0,0.0,1.0556015757353254,1.0684385595504784,0.012014714089460097,468.5333136225802,0.0,468.5333136225802
I - Ilocos,EQ,500,12976020281,a,201220,Ilocos Sur,1214.2559899999999,0,232984.4745237271,421.3148255,2.8820632850006365,2.8820632850006365,1214.2559899999999,232984.4745237271,225771.16,230654.62977848985,0,1.0,2499.2111133845947,0.1863765846014292,9.747711529783053e-09,22302.6775,5.0,14963.536002745324,6.970496102459028e-07,7394.9732381537015,0,1,0.9297155764711048,0.5850000000000003,0.95,0.1863765846014292,1281,96,0.0,1377.0,6.243601426450386,5.142784661489576,0.012014714089460097,3204.1772180264634,32.444237026895635,3236.621455053359
I - Ilocos,EQ,500,12976020281,na,201220,Ilocos Sur,63.908210000000054,0,232984.4745237271,22.17446450000002,2.8820632850006365,2.8820632850006365,63.908210000000054,232984.4745237271,225771.16,230654.62977848985,0,1.0,2499.2111133845947,0.0,9.747711529783053e-09,22302.6775,5.0,14963.536002745324,6.970496102459028e-07,7394.9732381537015,0,1,0.9297155764711048,0.5850000000000003,0.95,0.0,0,0,0.0,0.0,6.243601426450387,6.319528757653714,0.012014714089460097,2771.2494301988245,0.0,2771.2494301988245
I - Ilocos,EQ,500,15528116212,a,212924,Pangasinan,3069.369535,0,12016.070025661147,491.5339615,6.244470932655992,6.244470932655992,3069.369535,12016.070025661147,26117.252,11895.909325404537,0,1.0,128.89569491155885,0.14900700810826953,9.747711529782978e-09,22302.6775,1.0,14963.536002745324,3.5950021756585e-08,381.39243590884286,0,1,0.9297155764711048,0.7150000000000004,0.95,0.14900700810826953,52,3,0.0,55.0,0.322010949896604,0.27892546985356753,0.012014714089460097,160.49991110177945,1.0138824070904886,161.51379350886992
I - Ilocos,EQ,500,15528116212,na,212924,Pangasinan,161.54576500000016,0,12016.070025661147,25.870208500000025,6.244470932655992,6.244470932655992,161.54576500000016,12016.070025661147,26117.252,11895.909325404537,0,1.0,128.89569491155885,0.0,9.747711529782978e-09,22302.6775,1.0,14963.536002745324,3.5950021756585e-08,381.39243590884286,0,1,0.9297155764711048,0.7150000000000004,0.95,0.0,0,0,0.0,0.0,0.32201094989660395,0.3259268680300582,0.012014714089460097,142.92594937887765,0.0,142.92594937887765
I - Ilocos,EQ,500,129233019233,a,223308,Ilocos Sur,1834.875695,0,91169.58045467542,477.49013049999996,3.842751038809168,3.842751038809168,1834.875695,91169.58045467542,181605.8,90257.88465012868,0,1.0,977.9708675469442,0.3092868518439231,9.747711529783048e-09,22302.6775,5.0,14963.536002745324,2.727637566929038e-07,2893.7404905380213,0,1,0.9297155764711048,0.3650000000000002,0.95,0.3092868518439231,832,62,0.0,894.0,2.443195083017136,1.708919982644149,0.012014714089460097,1365.606065957194,20.953569746536765,1386.5596357037307
I - Ilocos,EQ,500,129233019233,na,223308,Ilocos Sur,96.57240500000009,0,91169.58045467542,25.131059500000024,3.842751038809168,3.842751038809168,96.57240500000009,91169.58045467542,181605.8,90257.88465012868,0,1.0,977.9708675469442,0.0,9.747711529783048e-09,22302.6775,5.0,14963.536002745324,2.727637566929038e-07,2893.7404905380213,0,1,0.9297155764711048,0.3650000000000002,0.95,0.0,0,0,0.0,0.0,2.443195083017136,2.472906345731105,0.012014714089460097,1084.4226783907652,0.0,1084.4226783907652
I - Ilocos,EQ,500,129634030381,a,224848,Ilocos Sur,3781.34067,0,93510.61499547555,656.0128005,5.764126351068053,5.764126351068053,3781.34067,93510.61499547555,152456.28,92575.5088455208,0,1.0,1003.0830109768439,0.3352433413797045,9.747711529783046e-09,22302.6775,5.0,14963.536002745324,2.797677307455642e-07,2968.0453892407536,0,1,0.9297155764711048,0.3250000000000001,0.95,0.3352433413797045,925,69,0.0,994.0,2.5059309654323725,1.6869616974212738,0.012014714089460097,1424.8820126514506,23.31929536308124,1448.2013080145318
I - Ilocos,EQ,500,129634030381,na,224848,Ilocos Sur,199.01793000000018,0,93510.61499547555,34.526989500000035,5.764126351068053,5.764126351068053,199.01793000000018,93510.61499547555,152456.28,92575.5088455208,0,1.0,1003.0830109768439,0.0,9.747711529783046e-09,22302.6775,5.0,14963.536002745324,2.797677307455642e-07,2968.0453892407536,0,1,0.9297155764711048,0.3250000000000001,0.95,0.0,0,0,0.0,0.0,2.5059309654323725,2.5364051481018497,0.012014714089460097,1112.2682704652166,0.0,1112.2682704652166
I - Ilocos,EQ,500,155381012145,a,240908,Pangasinan,2567.466865,0,27746.61412910776,445.42165499999993,5.7641267239240985,5.7641267239240985,2567.466865,27746.61412910776,58440.801,27469.14798781668,0,1.0,297.63634049872314,0.2968961615576537,9.747711529783023e-09,22302.6775,3.0,14963.536002745324,8.301311322943238e-08,880.6830126924752,0,1,0.9297155764711048,0.37500000000000017,0.95,0.2968961615576537,243,18,0.0,261.0,0.743563707022989,0.5295630549593876,0.012014714089460097,412.1584343290151,6.083294442542932,418.24172877155803
I - Ilocos,EQ,500,155381012145,na,240908,Pangasinan,135.12983500000013,0,27746.61412910776,23.44324500000002,5.7641267239240985,5.7641267239240985,135.12983500000013,27746.61412910776,58440.801,27469.14798781668,0,1.0,297.63634049872314,0.0,9.747711529783023e-09,22302.6775,3.0,14963.536002745324,8.301311322943238e-08,880.6830126924752,0,1,0.9297155764711048,0.37500000000000017,0.95,0.0,0,0,0.0,0.0,0.7435637070229888,0.7526060535787339,0.012014714089460097,330.0339593546855,0.0,330.0339593546855
I - Ilocos,EQ,500,1553518118617,a,269684,Pangasinan,2763.8575149999997,1,26249.11056979325,575.3914115,4.8034389456645545,4.8034389456645545,2763.8575149999997,26249.11056979325,16047.813999999997,25986.61946409532,0,1.0,281.57270559162265,0.2187061408334094,9.747711529783021e-09,22302.6775,2.0,14963.536002745324,7.85328392777201e-08,833.1519539478596,0,1,0.9297155764711048,0.5150000000000002,0.95,0.2187061408334094,169,12,0.0,181.0,0.7034330700860698,0.5573100665287222,0.012014714089460097,369.33717861213495,4.055529628361954,373.3927082404969
I - Ilocos,EQ,500,1553518118617,na,269684,Pangasinan,145.46618500000014,1,26249.11056979325,30.283758500000026,4.8034389456645545,4.8034389456645545,145.46618500000014,26249.11056979325,16047.813999999997,25986.61946409532,0,1.0,281.57270559162265,0.0,9.747711529783021e-09,22302.6775,2.0,14963.536002745324,7.85328392777201e-08,833.1519539478596,0,1,0.9297155764711048,0.5150000000000002,0.95,0.0,0,0,0.0,0.0,0.7034330700860697,0.711987395073173,0.012014714089460097,312.2218030127041,0.0,312.2218030127041
I - Ilocos,EQ,500,12812720158002,a,275492,Ilocos Norte,3065.62587,0,95799.52971106123,455.8677695,6.724813805903425,6.724813805903425,3065.62587,95799.52971106123,84213.5,94841.53441395065,0,1.0,1027.6360680270095,0.2220393415459513,9.74771152978305e-09,22302.6775,5.0,14963.536002745324,2.8661577121541384e-07,3040.6959943970915,0,1,0.9297155764711048,0.5150000000000002,0.95,0.2220393415459513,627,47,0.0,674.0,2.5672701220971024,2.022509469006602,0.012014714089460097,1351.3953428712196,15.884157711084322,1367.2795005823039
I - Ilocos,EQ,500,12812720158002,na,275492,Ilocos Norte,161.34873000000013,0,95799.52971106123,23.99304050000002,6.724813805903425,6.724813805903425,161.34873000000013,95799.52971106123,84213.5,94841.53441395065,0,1.0,1027.6360680270095,0.0,9.74771152978305e-09,22302.6775,5.0,14963.536002745324,2.8661577121541384e-07,3040.6959943970915,0,1,0.9297155764711048,0.5150000000000002,0.95,0.0,0,0,0.0,0.0,2.5672701220971024,2.5984902393875955,0.012014714089460097,1139.4939197893075,0.0,1139.4939197893075
I - Ilocos,EQ,1000,1554290489,a,191937,Pangasinan,1306.66895,1,31370.582029676298,453.37970049999996,2.8820631990337633,2.8820631990337633,1306.66895,31370.582029676298,21175.965,31056.876209379538,0,1.0,336.5104365953176,0.34911676110792417,9.74771152978303e-09,22302.6775,3.0,14963.536002745324,9.385540397777027e-08,995.7084696265304,0,1,0.9265852103974443,0.3150000000000001,0.95,0.34911676110792417,322,25,0.0,347.0,1.1129127321930972,0.7362785457009302,0.015226548376757727,581.7124063941394,8.449020059087404,590.1614264532268
I - Ilocos,EQ,1000,1554290489,na,191937,Pangasinan,68.77205000000006,1,31370.582029676298,23.86208950000002,2.8820631990337633,2.8820631990337633,68.77205000000006,31370.582029676298,21175.965,31056.876209379538,0,1.0,336.5104365953176,0.0,9.74771152978303e-09,22302.6775,3.0,14963.536002745324,9.385540397777027e-08,995.7084696265304,0,1,0.9265852103974443,0.3150000000000001,0.95,0.0,0,0,0.0,0.0,1.112912732193097,1.1301205676885737,0.015226548376757727,472.88902803309367,0.0,472.88902803309367
I - Ilocos,EQ,1000,12817160329,a,194049,Ilocos Norte,1616.55325,0,39390.53146269324,420.67604550000004,3.842750894167564,3.842750894167564,1616.55325,39390.53146269324,54716.488,38996.6261480663,0,1.0,422.5399747984663,0.2898058557185642,9.747711529783033e-09,22302.6775,4.0,14963.536002745324,1.1784971792467227e-07,1250.2632486509567,0,1,0.9265852103974443,0.3950000000000002,0.95,0.2898058557185642,335,26,0.0,361.0,1.3974310056222097,1.0093061554120855,0.015226548376757727,707.0008833656382,8.786980861450902,715.7878642270891
I - Ilocos,EQ,1000,12817160329,na,194049,Ilocos Norte,85.08175000000007,0,39390.53146269324,22.14084450000002,3.842750894167564,3.842750894167564,85.08175000000007,39390.53146269324,54716.488,38996.6261480663,0,1.0,422.5399747984663,0.0,9.747711529783033e-09,22302.6775,4.0,14963.536002745324,1.1784971792467227e-07,1250.2632486509567,0,1,0.9265852103974443,0.3950000000000002,0.95,0.0,0,0,0.0,0.0,1.3974310056222097,1.4190380572493753,0.015226548376757727,593.7840145738669,0.0,593.7840145738669
I - Ilocos,EQ,1000,12976020281,a,201221,Ilocos Sur,1214.2559899999999,0,232984.4745237271,421.3148255,2.8820632850006365,2.8820632850006365,1214.2559899999999,232984.4745237271,225771.16,230654.62977848985,0,1.0,2499.2111133845947,0.20002744384886054,9.747711529783053e-09,22302.6775,5.0,14963.536002745324,6.970496102459028e-07,7394.9732381537015,0,1,0.9265852103974443,0.5650000000000003,0.95,0.20002744384886054,1370,108,0.0,1478.0,8.26543122009935,6.715713844845044,0.015226548376757727,3975.080177883309,36.49976665525759,4011.5799445385665
I - Ilocos,EQ,1000,12976020281,na,201221,Ilocos Sur,63.908210000000054,0,232984.4745237271,22.17446450000002,2.8820632850006365,2.8820632850006365,63.908210000000054,232984.4745237271,225771.16,230654.62977848985,0,1.0,2499.2111133845947,0.0,9.747711529783053e-09,22302.6775,5.0,14963.536002745324,6.970496102459028e-07,7394.9732381537015,0,1,0.9265852103974443,0.5650000000000003,0.95,0.0,0,0,0.0,0.0,8.265431220099352,8.393231160400484,0.015226548376757727,3512.073878645319,0.0,3512.073878645319
I - Ilocos,EQ,1000,15528116212,a,212925,Pangasinan,3069.369535,0,12016.070025661147,491.5339615,6.244470932655992,6.244470932655992,3069.369535,12016.070025661147,26117.252,11895.909325404537,0,1.0,128.89569491155885,0.4412595198003141,9.747711529782978e-09,22302.6775,1.0,14963.536002745324,3.5950021756585e-08,381.39243590884286,0,1,0.9265852103974443,0.2250000000000001,0.95,0.4412595198003141,155,12,0.0,167.0,0.42628591684501366,0.24333357480459658,0.015226548376757727,233.51756319513746,4.055529628361954,237.57309282349942
I - Ilocos,EQ,1000,15528116212,na,212925,Pangasinan,161.54576500000016,0,12016.070025661147,25.870208500000025,6.244470932655992,6.244470932655992,161.54576500000016,12016.070025661147,26117.252,11895.909325404537,0,1.0,128.89569491155885,0.0,9.747711529782978e-09,22302.6775,1.0,14963.536002745324,3.5950021756585e-08,381.39243590884286,0,1,0.9265852103974443,0.2250000000000001,0.95,0.0,0,0,0.0,0.0,0.4262859168450137,0.4328771415825116,0.015226548376757727,181.13363882879554,0.0,181.13363882879554
I - Ilocos,EQ,1000,129233019233,a,223309,Ilocos Sur,1834.875695,0,91169.58045467542,477.49013049999996,3.842751038809168,3.842751038809168,1834.875695,91169.58045467542,181605.8,90257.88465012868,0,1.0,977.9708675469442,0.2190838800877407,9.747711529783048e-09,22302.6775,5.0,14963.536002745324,2.727637566929038e-07,2893.7404905380213,0,1,0.9265852103974443,0.5150000000000002,0.95,0.2190838800877407,587,46,0.0,633.0,3.234360994027095,2.565921054705568,0.015226548376757727,1572.6990379963752,15.546196908720827,1588.245234905096
I - Ilocos,EQ,1000,129233019233,na,223309,Ilocos Sur,96.57240500000009,0,91169.58045467542,25.131059500000024,3.842751038809168,3.842751038809168,96.57240500000009,91169.58045467542,181605.8,90257.88465012868,0,1.0,977.9708675469442,0.0,9.747711529783048e-09,22302.6775,5.0,14963.536002745324,2.727637566929038e-07,2893.7404905380213,0,1,0.9265852103974443,0.5150000000000002,0.95,0.0,0,0,0.0,0.0,3.234360994027095,3.284370622193114,0.015226548376757727,1374.316047009003,0.0,1374.316047009003
I - Ilocos,EQ,1000,129634030381,a,224849,Ilocos Sur,3781.34067,0,93510.61499547555,656.0128005,5.764126351068053,5.764126351068053,3781.34067,93510.61499547555,152456.28,92575.5088455208,0,1.0,1003.0830109768439,0.4908450647670689,9.747711529783046e-09,22302.6775,5.0,14963.536002745324,2.797677307455642e-07,2968.0453892407536,0,1,0.9265852103974443,0.18500000000000005,0.95,0.4908450647670689,1349,106,0.0,1455.0,3.31741227896957,1.717293531578271,0.015226548376757727,1865.5145863276416,35.82384505053059,1901.3384313781721
I - Ilocos,EQ,1000,129634030381,na,224849,Ilocos Sur,199.01793000000018,0,93510.61499547555,34.526989500000035,5.764126351068053,5.764126351068053,199.01793000000018,93510.61499547555,152456.28,92575.5088455208,0,1.0,1003.0830109768439,0.0,9.747711529783046e-09,22302.6775,5.0,14963.536002745324,2.797677307455642e-07,2968.0453892407536,0,1,0.9265852103974443,0.18500000000000005,0.95,0.0,0,0,0.0,0.0,3.31741227896957,3.368706044523579,0.015226548376757727,1409.6054639392853,0.0,1409.6054639392853
I - Ilocos,EQ,1000,155381012145,a,240909,Pangasinan,2567.466865,0,27746.61412910776,445.42165499999993,5.7641267239240985,5.7641267239240985,2567.466865,27746.61412910776,58440.801,27469.14798781668,0,1.0,297.63634049872314,0.23558587579871465,9.747711529783023e-09,22302.6775,3.0,14963.536002745324,8.301311322943238e-08,880.6830126924752,0,1,0.9265852103974443,0.4750000000000002,0.95,0.23558587579871465,192,15,0.0,207.0,0.9843476958865828,0.764624437745049,0.015226548376757727,483.14878475859916,5.069412035452443,488.2181967940516
I - Ilocos,EQ,1000,155381012145,na,240909,Pangasinan,135.12983500000013,0,27746.61412910776,23.44324500000002,5.7641267239240985,5.7641267239240985,135.12983500000013,27746.61412910776,58440.801,27469.14798781668,0,1.0,297.63634049872314,0.0,9.747711529783023e-09,22302.6775,3.0,14963.536002745324,8.301311322943238e-08,880.6830126924752,0,1,0.9265852103974443,0.4750000000000002,0.95,0.0,0,0,0.0,0.0,0.9843476958865827,0.999567661236237,0.015226548376757727,418.26031070480786,0.0,418.26031070480786
I - Ilocos,EQ,1000,1553518118617,a,269685,Pangasinan,2763.8575149999997,1,26249.11056979325,575.3914115,4.8034389456645545,4.8034389456645545,2763.8575149999997,26249.11056979325,16047.813999999997,25986.61946409532,0,1.0,281.57270559162265,0.3047431166386954,9.747711529783021e-09,22302.6775,2.0,14963.536002745324,7.85328392777201e-08,833.1519539478596,0,1,0.9265852103974443,0.37500000000000017,0.95,0.3047431166386954,235,18,0.0,253.0,0.9312217839704757,0.6584674887691858,0.015226548376757727,475.107306973863,6.083294442542932,481.1906014164059
I - Ilocos,EQ,1000,1553518118617,na,269685,Pangasinan,145.46618500000014,1,26249.11056979325,30.283758500000026,4.8034389456645545,4.8034389456645545,145.46618500000014,26249.11056979325,16047.813999999997,25986.61946409532,0,1.0,281.57270559162265,0.0,9.747711529783021e-09,22302.6775,2.0,14963.536002745324,7.85328392777201e-08,833.1519539478596,0,1,0.9265852103974443,0.37500000000000017,0.95,0.0,0,0,0.0,0.0,0.9312217839704757,0.9456203174806379,0.015226548376757727,395.6865184184414,0.0,395.6865184184414
I - Ilocos,EQ,1000,12812720158002,a,275493,Ilocos Norte,3065.62587,0,95799.52971106123,455.8677695,6.724813805903425,6.724813805903425,3065.62587,95799.52971106123,84213.5,94841.53441395065,0,1.0,1027.6360680270095,0.4543107768613714,9.74771152978305e-09,22302.6775,5.0,14963.536002745324,2.8661577121541384e-07,3040.6959943970915,0,1,0.9265852103974443,0.21500000000000008,0.95,0.4543107768613714,1280,101,0.0,1381.0,3.398614544438245,1.883740709850558,0.015226548376757727,1876.6990389052276,34.134041038713114,1910.8330799439407
I - Ilocos,EQ,1000,12812720158002,na,275493,Ilocos Norte,161.34873000000013,0,95799.52971106123,23.99304050000002,6.724813805903425,6.724813805903425,161.34873000000013,95799.52971106123,84213.5,94841.53441395065,0,1.0,1027.6360680270095,0.0,9.74771152978305e-09,22302.6775,5.0,14963.536002745324,2.8661577121541384e-07,3040.6959943970915,0,1,0.9265852103974443,0.21500000000000008,0.95,0.0,0,0,0.0,0.0,3.3986145444382454,3.4511638578763106,0.015226548376757727,1444.1092118799525,0.0,1444.1092118799525
I - Ilocos,EQ,2000,133670884,a,178474,La Union,1505.162045,0,52569.981225034804,522.2516035,2.8820630418610103,2.8820630418610103,1505.162045,52569.981225034804,43235.414,48576.31424661655,0,1.0,4283.983690132304,0.95,9.098173432360871e-09,22302.6775,4.0,14963.536002745324,1.4680000546836714e-07,12675.977868428095,0,1,0.9149565875829566,0.0050000000000000044,0.95,0.95,11018,1024,0.0,12042.0,36.956010636748246,1.9139386686906235,0.034283411286924304,5389.013880560637,346.0718616202201,5735.085742180857
I - Ilocos,EQ,2000,1554290489,a,191938,Pangasinan,1306.66895,1,31370.582029676298,453.37970049999996,2.8820631990337633,2.8820631990337633,1306.66895,31370.582029676298,21175.965,31056.876209379538,0,1.0,336.5104365953176,0.5656507402384771,9.74771152978303e-09,22302.6775,3.0,14963.536002745324,9.385540397777027e-08,995.7084696265304,0,1,0.9149565875829566,0.13499999999999998,0.95,0.5656507402384771,515,47,0.0,562.0,2.902924979560689,1.3093381524736878,0.034283411286924304,1238.7854735904539,15.884157711084322,1254.6696313015382
I - Ilocos,EQ,2000,1554290489,na,191938,Pangasinan,68.77205000000006,1,31370.582029676298,23.86208950000002,2.8820631990337633,2.8820631990337633,68.77205000000006,31370.582029676298,21175.965,31056.876209379538,0,1.0,336.5104365953176,0.0,9.74771152978303e-09,22302.6775,3.0,14963.536002745324,9.385540397777027e-08,995.7084696265304,0,1,0.9149565875829566,0.13499999999999998,0.95,0.0,0,0,0.0,0.0,2.9029249795606886,3.005980236322907,0.034283411286924304,1064.7356603732533,0.0,1064.7356603732533
I - Ilocos,EQ,2000,12817160329,a,194050,Ilocos Norte,1616.55325,0,39390.53146269324,420.67604550000004,3.842750894167564,3.842750894167564,1616.55325,39390.53146269324,54716.488,38996.6261480663,0,1.0,422.5399747984663,0.8925707897738006,9.747711529783033e-09,22302.6775,4.0,14963.536002745324,1.1784971792467227e-07,1250.2632486509567,0,1,0.9149565875829566,0.025000000000000022,0.95,0.8925707897738006,1021,94,0.0,1115.0,3.6450633154671066,0.40835110330849533,0.034283411286924304,1681.9953522497133,31.768315422168644,1713.7636676718819
I - Ilocos,EQ,2000,12817160329,na,194050,Ilocos Norte,85.08175000000007,0,39390.53146269324,22.14084450000002,3.842750894167564,3.842750894167564,85.08175000000007,39390.53146269324,54716.488,38996.6261480663,0,1.0,422.5399747984663,0.0,9.747711529783033e-09,22302.6775,4.0,14963.536002745324,1.1784971792467227e-07,1250.2632486509567,0,1,0.9149565875829566,0.025000000000000022,0.95,0.0,0,0,0.0,0.0,3.645063315467106,3.7744648461766097,0.034283411286924304,1336.9373730365837,0.0,1336.9373730365837
I - Ilocos,EQ,2000,12976020281,a,201222,Ilocos Sur,1214.2559899999999,0,232984.4745237271,421.3148255,2.8820632850006365,2.8820632850006365,1214.2559899999999,232984.4745237271,225771.16,230654.62977848985,0,1.0,2499.2111133845947,0.95,9.747711529783053e-09,22302.6775,5.0,14963.536002745324,6.970496102459028e-07,7394.9732381537015,0,1,0.9149565875829566,0.0050000000000000044,0.95,0.95,6427,597,0.0,7024.0,21.559576111942704,1.1199444979241797,0.034283411286924304,10079.701614719415,201.76259901100724,10281.464213730422
I - Ilocos,EQ,2000,12976020281,na,201222,Ilocos Sur,63.908210000000054,0,232984.4745237271,22.17446450000002,2.8820632850006365,2.8820632850006365,63.908210000000054,232984.4745237271,225771.16,230654.62977848985,0,1.0,2499.2111133845947,0.0,9.747711529783053e-09,22302.6775,5.0,14963.536002745324,6.970496102459028e-07,7394.9732381537015,0,1,0.9149565875829566,0.0050000000000000044,0.95,0.0,0,0,0.0,0.0,21.55957611194271,22.324951609947167,0.034283411286924304,7907.627537929226,0.0,7907.627537929226
