region,hazard,rp,hhid,affected_cat,index,province,pcwgt,ispoor,pcinc,hhwgt,hhsize,hhsize_ae,pcwgt_ae,pcexp,pcinc_ae,pcsoc,axfin,has_ew,c,v,social,pov_line,quintile,c_5,gamma_SP,k,ew_expansion,protection,hh_share,optimal_hh_reco_rate,fa,v_with_ew,dk_private,dk_public,dk_other,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0
CAR,EQ,2000,14112722224,a,114278,Benguet,1831.9689799999999,1,23998.512032342653,216.1619455,8.474983770906153,8.474983770906153,1831.9689799999999,23998.512032342653,21750.217,23758.526912019217,0,1.0,257.430663989661,0.5300754102384729,9.747711529783015e-09,22302.6775,2.0,14823.807898788955,7.179943424480155e-08,761.7175118534009,0,1,0.9162538237553586,0.16500000000000004,0.95,0.5300754102384729,369,33,0.0,402.0,0.3565646453252629,0.16933257271497668,0.005590160387488015,257.5215120807679,11.152706477995375,268.67421855876324
CAR,EQ,2000,14112872586,a,114806,Benguet,188.76834399999998,0,121066.43129422163,200.46235,0.9416648263377138,0.9416648263377138,188.76834399999998,121066.43129422163,223767.59,119855.76698127945,0,1.0,1298.6726740777635,0.95,9.747711529783051e-09,22302.6775,5.0,14823.807898788955,3.6221000957257065e-07,3842.6724411130986,0,1,0.9162538237553586,0.0050000000000000044,0.95,0.95,3344,305,0.0,3649.0,1.7987785691480251,0.09116890792638445,0.005590160387488015,1800.1538838942738,103.07804472086633,1903.23192861514
CAR,EQ,2000,141151605102,a,134386,Benguet,638.1349025,0,22808.18692256063,225.88891,2.824994385514543,2.824994385514543,638.1349025,22808.18692256063,32006.994,22580.10505333502,0,1.0,244.66211471619567,0.6486987342736275,9.747711529783012e-09,22302.6775,2.0,14823.807898788955,6.823818555844338e-08,723.9363577677625,0,1,0.9162538237553586,0.09500000000000003,0.95,0.6486987342736275,430,39,0.0,469.0,0.3388790550678638,0.12000813948972841,0.005590160387488015,271.54955383077476,13.180471292176351,284.73002512295113
CAR,EQ,2000,1411137125329,a,149434,Benguet,812.9137935000001,0,116762.35313379511,287.75766,2.8249944536663247,2.8249944536663247,812.9137935000001,116762.35313379511,171336.81,115594.72960245716,0,1.0,1252.5030741788719,0.562934644660278,9.747711529783048e-09,22302.6775,5.0,14823.807898788955,3.4933294550928386e-07,3706.060150202552,0,1,0.9162538237553586,0.14500000000000002,0.95,0.562934644660278,1911,174,0.0,2085.0,1.7348295167794279,0.7630940299381188,0.005590160387488015,1292.0361717426854,58.80517961124834,1350.8413513539338
CAR,EQ,2000,1411813010166,a,157618,Benguet,207.06057499999997,0,89496.80962568565,219.88776,0.9416648521045464,0.9416648521045464,207.06057499999997,89496.80962568565,144244.34,88601.84152942877,0,1.0,960.0271506769444,0.5293332691466203,9.747711529783046e-09,22302.6775,5.0,14823.807898788955,2.6775911311413475e-07,2840.6464140368353,0,1,0.9162538237553586,0.16500000000000004,0.95,0.5293332691466203,1377,125,0.0,1502.0,1.3297240320115686,0.6301512541789036,0.005590160387488015,960.6705296308376,42.24510029543703,1002.9156299262746
CAR,EQ,2000,14112110058003,a,169146,Benguet,961.15338,0,189001.42888424735,340.2319455,2.8249945153959684,2.8249945153959684,961.15338,189001.42888424735,135084.19,187111.41459540487,0,1.0,2027.4075020607202,0.5774095931127442,9.747711529783053e-09,22302.6775,5.0,14823.807898788955,5.654598771398674e-07,5998.94268246394,0,1,0.9162538237553586,0.135,0.95,0.5774095931127442,3173,290,0.0,3463.0,2.808141911684193,1.193763674353288,0.005590160387488015,2118.3324438174523,98.0086326854139,2216.341076502866
CAR,EQ,2000,143213130168001,a,174602,Kalinga,1512.616505,1,14726.311345517812,200.7901855,7.533318928080775,7.533318928080775,1512.616505,14726.311345517812,21583.709,14579.048232062634,0,1.0,157.96829831307767,0.8424171031034983,9.747711529782993e-09,22302.6775,1.0,14823.807898788955,4.405859920381759e-08,467.41603070093424,0,1,0.9162538237553586,0.034999999999999976,0.95,0.8424171031034983,360,32,0.0,392.0,0.21880031456897472,0.03550116433515559,0.005590160387488015,203.16510676501235,10.814745675631878,213.97985244064424
I - Ilocos,EQ,500,1554290489,a,191936,Pangasinan,1306.66895,1,31370.582029676298,453.37970049999996,2.8820631990337633,2.8820631990337633,1306.66895,31370.582029676298,21175.965,31056.876209379538,0,1.0,336.5104365953176,0.17713670340997026,9.74771152978303e-09,22302.6775,3.0,14963.536002745324,9.385540397777027e-08,995.7084696265304,0,1,0.9297155764711048,0.6150000000000003,0.95,0.17713670340997026,163,12,0.0,175.0,0.8406800972874221,0.7013535557769964,0.012014714089460097,428.22709895270026,4.055529628361954,432.2826285810622
I - Ilocos,EQ,500,1554290489,na,191936,Pangasinan,68.77205000000006,1,31370.582029676298,23.86208950000002,2.8820631990337633,2.8820631990337633,68.77205000000006,31370.582029676298,21175.965,31056.876209379538,0,1.0,336.5104365953176,0.0,9.74771152978303e-09,22302.6775,3.0,14963.536002745324,9.385540397777027e-08,995.7084696265304,0,1,0.9297155764711048,0.6150000000000003,0.95,0.0,0,0,0.0,0.0,0.8406800972874221,0.8509034590658301,0.012014714089460097,373.1394881674504,0.0,373.1394881674504
I - Ilocos,EQ,500,12817160329,a,194048,Ilocos Norte,1616.55325,0,39390.53146269324,420.67604550000004,3.842750894167564,3.842750894167564,1616.55325,39390.53146269324,54716.488,38996.6261480663,0,1.0,422.5399747984663,0.2702174117337165,9.747711529783033e-09,22302.6775,4.0,14963.536002745324,1.1784971792467227e-07,1250.2632486509567,0,1,0.9297155764711048,0.4250000000000002,0.95,0.2702174117337165,314,23,0.0,337.0,1.0556015757353254,0.7804481743599814,0.012014714089460097,574.653005564718,7.773098454360413,582.4261040190784
