,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.664021083285,1.2150000000000007,8820,0,8820.0,1.0425710273435943e-06,0.0,1.237,5905.865192958284,0.0,5905.865192958284,2,36346.798828125,0,0.009729778363522642,0.04846764702362824,-1,6.763005780346797,6.763005780346797,4.659999999998406,0.02999999999992453,3521.06,0.0,4.453,24.1628230333004,1.57,1.57,0,7.47,7.47,0.0,1311.0
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.6057375128,0.7550000000000004,39546,0,39546.0,1.0425710273435943e-06,0.0,0.7550000000000004,42849.96114763902,0.0,42849.96114763902,1,36346.798828125,0,0.006526245786778747,0.26175236675736074,-1,0.0,0.0,239.64000000000306,0.0999999999999293,7826.22,0.0,0.852,1724.3745469116645,79.89,79.89,0,263.47,263.47,0.0,22720.0
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699293,0.8450000000000005,68845,0,68845.0,1.0425710273435943e-06,0.0,0.8450000000000005,80792.8632101656,0.0,80792.8632101656,1,36346.798828125,0,0.004589642686662065,0.20931913452148762,-1,0.0,0.0,226.99000000002212,0.0999999999981838,15824.17,0.0,0.855,701.2385572635804,75.8,75.8,0,270.76,270.76,0.0,39553.0
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.68880117586,0.8450000000000005,68896,0,68896.0,1.0425710273435943e-06,0.0,0.8450000000000005,80852.7141219779,0.0,80852.7141219779,1,36346.798828125,0,0.004643500821149795,0.21655051831356592,-1,0.0,0.0,227.13999999997594,0.09000000000104863,15459.22,0.0,0.841,935.5926127797645,75.85,75.85,0,270.94,270.94,0.0,40048.0
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193315,1.1150000000000009,28984,0,28984.0,1.0425710273435943e-06,0.0,1.1150000000000009,41839.774666038786,0.0,41839.774666038786,1,36346.798828125,0,0.005775933677332382,0.1116819378532872,-1,0.0,0.0,15.419999999992923,0.09000000000003078,9991.58,0.0,0.886,95.73948749042451,5.17,5.17,0,22.73,22.73,0.0,15672.0
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889785,1.2150000000000007,22178,0,22178.0,1.0425710273435943e-06,0.0,1.2150000000000007,34232.791807321555,0.0,34232.791807321555,1,36346.798828125,0,0.005978262876591124,0.08043080032491527,-1,0.0,0.0,5.979999999997978,0.0999999999986279,9326.72,0.0,0.967,43.40190099566427,2.01,2.01,0,9.45,9.45,0.0,10643.0
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288203,0.8450000000000005,35114,0,35114.0,1.0425710273435943e-06,0.0,0.8450000000000005,41207.939556420286,0.0,41207.939556420286,1,36346.798828125,0,0.006551783832808398,0.2212165049715255,-1,0.0,0.0,115.74999999999103,0.09999999999743996,7765.32,0.0,0.827,715.1587748096919,38.65,38.65,0,138.06,138.06,0.0,20648.0
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052586,1.1150000000000009,27195,0,27195.0,1.0425710273435943e-06,0.0,1.1150000000000009,39257.2685634462,0.0,39257.2685634462,1,36346.798828125,0,0.0061043483897546946,0.11981087411314786,-1,0.0,0.0,14.470000000006687,0.09999999999797464,8945.41,0.0,0.864,74.86929233384922,4.86,4.86,0,21.34,21.34,0.0,15072.0
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133014,0.6750000000000004,88838,0,88838.0,1.0425710273435943e-06,0.0,0.6750000000000004,89153.61551834243,0.0,89153.61551834243,1,36346.798828125,0,0.004413495638762264,0.2755249832983258,-1,0.0,0.0,924.7800000000185,0.12000000000061074,17112.5,0.0,0.912,1687.4314643178152,307.84,307.84,0,940.24,934.01,0.0,48638.0
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.1517292169,0.9650000000000006,51646,0,51646.0,1.0425710273435943e-06,0.0,0.9650000000000006,66806.54336193207,0.0,66806.54336193207,1,36346.798828125,0,0.004803528445287456,0.15538398260256567,-1,0.0,0.0,75.60999999998828,0.09999999999767244,14446.35,0.0,0.873,277.47728270422135,25.31,25.31,0,99.64,99.64,0.0,28974.0
