,,,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
IVA - CALABARZON,EQ,200,66066.54472754383,106424.90875842918,149013.61546035783,215606.9275428241,465754.15001231467,5893.73517998505,7590.567127187555,10373.186253480968,14328.844289650038,30290.096410914557,3516.2492116081935,7307.516649409157,10351.183717284553,14780.243080044958,31688.008950337313,55341.514414863894,26529.973748069617,21333.10689333411,16085.015934558904,11335.460667441712,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,200,66066.54472754383,106424.90875842921,149013.61546035783,215606.92754282412,465754.15001231467,1480.0974330377953,1904.5082166082245,2514.3178788188357,3510.2671248540773,7634.259002242126,1029.4423001682187,2061.5316741986708,2862.7958440649745,4089.7443044226197,8893.807042426837,13117.474009618543,6369.442021671676,4820.149958137422,3752.231579330139,2672.737274149156,0,0,0,0,0,0,0,0,0,0
NCR,EQ,250,83304.77441565192,129722.7800949244,180967.13210294937,260829.68070804805,581064.7892494724,7521.717859036239,10592.183276306156,14411.769849289552,20022.04370951318,42559.96744797864,5933.670476640183,10179.827611921462,14097.032998908087,20209.815662138637,44300.65782738821,44309.20968496855,24360.928538715387,19803.11061420456,14723.148371462754,9880.333481240748,0,0,0,0,0,0,0,0,0,0
NCR,PF,250,83304.77441565192,129722.7800949244,180967.1321029494,260829.68070804805,581064.7892494724,2301.0444358590767,3266.626370767524,4515.826949648537,6012.405522993201,13362.070498021514,2090.8768976976467,3546.2957516221863,4939.4553342670915,6924.034585691226,15468.611329904668,13312.765803658574,7896.173516359222,6713.930759823216,4869.595146304431,3337.980494775971,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,250,66066.54472754383,106424.90875842921,149013.61546035783,215606.92754282407,465754.15001231467,7650.631740935807,10287.244312157396,13422.269104735868,18575.97736564016,38978.49603105598,4556.475296915375,9659.505716636908,13429.908268893989,19172.24090162788,40964.93020900008,70987.29222526752,36497.27590708704,27714.984869739143,21068.34622235384,14665.812245058574,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,250,66066.54472754382,106424.9087584292,149013.61546035783,215606.9275428241,465754.1500123147,1623.6860898882505,2118.8897772350783,2824.4480224054846,3901.839185091796,8449.404251555638,1145.7280305913475,2305.75440861328,3200.1425701181547,4555.201726802954,9875.06303877796,14158.471545021233,7001.168433816883,5424.55773952032,4150.562248329941,2905.8049210281074,0,0,0,0,0,0,0,0,0,0
NCR,EQ,500,83304.7744156519,129722.7800949244,180967.1321029494,260829.680708048,581064.7892494722,12713.961019437935,18425.443308090198,25071.535793392213,34412.59813396441,74320.12400544452,10125.73237604467,17648.44772804623,24403.269820886293,34797.44576227608,76747.81270613235,76159.25141722591,41736.645949616155,34650.442553480396,25684.678917009496,17253.156016385255,0,0,0,0,0,0,0,0,0,0
NCR,PF,500,83304.77441565192,129722.7800949244,180967.1321029494,260829.68070804805,581064.7892494724,2669.2937854311463,3785.2403342925545,5357.88838233801,7174.69598724842,15434.023031586526,2432.3290682624647,4113.104805383462,5813.809940189946,8169.455007447506,17963.959478860055,15628.865390889163,9262.992039065466,7952.785136683102,5830.826958977746,3900.9647217271013,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,500,66066.54472754383,106424.90875842918,149013.61546035783,215606.92754282407,465754.1500123146,14769.281613319878,19133.92675366878,26091.807670106995,35562.87489441184,77509.12364823284,7671.050237707745,16175.460675262124,23320.437448929843,33205.747182707426,72216.15425508017,150824.98825839863,71721.18031846883,56640.97846100839,42211.51471981898,30655.275141818034,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,500,66066.54472754383,106424.9087584292,149013.6154603578,215606.9275428241,465754.15001231467,2089.7477602055064,2681.407307594534,3565.8193760182717,4852.235996618954,10548.864864079374,1443.3362146730337,2896.9143103322103,4011.018464308921,5671.713425855503,12326.60776866385,17915.41649253933,8494.036901982778,6633.687498082964,5010.5639299426575,3601.537529621793,0,0,0,0,0,0,0,0,0,0
NCR,EQ,1000,83304.7744156519,129722.7800949244,180967.13210294937,260829.68070804805,581064.7892494723,16639.115137453628,24035.02239903799,33062.00201629678,43970.317036296845,96085.772964765,11518.996472849689,20285.02432501749,28477.950944961303,40076.27631677328,88988.40563027571,113307.00382048247,70791.25924148147,59167.377643538646,40803.804353929125,27794.869706016216,0,0,0,0,0,0,0,0,0,0
NCR,PF,1000,83304.77441565193,129722.7800949244,180967.1321029494,260829.68070804805,581064.7892494724,3043.13539903462,4306.1496004451055,6038.589894933687,8072.665016964705,17610.498132866313,2767.0998321644015,4666.8390626097325,6544.210885812253,9181.679320344698,20360.76116039455,17343.492493885107,10466.595294484754,8989.741429706472,6547.623682735369,4413.199471170882,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,1000,66066.54472754383,106424.90875842918,149013.61546035783,215606.92754282407,465754.1500123146,17653.683969482,23331.384612505048,31432.17625225885,42868.380613878224,90983.25740917822,8139.23417187991,17137.778417968693,25232.60602699378,36012.961025933604,77373.44141170221,192495.67747009275,92678.28523711908,72106.48497455209,53545.282147813756,37801.904363220885,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,1000,66066.54472754383,106424.9087584292,149013.61546035783,215606.92754282407,465754.15001231467,2514.079947127858,3208.5094177557244,4384.869582646498,5926.04921219184,12838.980957342776,1739.0445981782154,3485.0551039133347,4905.381795066913,6901.983066829609,14985.951923084294,21481.19793163034,10111.14216088121,8099.553794965215,6106.564594544387,4395.040844641978,0,0,0,0,0,0,0,0,0,0
