,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,c,pov_line,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,ARMM,EQ,1,153829114,helped,a,0.9310153754994157,822.4791037502216,243302.09,22302.6775,155.77,147389,16851,164240.0,4.3206083757482915e-10,5372.168433964414,155.77,122893.56017273868,5372.168433964414,128265.7286067031,1.0,15573.959716184301,0,0.004054684583948998,0.0,-1,0.0,0.0,-6.701826593680238e-12,999850591.5900002,1000000000.22,0.0,0.0,18.66296937142002,6.39,0.0,6.39,6.39,0.0,0.04,0.0
1,ARMM,EQ,1,153893114,helped,a,0.7499636399729919,0.0,98041.719,22302.6775,155.77,54827,6268,61095.0,4.3206083757482915e-10,1998.2643014710668,155.77,48456.329163489834,1998.2643014710668,50454.593464960904,1.0,15573.959716184301,0,0.006387406222212574,0.0,-1,0.0,0.0,-4.811082088274077e-14,999944421.7700015,1000000000.09,0.0,0.0,5.592003151351075,2.38,-0.0,2.38,2.38,0.0,0.01,0.0
2,ARMM,EQ,1,156627419,helped,a,1.628717189054237,0.0,116599.20999999999,22302.6775,155.77,44656,5105,49761.0,4.3206083757482915e-10,1627.4950955663364,155.77,47951.7973335182,1627.4950955663364,49579.29242908454,1.0,15573.959716184301,0,0.005857093968392721,0.0,-1,0.0,0.0,7.767207016451394e-13,999954732.2100016,1000000000.11,0.0,0.0,9.890987150579246,1.94,0.0,1.94,1.94,0.0,0.01,0.0
3,ARMM,EQ,1,156642019,helped,a,0.6874904727745614,0.0,21066.311,22302.6775,155.77,28408,3247,31655.0,4.3206083757482915e-10,1035.1570176893033,155.77,9056.58779135132,1035.1570176893033,10091.744809040623,1.0,15573.959716184301,0,0.013779572685382054,0.0,-1,6.763005780346797,6.763005780346797,-1.340779917646806e-12,999971202.8400023,1000000000.01,0.0,0.0,2.655505370932251,1.23,-0.0,1.23,1.23,0.0,0.01,0.0
4,ARMM,EQ,1,157025015,helped,a,2.6924615309153936,1370.7984756648525,26179.942999999992,22302.6775,155.77,8566,979,9545.0,4.3206083757482915e-10,312.1092455552289,155.77,9969.151051118657,312.1092455552289,10281.260296673885,1.0,15573.959716184301,0,0.01236077346849235,0.0,-1,0.0,0.0,-3.9009073748985656e-13,999991316.7400022,1000000000.02,0.0,0.0,3.135670427345974,0.37,0.0,0.37,0.37,0.0,0.0,0.0
5,ARMM,EQ,1,157260118,helped,a,2.324508889247561,0.0,23040.299,22302.6775,155.77,18647,2132,20779.0,4.3206083757482915e-10,679.690410136617,155.77,6786.648873679081,679.690410136617,7466.339283815698,1.0,15573.959716184301,0,0.013176071421869688,0.0,-1,0.038535645472061654,0.0,1.0434795388869489e-12,999981097.4500024,1000000000.02,0.0,0.0,5.895445420964612,0.81,0.0,0.81,0.81,0.0,0.0,0.0
6,ARMM,EQ,1,157260240,helped,a,2.324508889247561,0.0,18463.852000000003,22302.6775,155.77,24661,2819,27480.0,4.3206083757482915e-10,898.7088490502452,155.77,7862.028707494892,898.7088490502452,8760.737556545137,1.0,15573.959716184301,0,0.014718679224862094,0.0,-1,6.763005780346797,6.763005780346797,-6.453639705972236e-13,999975001.1300015,1000000000.01,0.0,0.0,7.795150394788556,1.07,-0.0,1.07,1.07,0.0,0.01,0.0
7,ARMM,EQ,1,157260362,helped,a,1.367358197352658,0.0,25606.150000000005,22302.6775,155.77,31195,3566,34761.0,4.3206083757482915e-10,1136.8555359039287,155.77,9945.094908166868,1136.8555359039287,11081.950444070797,1.0,15573.959716184301,0,0.012498498805629704,0.0,-1,0.019267822736030827,0.0,-1.707125760197492e-12,999968377.6400019,1000000000.02,0.0,0.0,5.800452154688049,1.35,-0.0,1.35,1.35,0.0,0.01,0.0
8,ARMM,EQ,1,157260484,helped,a,1.6408297443192739,0.0,25441.725,22302.6775,155.77,25943,2966,28909.0,4.3206083757482915e-10,945.5730565033797,155.77,8922.192227312318,945.5730565033797,9867.765283815697,1.0,15573.959716184301,0,0.012538821464144605,0.0,-1,0.019267822736030827,0.0,-5.705071831618724e-13,999973701.5000021,1000000000.02,0.0,0.0,5.789390954874841,1.12,-0.0,1.12,1.12,0.0,0.01,0.0
9,ARMM,EQ,1,157640114,helped,a,0.9211675381074722,0.0,32336.271000000004,22302.6775,155.77,13982,1598,15580.0,4.3206083757482915e-10,509.4490034701284,155.77,14454.649378297463,509.4490034701284,14964.098381767591,1.0,15573.959716184301,0,0.011122054727009103,0.0,-1,0.0,0.0,2.831901380062618e-13,999985826.4900023,1000000000.03,0.0,0.0,1.7511107390680627,0.61,0.0,0.61,0.61,0.0,0.0,0.0
