region,new_pov,new_sub,reg_pop,init_pov,init_sub,pct_pop_pov,pct_pop_sub,pct_increase_pov,pct_increase_sub
ARMM,3054.3424563442786,6497.238342597197,3706900.44118,1207449.8274699987,783053.5235899995,0.08239612864736136,0.17527415277786532,0.25295812603196294,0.8297310652290862
CAR,7540.467868284606,5253.699572455663,1783500.1087299993,226826.77379999994,124763.20586000007,0.4227904350201609,0.2945724279319913,3.3243288444129027,4.210936658962556
I - Ilocos,59091.64329259969,37722.596852077804,5135999.787279992,498991.98615999985,172094.4781999999,1.1505382737543768,0.7344742681941496,11.84220286729258,21.91970204194374
II - Cagayan Valley,72269.60638297562,45269.73812028293,3497900.297520004,462614.59881,91000.9156399999,2.0660853722507313,1.2941974976353376,15.62199000396384,49.746464419512264
III - Central Luzon,102026.40131405689,59111.44309726177,11098900.30522,904508.9418499996,337561.9636000002,0.9192478399510638,0.5325882877735253,11.279755964090466,17.511286658856765
IVA - CALABARZON,125215.6160737157,62912.08530948832,14127199.83448999,957267.2336999997,330698.8041999997,0.8863441980060032,0.44532593894435785,13.080528787111637,19.023983307614383
IVB - MIMAROPA,8969.544395754234,9231.34835506543,3089300.0409799996,479538.3057000002,274683.83259999985,0.29034228714504795,0.298816826873735,1.8704542033740246,3.3607177632868934
IX - Zamboanga Peninsula,1700.9445698669833,2133.3873828023316,3764699.5852400004,775760.7985300005,498896.45580000035,0.04518141571071859,0.05666819714291566,0.21926147506939328,0.4276212745150414
NCR,83921.1693800582,30620.57196089803,12651700.151659984,411882.9067899998,82747.37619999996,0.6633193039201708,0.2420273290849405,20.375006584783026,37.004885673822784
V - Bicol,71744.92449486535,95408.66094351903,6032099.76381,1457733.715690001,714680.8375700004,1.1893855755719425,1.5816824104258005,4.9216755929189535,13.349827773180513
VI - Western Visayas,23180.337607622165,21459.952752526904,7704399.47904,1169214.21023,559182.6168400001,0.3008714393728521,0.278541537350305,1.9825569519089477,3.837736028669732
VII - Central Visayas,32673.49670873352,28724.342816909088,7446799.783010002,1173301.2354699995,884177.4207800002,0.43875889859800776,0.38572734132646014,2.784749194919684,3.248708024184689
VIII - Eastern Visayas,37152.48788213037,40994.97841710874,4537200.2606,1006160.7691100008,750583.3241199999,0.8188417029936722,0.9035302843716129,3.6925001473664683,5.461749162249526
X - Northern Mindanao,3270.9089564396077,3856.194246302468,4706699.9588,869614.1375999999,850858.0810699996,0.06949474122148089,0.08192989313229193,0.3761333693891878,0.4532123901853406
XI - Davao,6373.262330621353,6298.593031731587,4963099.68477,717867.8137499995,374332.43060000025,0.12841294222194738,0.12690845301898215,0.8878044409497469,1.6826201837858028
XII - SOCCSKSARGEN,6259.58368229979,4192.873427591006,4599200.272339999,777172.8419199999,939475.9992000004,0.13610156791704603,0.09116527177142776,0.8054300593977953,0.44629915305568174
XIII - Caraga,8161.30468171384,9490.358105930278,2716699.968209999,605381.8390699999,456930.34600000025,0.30041244072643125,0.3493340529680707,1.348125126160277,2.0769813581018477
