Region,pop_q1,Asset risk pc,Well-being risk pc
Yugozapadna i Yuzhna tsentralna Bulgaria,706,95.5,57.28
Total,1436,73.0,54.05
Severna i Yugoiztochna Bulgaria,729,51.18,50.91
